model_id,variant_id,kind,family,analysis_family,stratum,operator,severity,params,edits,exec_overrides,tree_sha256,parent_tree_sha256
acnet2_pyr_soma,m-scale_conductance-44150b501c,mutant,biophysical,maximal_conductance,primary_semantic,scale_conductance,mild,"{""changes"": [{""attribute"": ""condDensity"", ""locator"": ""/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='LeakConductance_pyr_all']"", ""new"": ""0.11360408 mS_per_cm2"", ""old"": ""0.1420051 mS_per_cm2""}], ""element"": ""channelDensity"", ""element_id"": ""LeakConductance_pyr_all"", ""factor"": 0.8, ""generator_seed"": 20260917}","[{""file"": ""LEMSexamples/morphologies/pyr_soma_m_in_b_in.cell.nml"", ""locator"": ""/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='LeakConductance_pyr_all']"", ""attribute"": ""condDensity"", ""old"": ""0.1420051 mS_per_cm2"", ""new"": ""0.11360408 mS_per_cm2"", ""action"": ""set"", ""note"": ""scale_conductance""}]",{},389cbe69655ceb4f361f827ebe3ed360315f3a3e934262d7881662c48af2d166,fdc7cdac65cc1078e37790b571d668c9f3f40a411c84d60645cac37785d4b377
acnet2_pyr_soma,m-scale_conductance-15a5694767,mutant,biophysical,maximal_conductance,primary_semantic,scale_conductance,mild,"{""changes"": [{""attribute"": ""condDensity"", ""locator"": ""/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Na_pyr_soma_group']"", ""new"": ""96.0 mS_per_cm2"", ""old"": ""120.0 mS_per_cm2""}], ""element"": ""channelDensity"", ""element_id"": ""Na_pyr_soma_group"", ""factor"": 0.8, ""generator_seed"": 20260917}","[{""file"": ""LEMSexamples/morphologies/pyr_soma_m_in_b_in.cell.nml"", ""locator"": ""/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Na_pyr_soma_group']"", ""attribute"": ""condDensity"", ""old"": ""120.0 mS_per_cm2"", ""new"": ""96.0 mS_per_cm2"", ""action"": ""set"", ""note"": ""scale_conductance""}]",{},0e808f35985622aca4760697c6b369c58069023cb6f7bade01f198b02797b494,fdc7cdac65cc1078e37790b571d668c9f3f40a411c84d60645cac37785d4b377
acnet2_pyr_soma,m-scale_conductance-2ed5496dc2,mutant,biophysical,maximal_conductance,primary_semantic,scale_conductance,strong,"{""changes"": [{""attribute"": ""condDensity"", ""locator"": ""/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Ca_pyr_soma_group']"", ""new"": ""5.0 mS_per_cm2"", ""old"": ""10.0 mS_per_cm2""}], ""element"": ""channelDensity"", ""element_id"": ""Ca_pyr_soma_group"", ""factor"": 0.5, ""generator_seed"": 20260917}","[{""file"": ""LEMSexamples/morphologies/pyr_soma_m_in_b_in.cell.nml"", ""locator"": ""/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Ca_pyr_soma_group']"", ""attribute"": ""condDensity"", ""old"": ""10.0 mS_per_cm2"", ""new"": ""5.0 mS_per_cm2"", ""action"": ""set"", ""note"": ""scale_conductance""}]",{},77dfa5eb630bab0639f2c993c31d015476eaff315e61bd5b67678ad159f69892,fdc7cdac65cc1078e37790b571d668c9f3f40a411c84d60645cac37785d4b377
acnet2_pyr_soma,m-scale_conductance-2dc7e425d7,mutant,biophysical,maximal_conductance,primary_semantic,scale_conductance,strong,"{""changes"": [{""attribute"": ""condDensity"", ""locator"": ""/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Ca_pyr_soma_group']"", ""new"": ""20.0 mS_per_cm2"", ""old"": ""10.0 mS_per_cm2""}], ""element"": ""channelDensity"", ""element_id"": ""Ca_pyr_soma_group"", ""factor"": 2.0, ""generator_seed"": 20260917}","[{""file"": ""LEMSexamples/morphologies/pyr_soma_m_in_b_in.cell.nml"", ""locator"": ""/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Ca_pyr_soma_group']"", ""attribute"": ""condDensity"", ""old"": ""10.0 mS_per_cm2"", ""new"": ""20.0 mS_per_cm2"", ""action"": ""set"", ""note"": ""scale_conductance""}]",{},135e5457f9742082ba8c9583e8bec202a1999a86f5108b834545c363a5b79637,fdc7cdac65cc1078e37790b571d668c9f3f40a411c84d60645cac37785d4b377
acnet2_pyr_soma,m-shift_reversal-3400b10721,mutant,biophysical,reversal_potential,primary_semantic,shift_reversal,mild,"{""changes"": [{""attribute"": ""erev"", ""locator"": ""/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Kahp_pyr_soma_group']"", ""new"": ""-70.0 mV"", ""old"": ""-75.0 mV""}], ""element"": ""channelDensity"", ""element_id"": ""Kahp_pyr_soma_group"", ""generator_seed"": 20260917, ""shift_mV"": 5.0}","[{""file"": ""LEMSexamples/morphologies/pyr_soma_m_in_b_in.cell.nml"", ""locator"": ""/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Kahp_pyr_soma_group']"", ""attribute"": ""erev"", ""old"": ""-75.0 mV"", ""new"": ""-70.0 mV"", ""action"": ""set"", ""note"": ""shift_reversal""}]",{},2f5ca8d4c0e6fabc4e117d435384b2e58d2f8804332591efe2795043db4859fa,fdc7cdac65cc1078e37790b571d668c9f3f40a411c84d60645cac37785d4b377
acnet2_pyr_soma,m-shift_reversal-2c628fb0f6,mutant,biophysical,reversal_potential,primary_semantic,shift_reversal,mild,"{""changes"": [{""attribute"": ""erev"", ""locator"": ""/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='LeakConductance_pyr_all']"", ""new"": ""-61.0 mV"", ""old"": ""-66.0 mV""}], ""element"": ""channelDensity"", ""element_id"": ""LeakConductance_pyr_all"", ""generator_seed"": 20260917, ""shift_mV"": 5.0}","[{""file"": ""LEMSexamples/morphologies/pyr_soma_m_in_b_in.cell.nml"", ""locator"": ""/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='LeakConductance_pyr_all']"", ""attribute"": ""erev"", ""old"": ""-66.0 mV"", ""new"": ""-61.0 mV"", ""action"": ""set"", ""note"": ""shift_reversal""}]",{},dd8169a5095bc2096584175c131430114ecf6eb365dc377c06148ed32bf8df70,fdc7cdac65cc1078e37790b571d668c9f3f40a411c84d60645cac37785d4b377
acnet2_pyr_soma,m-shift_reversal-9553007c36,mutant,biophysical,reversal_potential,primary_semantic,shift_reversal,strong,"{""changes"": [{""attribute"": ""erev"", ""locator"": ""/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Ca_pyr_soma_group']"", ""new"": ""90.0 mV"", ""old"": ""80.0 mV""}], ""element"": ""channelDensity"", ""element_id"": ""Ca_pyr_soma_group"", ""generator_seed"": 20260917, ""shift_mV"": 10.0}","[{""file"": ""LEMSexamples/morphologies/pyr_soma_m_in_b_in.cell.nml"", ""locator"": ""/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Ca_pyr_soma_group']"", ""attribute"": ""erev"", ""old"": ""80.0 mV"", ""new"": ""90.0 mV"", ""action"": ""set"", ""note"": ""shift_reversal""}]",{},7219b143ca06e35a95f3ba8662f15be565c4acca744b1f51907f98c3bfe10ba7,fdc7cdac65cc1078e37790b571d668c9f3f40a411c84d60645cac37785d4b377
acnet2_pyr_soma,m-shift_reversal-513c92c08b,mutant,biophysical,reversal_potential,primary_semantic,shift_reversal,strong,"{""changes"": [{""attribute"": ""erev"", ""locator"": ""/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='LeakConductance_pyr_all']"", ""new"": ""-56.0 mV"", ""old"": ""-66.0 mV""}], ""element"": ""channelDensity"", ""element_id"": ""LeakConductance_pyr_all"", ""generator_seed"": 20260917, ""shift_mV"": 10.0}","[{""file"": ""LEMSexamples/morphologies/pyr_soma_m_in_b_in.cell.nml"", ""locator"": ""/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='LeakConductance_pyr_all']"", ""attribute"": ""erev"", ""old"": ""-66.0 mV"", ""new"": ""-56.0 mV"", ""action"": ""set"", ""note"": ""shift_reversal""}]",{},50b9325a0f5691eca8d532ecdd9c2f7c2441c15ef012db8e6a88f55571fc9cea,fdc7cdac65cc1078e37790b571d668c9f3f40a411c84d60645cac37785d4b377
acnet2_pyr_soma,m-scale_capacitance-d750ebfac4,mutant,biophysical,passive_membrane,primary_semantic,scale_capacitance,mild,"{""changes"": [{""attribute"": ""value"", ""locator"": ""/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1]"", ""new"": ""2.272 uF_per_cm2"", ""old"": ""2.84 uF_per_cm2""}], ""element"": ""specificCapacitance"", ""element_id"": null, ""factor"": 0.8, ""generator_seed"": 20260917}","[{""file"": ""LEMSexamples/morphologies/pyr_soma_m_in_b_in.cell.nml"", ""locator"": ""/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1]"", ""attribute"": ""value"", ""old"": ""2.84 uF_per_cm2"", ""new"": ""2.272 uF_per_cm2"", ""action"": ""set"", ""note"": ""scale_capacitance""}]",{},0cf0c95bacdfa9a0af17a9f7a18e31f706c57a18f9f31e0a8d0c700f1be6cfb2,fdc7cdac65cc1078e37790b571d668c9f3f40a411c84d60645cac37785d4b377
acnet2_pyr_soma,m-scale_capacitance-e86da299c1,mutant,biophysical,passive_membrane,primary_semantic,scale_capacitance,strong,"{""changes"": [{""attribute"": ""value"", ""locator"": ""/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1]"", ""new"": ""1.42 uF_per_cm2"", ""old"": ""2.84 uF_per_cm2""}], ""element"": ""specificCapacitance"", ""element_id"": null, ""factor"": 0.5, ""generator_seed"": 20260917}","[{""file"": ""LEMSexamples/morphologies/pyr_soma_m_in_b_in.cell.nml"", ""locator"": ""/neuroml[@id='pyr_4_sym_soma']/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1]"", ""attribute"": ""value"", ""old"": ""2.84 uF_per_cm2"", ""new"": ""1.42 uF_per_cm2"", ""action"": ""set"", ""note"": ""scale_capacitance""}]",{},c864c7504739ba1b81edcbd2b65e8061a1b429a191cc4d102930593bc4490d30,fdc7cdac65cc1078e37790b571d668c9f3f40a411c84d60645cac37785d4b377
