model_id,title,source_publication,doi,url,download_date,commit,snapshot,snapshot_location,snapshot_tree_sha256,n_files,license,license_url,redistribution,attribution,dependencies,manifest,inclusion
pospischil2008_rs,Pospischil 2008 regular-spiking (RS) cortical cell,"Pospischil M, Toledo-Rodriguez M, Monier C, Piwkowska Z, Bal T, Fregnac Y, Markram H, Destexhe A (2008). Minimal Hodgkin-Huxley type models for different classes of cortical and thalamic neurons. Biol Cybern 99(4-5):427-441. doi:10.1007/s00422-008-0263-8",,https://github.com/OpenSourceBrain/PospischilEtAl2008,2026-09-13,049081c39357d9e7c478b63ef7b10f374d1c50f4,PospischilEtAl2008@049081c3,models/raw/PospischilEtAl2008@049081c3,85e3a5c813067ab959298e8b4cdc4843448c509aaea65f9219e4e2c93a7e62f0,25,MIT (NeuroML2 directory),https://github.com/OpenSourceBrain/PospischilEtAl2008/blob/049081c39357d9e7c478b63ef7b10f374d1c50f4/LICENSE,permitted with licence notice,copyright and licence notice; cite the source publication,NeuroML2/cells/FS/FS.cell.nml;NeuroML2/cells/FS/FS.net.nml;NeuroML2/cells/FS/LEMS_FS.xml;NeuroML2/cells/IB/IB.cell.nml;NeuroML2/cells/IB/IB.net.nml;NeuroML2/cells/IB/LEMS_IB.xml;NeuroML2/cells/LTS/LEMS_LTS.xml;NeuroML2/cells/LTS/LTS.cell.nml;NeuroML2/cells/LTS/LTS.net.nml;NeuroML2/cells/RS/RS.net.nml;NeuroML2/channels/Ca/Ca.nml;NeuroML2/channels/IL/IL.channel.nml;NeuroML2/channels/IM/IM.channel.nml;NeuroML2/channels/IT/IT.channel.nml;NeuroML2/channels/Kd/Kd.channel.nml;NeuroML2/channels/Leak/Leak.channel.nml;NeuroML2/channels/Na/Na.channel.nml,data/model_manifest.csv,include
pospischil2008_lts,Pospischil 2008 low-threshold-spiking (LTS) cell,"Pospischil M, Toledo-Rodriguez M, Monier C, Piwkowska Z, Bal T, Fregnac Y, Markram H, Destexhe A (2008). Minimal Hodgkin-Huxley type models for different classes of cortical and thalamic neurons. Biol Cybern 99(4-5):427-441. doi:10.1007/s00422-008-0263-8",,https://github.com/OpenSourceBrain/PospischilEtAl2008,2026-09-13,049081c39357d9e7c478b63ef7b10f374d1c50f4,PospischilEtAl2008@049081c3,models/raw/PospischilEtAl2008@049081c3,85e3a5c813067ab959298e8b4cdc4843448c509aaea65f9219e4e2c93a7e62f0,25,MIT (NeuroML2 directory),https://github.com/OpenSourceBrain/PospischilEtAl2008/blob/049081c39357d9e7c478b63ef7b10f374d1c50f4/LICENSE,permitted with licence notice,copyright and licence notice; cite the source publication,NeuroML2/cells/FS/FS.cell.nml;NeuroML2/cells/FS/FS.net.nml;NeuroML2/cells/FS/LEMS_FS.xml;NeuroML2/cells/IB/IB.cell.nml;NeuroML2/cells/IB/IB.net.nml;NeuroML2/cells/IB/LEMS_IB.xml;NeuroML2/cells/LTS/LTS.net.nml;NeuroML2/cells/RS/LEMS_RS.xml;NeuroML2/cells/RS/RS.cell.nml;NeuroML2/cells/RS/RS.net.nml;NeuroML2/channels/Ca/Ca.nml;NeuroML2/channels/IL/IL.channel.nml;NeuroML2/channels/IM/IM.channel.nml;NeuroML2/channels/IT/IT.channel.nml;NeuroML2/channels/Kd/Kd.channel.nml;NeuroML2/channels/Leak/Leak.channel.nml;NeuroML2/channels/Na/Na.channel.nml,data/model_manifest.csv,include
pospischil2008_fs,Pospischil 2008 fast-spiking (FS) cell,"Pospischil M, Toledo-Rodriguez M, Monier C, Piwkowska Z, Bal T, Fregnac Y, Markram H, Destexhe A (2008). Minimal Hodgkin-Huxley type models for different classes of cortical and thalamic neurons. Biol Cybern 99(4-5):427-441. doi:10.1007/s00422-008-0263-8",,https://github.com/OpenSourceBrain/PospischilEtAl2008,2026-09-13,049081c39357d9e7c478b63ef7b10f374d1c50f4,PospischilEtAl2008@049081c3,models/raw/PospischilEtAl2008@049081c3,85e3a5c813067ab959298e8b4cdc4843448c509aaea65f9219e4e2c93a7e62f0,25,MIT (NeuroML2 directory),https://github.com/OpenSourceBrain/PospischilEtAl2008/blob/049081c39357d9e7c478b63ef7b10f374d1c50f4/LICENSE,permitted with licence notice,copyright and licence notice; cite the source publication,NeuroML2/cells/FS/FS.net.nml;NeuroML2/cells/IB/IB.cell.nml;NeuroML2/cells/IB/IB.net.nml;NeuroML2/cells/IB/LEMS_IB.xml;NeuroML2/cells/LTS/LEMS_LTS.xml;NeuroML2/cells/LTS/LTS.cell.nml;NeuroML2/cells/LTS/LTS.net.nml;NeuroML2/cells/RS/LEMS_RS.xml;NeuroML2/cells/RS/RS.cell.nml;NeuroML2/cells/RS/RS.net.nml;NeuroML2/channels/Ca/Ca.nml;NeuroML2/channels/IL/IL.channel.nml;NeuroML2/channels/IM/IM.channel.nml;NeuroML2/channels/IT/IT.channel.nml;NeuroML2/channels/Kd/Kd.channel.nml;NeuroML2/channels/Leak/Leak.channel.nml;NeuroML2/channels/Na/Na.channel.nml,data/model_manifest.csv,candidate
pospischil2008_ib,Pospischil 2008 intrinsically bursting (IB) cell,"Pospischil M, Toledo-Rodriguez M, Monier C, Piwkowska Z, Bal T, Fregnac Y, Markram H, Destexhe A (2008). Minimal Hodgkin-Huxley type models for different classes of cortical and thalamic neurons. Biol Cybern 99(4-5):427-441. doi:10.1007/s00422-008-0263-8",,https://github.com/OpenSourceBrain/PospischilEtAl2008,2026-09-13,049081c39357d9e7c478b63ef7b10f374d1c50f4,PospischilEtAl2008@049081c3,models/raw/PospischilEtAl2008@049081c3,85e3a5c813067ab959298e8b4cdc4843448c509aaea65f9219e4e2c93a7e62f0,25,MIT (NeuroML2 directory),https://github.com/OpenSourceBrain/PospischilEtAl2008/blob/049081c39357d9e7c478b63ef7b10f374d1c50f4/LICENSE,permitted with licence notice,copyright and licence notice; cite the source publication,NeuroML2/cells/FS/FS.cell.nml;NeuroML2/cells/FS/FS.net.nml;NeuroML2/cells/FS/LEMS_FS.xml;NeuroML2/cells/IB/IB.net.nml;NeuroML2/cells/LTS/LEMS_LTS.xml;NeuroML2/cells/LTS/LTS.cell.nml;NeuroML2/cells/LTS/LTS.net.nml;NeuroML2/cells/RS/LEMS_RS.xml;NeuroML2/cells/RS/RS.cell.nml;NeuroML2/cells/RS/RS.net.nml;NeuroML2/channels/Ca/Ca.nml;NeuroML2/channels/IL/IL.channel.nml;NeuroML2/channels/IM/IM.channel.nml;NeuroML2/channels/IT/IT.channel.nml;NeuroML2/channels/Kd/Kd.channel.nml;NeuroML2/channels/Leak/Leak.channel.nml;NeuroML2/channels/Na/Na.channel.nml,data/model_manifest.csv,candidate
nml2_hh_example,NeuroML2 single-compartment Hodgkin-Huxley example cell,"Hodgkin AL, Huxley AF (1952). A quantitative description of membrane current and its application to conduction and excitation in nerve. J Physiol 117(4):500-544. doi:10.1113/jphysiol.1952.sp004764 (NeuroML2 teaching implementation)",,https://github.com/NeuroML/NeuroML2,2026-09-13,a5f5dadccd23606e683eaa0dd58dd2c3b2a7ed58,NeuroML2@a5f5dadc,models/raw/NeuroML2@a5f5dadc,102aa53b5b3a779523cff43c15024eeb026ccaa4d5ff66fc43b9b624edfb7f5d,4,LGPL-3.0,https://github.com/NeuroML/NeuroML2/blob/a5f5dadccd23606e683eaa0dd58dd2c3b2a7ed58/LICENSE.lesser,permitted under the same licence (keep notices; mark changes; ship licence texts),licence notice,,data/model_manifest.csv,candidate
wangbuzsaki1996_wb,Wang and Buzsaki 1996 hippocampal interneuron,"Wang X-J, Buzsaki G (1996). Gamma oscillation by synaptic inhibition in a hippocampal interneuronal network model. J Neurosci 16(20):6402-6413. doi:10.1523/jneurosci.16-20-06402.1996",,https://github.com/OpenSourceBrain/WangBuzsaki1996,2026-09-13,c532284492c3e421a7f8e88b3090af8ffee8cf6a,WangBuzsaki1996@c5322844,models/raw/WangBuzsaki1996@c5322844,48ec8d9b967d3371f59e29acaeac631addee4a0a1528646a1e85e02803415698,6,MIT (NeuroML2 directory),https://github.com/OpenSourceBrain/WangBuzsaki1996/blob/c532284492c3e421a7f8e88b3090af8ffee8cf6a/LICENSE,permitted with licence notice,copyright and licence notice; cite the source publication,NeuroML2/LEMS/WangBuzsaki.net.nml,data/model_manifest.csv,candidate
prinz2004_abpd,Prinz et al. 2003/2004 stomatogastric AB/PD pacemaker neuron (AB_PD_3 parameter set),"Prinz AA, Billimoria CP, Marder E (2003). Alternative to Hand-Tuning Conductance-Based Models: Construction and Analysis of Databases of Model Neurons. Journal of Neurophysiology 90(6):3998-4015. doi:10.1152/jn.00641.2003 | Prinz AA, Bucher D, Marder E (2004). Similar network activity from disparate circuit parameters. Nature Neuroscience 7(12):1345-1352. doi:10.1038/nn1352",,https://github.com/OpenSourceBrain/PyloricNetwork,2026-09-13,e97696fca408ef375db6cbb2054bf8c1e5e5de0e,PyloricNetwork@e97696fc,models/candidates/PyloricNetwork@e97696fc,27e93c4d96419ec22a9f1292e1def7466fb9e889d8f8e5a25008e5315942293c,35,MIT,https://github.com/OpenSourceBrain/PyloricNetwork/blob/e97696fca408ef375db6cbb2054bf8c1e5e5de0e/LICENSE,permitted with licence notice,copyright and licence notice; cite the source publication,NeuroML2/AB_PD_1.cell.nml;NeuroML2/CaPool_STG.nml;NeuroML2/CaS_STG.channel.nml;NeuroML2/CaT_STG.channel.nml;NeuroML2/Fig2a.net.nml;NeuroML2/Fig2b.net.nml;NeuroML2/Fig2c.net.nml;NeuroML2/Fig2d.net.nml;NeuroML2/H_STG.channel.nml;NeuroML2/KA_STG.channel.nml;NeuroML2/KCa_STG.channel.nml;NeuroML2/Kd_STG.channel.nml;NeuroML2/LeakConductance.channel.nml;NeuroML2/LEMS_Fig2b.xml;NeuroML2/LEMS_Fig2c.xml;NeuroML2/LEMS_Fig2d.xml;NeuroML2/LP_1.cell.nml;NeuroML2/LP_2.cell.nml;NeuroML2/LP_5.cell.nml;NeuroML2/Na_STG.channel.nml;NeuroML2/PY_1.cell.nml;NeuroML2/PY_3.cell.nml;NeuroML2/PY_4.cell.nml;NeuroML2/Synapses.nml,data/model_candidates.csv,candidate
prinz2004_lp,Prinz et al. 2003/2004 stomatogastric LP neuron (LP_2 parameter set),"Prinz AA, Billimoria CP, Marder E (2003). Alternative to Hand-Tuning Conductance-Based Models: Construction and Analysis of Databases of Model Neurons. Journal of Neurophysiology 90(6):3998-4015. doi:10.1152/jn.00641.2003 | Prinz AA, Bucher D, Marder E (2004). Similar network activity from disparate circuit parameters. Nature Neuroscience 7(12):1345-1352. doi:10.1038/nn1352",,https://github.com/OpenSourceBrain/PyloricNetwork,2026-09-13,e97696fca408ef375db6cbb2054bf8c1e5e5de0e,PyloricNetwork@e97696fc,models/candidates/PyloricNetwork@e97696fc,27e93c4d96419ec22a9f1292e1def7466fb9e889d8f8e5a25008e5315942293c,35,MIT,https://github.com/OpenSourceBrain/PyloricNetwork/blob/e97696fca408ef375db6cbb2054bf8c1e5e5de0e/LICENSE,permitted with licence notice,copyright and licence notice; cite the source publication,NeuroML2/AB_PD_1.cell.nml;NeuroML2/AB_PD_3.cell.nml;NeuroML2/CaPool_STG.nml;NeuroML2/CaS_STG.channel.nml;NeuroML2/CaT_STG.channel.nml;NeuroML2/Fig2a.net.nml;NeuroML2/Fig2b.net.nml;NeuroML2/Fig2c.net.nml;NeuroML2/Fig2d.net.nml;NeuroML2/H_STG.channel.nml;NeuroML2/KA_STG.channel.nml;NeuroML2/KCa_STG.channel.nml;NeuroML2/Kd_STG.channel.nml;NeuroML2/LeakConductance.channel.nml;NeuroML2/LEMS_Fig2b.xml;NeuroML2/LEMS_Fig2c.xml;NeuroML2/LEMS_Fig2d.xml;NeuroML2/LP_1.cell.nml;NeuroML2/LP_5.cell.nml;NeuroML2/Na_STG.channel.nml;NeuroML2/PY_1.cell.nml;NeuroML2/PY_3.cell.nml;NeuroML2/PY_4.cell.nml;NeuroML2/Synapses.nml,data/model_candidates.csv,candidate
maex1998_granule,Maex and De Schutter 1998 cerebellar granule cell (Granule_98),"Maex R, De Schutter E (1998). Synchronization of Golgi and Granule Cell Firing in a Detailed Network Model of the Cerebellar Granule Cell Layer. Journal of Neurophysiology 80(5):2521-2537. doi:10.1152/jn.1998.80.5.2521",,https://github.com/OpenSourceBrain/GranCellLayer,2026-09-13,cee8604721c8654c24d3c69cedc07edb9679d935,GranCellLayer@cee86047,models/candidates/GranCellLayer@cee86047,85999998a87a063d19080c16c8b19ae47d072b176ecffa09499e972156b11d52,25,MIT,https://github.com/OpenSourceBrain/GranCellLayer/blob/cee8604721c8654c24d3c69cedc07edb9679d935/LICENSE,permitted with licence notice,copyright and licence notice; cite the source publication,NeuroML2/Golgi_98.cell.nml;NeuroML2/Golgi_CaHVA_CML.channel.nml;NeuroML2/Golgi_CaPool_CML.nml;NeuroML2/Golgi_H_CML.channel.nml;NeuroML2/Golgi_KA_CML.channel.nml;NeuroML2/Golgi_KCa_CML.channel.nml;NeuroML2/Golgi_KDr_CML.channel.nml;NeuroML2/Golgi_NaF_CML.channel.nml;NeuroML2/GolgiPassiveCond.channel.nml;NeuroML2/Gran_CaHVA_98.channel.nml;NeuroML2/Gran_CaPool_98.nml;NeuroML2/Gran_H_98.channel.nml;NeuroML2/Gran_KA_98.channel.nml;NeuroML2/Gran_KCa_98.channel.nml;NeuroML2/Gran_KDr_98.channel.nml;NeuroML2/Gran_NaF_98.channel.nml;NeuroML2/GranPassiveCond.channel.nml,data/model_candidates.csv,candidate
maex1998_golgi,Maex and De Schutter 1998 cerebellar Golgi cell (Golgi_98),"Maex R, De Schutter E (1998). Synchronization of Golgi and Granule Cell Firing in a Detailed Network Model of the Cerebellar Granule Cell Layer. Journal of Neurophysiology 80(5):2521-2537. doi:10.1152/jn.1998.80.5.2521",,https://github.com/OpenSourceBrain/GranCellLayer,2026-09-13,cee8604721c8654c24d3c69cedc07edb9679d935,GranCellLayer@cee86047,models/candidates/GranCellLayer@cee86047,85999998a87a063d19080c16c8b19ae47d072b176ecffa09499e972156b11d52,25,MIT,https://github.com/OpenSourceBrain/GranCellLayer/blob/cee8604721c8654c24d3c69cedc07edb9679d935/LICENSE,permitted with licence notice,copyright and licence notice; cite the source publication,NeuroML2/Golgi_CaHVA_CML.channel.nml;NeuroML2/Golgi_CaPool_CML.nml;NeuroML2/Golgi_H_CML.channel.nml;NeuroML2/Golgi_KA_CML.channel.nml;NeuroML2/Golgi_KCa_CML.channel.nml;NeuroML2/Golgi_KDr_CML.channel.nml;NeuroML2/Golgi_NaF_CML.channel.nml;NeuroML2/GolgiPassiveCond.channel.nml;NeuroML2/Gran_CaHVA_98.channel.nml;NeuroML2/Gran_CaPool_98.nml;NeuroML2/Gran_H_98.channel.nml;NeuroML2/Gran_KA_98.channel.nml;NeuroML2/Gran_KCa_98.channel.nml;NeuroML2/Gran_KDr_98.channel.nml;NeuroML2/Gran_NaF_98.channel.nml;NeuroML2/GranPassiveCond.channel.nml;NeuroML2/Granule_98.cell.nml,data/model_candidates.csv,candidate
