variant_id,operator,family,assigned_class,detecting_protocols,human_auditor,edit_matches_label_yes_no,class_plausible_yes_no,detection_plausible_yes_no,notes
m-duplicate_conductance-e09481d53c,duplicate_conductance,reference,5_non_equivalent,P00_canonical;P04_step_2x;P05_long_step,,,,,
m-increase_dt-b7cdfa6b5c,increase_dt,numerical,6_silent_under_canonical,P04_step_2x;P05_long_step,,,,,
m-omit_include-0307bc9abe,omit_include,reference,1_structurally_invalid,,,,,,
m-omit_include-1e5a6df120,omit_include,reference,1_structurally_invalid,,,,,,
m-omit_include-323831e37a,omit_include,reference,2_non_executable,,,,,,
m-recording_resolution-46bcb819ee,recording_resolution,numerical,5_non_equivalent,P00_canonical,,,,,
m-recording_resolution-7d6e4357af,recording_resolution,numerical,6_silent_under_canonical,P05_long_step;P09_short_pulse,,,,,
m-recording_resolution-7d86fbc601,recording_resolution,numerical,4_equivalent_within_tested_domain,,,,,,
m-scale_conductance-56da844943,scale_conductance,biophysical,5_non_equivalent,P00_canonical;P03_rheobase;P04_step_2x;P05_long_step;P06_ramp,,,,,
m-scale_conductance-fa05b19484,scale_conductance,biophysical,5_non_equivalent,P00_canonical;P05_long_step,,,,,
m-scale_gate_time_constant-244443ee5f,scale_gate_time_constant,biophysical,5_non_equivalent,P00_canonical;P04_step_2x;P05_long_step;P06_ramp;P09_short_pulse,,,,,
m-scale_gate_time_constant-834b272d00,scale_gate_time_constant,biophysical,5_non_equivalent,P00_canonical,,,,,
m-scale_gate_time_constant-bac677a78d,scale_gate_time_constant,biophysical,5_non_equivalent,P00_canonical,,,,,
m-shift_initial_voltage-fa992f061c,shift_initial_voltage,biophysical,4_equivalent_within_tested_domain,,,,,,
m-shift_reversal-5c87169260,shift_reversal,biophysical,5_non_equivalent,P00_canonical;P04_step_2x;P05_long_step,,,,,
m-shift_reversal-8c42fb9d1f,shift_reversal,biophysical,5_non_equivalent,P00_canonical;P04_step_2x;P05_long_step;P06_ramp,,,,,
m-solver_config-f0ab9d8f86,solver_config,numerical,4_equivalent_within_tested_domain,,,,,,
m-wrong_channel-9d7d66750b,wrong_channel,reference,3_numerically_unstable,,,,,,
m-wrong_channel-b78286d788,wrong_channel,reference,2_non_executable,,,,,,
m-wrong_compatible_component-c51f0c7ae1,wrong_compatible_component,reference,2_non_executable,,,,,,
