path,category,size_bytes,modified_utc,sha256,git_commit,run_id,contains_pilot2_model_id,pilot2_models_named,contains_behavioural_outcome
configs/agent_policy.yaml,configuration,6756,2026-09-17T01:16:48+00:00,2e21d7306e11d0aa937046ee609f49e6f73b1cc9b3bf5b9058887b8f5571cec6,3473b0d,,no,,yes
configs/features.yaml,configuration,3530,2026-09-17T01:31:01+00:00,af9fc73ba8f8e187e1c98f293fc3191b63e1623aac8ae0a21272359acd4ed8bd,3473b0d,,no,,yes
configs/pilot2_frozen.yaml,configuration,5821,2026-09-17T20:41:56+00:00,36646512db9e100489a188ba0c6a1680634990a4117da1e5b53f6f8c9e5dbbd6,cffd026,,yes,acnet2_pyr_soma;migliore2014_mt_soma;nml2_hh_example;osb_hh2_477127614;pospischil2008_fs,yes
configs/pilot2_rehearsal.yaml,configuration,4790,2026-09-17T21:16:23+00:00,e4be056e5a0c5920be38f3833f0f275487848ac08aa6fc4f3d05210e99e96961,cffd026,,no,,yes
configs/pilot_protocol_v1/agent_policy.yaml,configuration,6756,2026-09-17T01:16:48+00:00,2e21d7306e11d0aa937046ee609f49e6f73b1cc9b3bf5b9058887b8f5571cec6,3473b0d,,no,,yes
configs/pilot_protocol_v1/features.yaml,configuration,3530,2026-09-17T01:31:01+00:00,af9fc73ba8f8e187e1c98f293fc3191b63e1623aac8ae0a21272359acd4ed8bd,3473b0d,,no,,yes
configs/pilot_protocol_v1/study.yaml,configuration,4525,2026-09-17T01:16:48+00:00,58545d2e393e39778dfb04e04b9ed3db7bffe7aadf37274f9b284c4484353d79,c46e10a,,yes,nml2_hh_example,yes
configs/pilot_protocol_v1/tolerances.yaml,configuration,2013,2026-09-17T01:16:48+00:00,9ca05052abe32e152e3c7d65aef85ee4922a6c10ef02ac982b3281c2e8775499,c46e10a,,no,,yes
configs/study.yaml,configuration,3039,2026-09-17T02:14:50+00:00,4b038db6963ce4d52069a390eaf4a57253700789dea1e8f98425227df9c2e547,3473b0d,,no,,yes
configs/tolerances.yaml,configuration,2013,2026-09-17T01:16:48+00:00,9ca05052abe32e152e3c7d65aef85ee4922a6c10ef02ac982b3281c2e8775499,de693e1,,no,,yes
data/model_manifest.csv,model_manifest,11223,2026-09-17T21:02:59+00:00,69ccda37e6593ae7c19a7604f9f3a9ef091f7c330105aa57432a6846a115ecd2,cffd026,,yes,acnet2_pyr_soma;migliore2014_mt_soma;nml2_hh_example;osb_hh2_477127614;pospischil2008_fs,yes
docs/KINETICS_OPERATOR_VALIDATION.md,kinetics_documentation,7699,2026-09-17T21:20:25+00:00,cee969acbd001e24119550cb16d21a82029b9077abfe75a5008123533ae6c4eb,cffd026,,yes,acnet2_pyr_soma;migliore2014_mt_soma;nml2_hh_example;osb_hh2_477127614;pospischil2008_fs,no
