project_name,study_phase,protocol_version,designation,model_id,name,source_family,snapshot,license,citation,decision,reasons,C01_provenance,C02_reuse_rights,C03_files_present,C04_validation,C05_executes,C06_trace_interpretable,C07_recording_location,C08_responds_to_current,C09_deterministic,C10_refinement_stable,C11_runtime,C12_operators,C13_protocols_compatible,firing_regime_P05,spikes_P05,rebound_spikes_P08,sag_ratio_P07,rheobase_nA,ion_channels,estimated_variant_runtime_s,refinement_excluded,semantic_operators_with_site,validation_errors,curated_utc,git_commit
Neuraxis,development,DEVELOPMENT_DEFAULTS,Development data; exploratory; never pooled with the confirmatory held-out estimate,pospischil2008_rs,Pospischil 2008 regular-spiking (RS) cortical cell,pospischil2008,PospischilEtAl2008@049081c3,MIT (NeuroML2 directory),"Pospischil M, Toledo-Rodriguez M, Monier C, Piwkowska Z, Bal T, Fregnac Y, Markram H, Destexhe A (2008). Minimal Hodgkin-Huxley type models for different classes of cortical and thalamic neurons. Biol Cybern 99(4-5):427-441. doi:10.1007/s00422-008-0263-8",exclude,C11_runtime,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,fail,pass,pass,tonic,29.0,0.0,0.003517949557482789,0.5606515948364182,IM;Kd;LeakConductance;Na,1157.1,0/64,duplicate_conductance;omit_include;scale_capacitance;scale_conductance;scale_gate_time_constant;shift_initial_voltage;shift_reversal;wrong_channel;wrong_compatible_component;wrong_segment_group,,2026-09-17T02:18:15+00:00,c46e10a3841bdda04b7f1b18104ceb76efc50839+dirty
Neuraxis,development,DEVELOPMENT_DEFAULTS,Development data; exploratory; never pooled with the confirmatory held-out estimate,pospischil2008_lts,Pospischil 2008 low-threshold-spiking (LTS) cell,pospischil2008,PospischilEtAl2008@049081c3,MIT (NeuroML2 directory),"Pospischil M, Toledo-Rodriguez M, Monier C, Piwkowska Z, Bal T, Fregnac Y, Markram H, Destexhe A (2008). Minimal Hodgkin-Huxley type models for different classes of cortical and thalamic neurons. Biol Cybern 99(4-5):427-441. doi:10.1007/s00422-008-0263-8",exclude,C11_runtime,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,fail,pass,pass,single_spike,1.0,0.0,0.002045539263618266,0.038658561573663,IM;IT;Kd;LeakConductance;Na,1390.4,0/64,duplicate_conductance;omit_include;scale_capacitance;scale_conductance;scale_gate_time_constant;shift_initial_voltage;shift_reversal;wrong_channel;wrong_compatible_component;wrong_segment_group,"File: C:\Users\gurra\NeuroSem\work\variants\curation-v1\pospischil2008_lts\reference\NeuroML2\channels\Ca\Ca.nml is not valid against the schema: /Schemas/NeuroML2/NeuroML_v2.3.1.xsd!! | Error when parsing against Schema (class org.xml.sax.SAXParseException): | cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.neuroml.org/schema/neuroml2"":decayingPoolConcentrationModelPosp}'. | File: C:\Users\gurra\NeuroSem\work\variants\curation-v1\pospischil2008_lts\referenc",2026-09-17T02:18:15+00:00,c46e10a3841bdda04b7f1b18104ceb76efc50839+dirty
Neuraxis,development,DEVELOPMENT_DEFAULTS,Development data; exploratory; never pooled with the confirmatory held-out estimate,pospischil2008_fs,Pospischil 2008 fast-spiking (FS) cell,pospischil2008,PospischilEtAl2008@049081c3,MIT (NeuroML2 directory),"Pospischil M, Toledo-Rodriguez M, Monier C, Piwkowska Z, Bal T, Fregnac Y, Markram H, Destexhe A (2008). Minimal Hodgkin-Huxley type models for different classes of cortical and thalamic neurons. Biol Cybern 99(4-5):427-441. doi:10.1007/s00422-008-0263-8",exclude,C11_runtime,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,fail,pass,pass,tonic,128.0,0.0,1.5001146901516143e-07,0.384297520661157,Kd;LeakConductance;Na,777.2,0/64,duplicate_conductance;omit_include;scale_capacitance;scale_conductance;scale_gate_time_constant;shift_initial_voltage;shift_reversal;wrong_channel;wrong_compatible_component;wrong_segment_group,,2026-09-17T02:18:15+00:00,c46e10a3841bdda04b7f1b18104ceb76efc50839+dirty
Neuraxis,development,DEVELOPMENT_DEFAULTS,Development data; exploratory; never pooled with the confirmatory held-out estimate,pospischil2008_ib,Pospischil 2008 intrinsically bursting (IB) cell,pospischil2008,PospischilEtAl2008@049081c3,MIT (NeuroML2 directory),"Pospischil M, Toledo-Rodriguez M, Monier C, Piwkowska Z, Bal T, Fregnac Y, Markram H, Destexhe A (2008). Minimal Hodgkin-Huxley type models for different classes of cortical and thalamic neurons. Biol Cybern 99(4-5):427-441. doi:10.1007/s00422-008-0263-8",exclude,C11_runtime,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,fail,pass,pass,tonic,14.0,0.0,0.002019026029512697,0.10948705689502083,IL;IM;Kd;LeakConductance;Na,1377.0,0/64,duplicate_conductance;omit_include;scale_capacitance;scale_conductance;scale_gate_time_constant;shift_initial_voltage;shift_reversal;wrong_channel;wrong_compatible_component;wrong_segment_group,"File: C:\Users\gurra\NeuroSem\work\variants\curation-v1\pospischil2008_ib\reference\NeuroML2\channels\Ca\Ca.nml is not valid against the schema: /Schemas/NeuroML2/NeuroML_v2.3.1.xsd!! | Error when parsing against Schema (class org.xml.sax.SAXParseException): | cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.neuroml.org/schema/neuroml2"":decayingPoolConcentrationModelPosp}'. | Validated 8 files: 7 passed, 1 failed",2026-09-17T02:18:15+00:00,c46e10a3841bdda04b7f1b18104ceb76efc50839+dirty
Neuraxis,development,DEVELOPMENT_DEFAULTS,Development data; exploratory; never pooled with the confirmatory held-out estimate,nml2_hh_example,NeuroML2 single-compartment Hodgkin-Huxley example cell,neuroml2_examples,NeuroML2@a5f5dadc,LGPL-3.0,"Hodgkin AL, Huxley AF (1952). A quantitative description of membrane current and its application to conduction and excitation in nerve. J Physiol 117(4):500-544. doi:10.1113/jphysiol.1952.sp004764 (NeuroML2 teaching implementation)",exclude,C11_runtime,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,fail,pass,pass,single_spike,1.0,1.0,0.34640087069052167,0.022436992008742575,kChan;naChan;passiveChan,465.9,0/64,duplicate_conductance;scale_capacitance;scale_conductance;scale_gate_time_constant;shift_initial_voltage;shift_reversal;wrong_channel;wrong_segment_group,,2026-09-17T02:18:15+00:00,c46e10a3841bdda04b7f1b18104ceb76efc50839+dirty
Neuraxis,development,DEVELOPMENT_DEFAULTS,Development data; exploratory; never pooled with the confirmatory held-out estimate,wangbuzsaki1996_wb,Wang and Buzsaki 1996 hippocampal interneuron,wangbuzsaki1996,WangBuzsaki1996@c5322844,MIT (NeuroML2 directory),"Wang X-J, Buzsaki G (1996). Gamma oscillation by synaptic inhibition in a hippocampal interneuronal network model. J Neurosci 16(20):6402-6413. doi:10.1523/jneurosci.16-20-06402.1996",exclude,C04_validation;C11_runtime,pass,pass,pass,fail,pass,pass,pass,pass,pass,pass,fail,pass,pass,tonic,28.0,0.0,7.697487779773684e-08,0.00017075336384126768,k_chan;leak;na_chan,481.8,0/64,duplicate_conductance;scale_capacitance;scale_conductance;scale_gate_time_constant;shift_initial_voltage;shift_reversal;wrong_channel;wrong_segment_group,"File: C:\Users\gurra\NeuroSem\work\variants\curation-v1\wangbuzsaki1996_wb\reference\NeuroML2\LEMS\WangBuzsaki.cell.nml is not valid against the schema: /Schemas/NeuroML2/NeuroML_v2.3.1.xsd!! | Error when parsing against Schema (class org.xml.sax.SAXParseException): | Validated 2 files: 1 passed, 1 failed",2026-09-17T02:18:15+00:00,c46e10a3841bdda04b7f1b18104ceb76efc50839+dirty
Neuraxis,development,DEVELOPMENT_DEFAULTS,Development data; exploratory; never pooled with the confirmatory held-out estimate,prinz2004_abpd,Prinz et al. 2003/2004 stomatogastric AB/PD pacemaker neuron (AB_PD_3 parameter set),prinz_stg,PyloricNetwork@e97696fc,MIT,"Prinz AA, Billimoria CP, Marder E (2003). Alternative to Hand-Tuning Conductance-Based Models: Construction and Analysis of Databases of Model Neurons. Journal of Neurophysiology 90(6):3998-4015. doi:10.1152/jn.00641.2003 | Prinz AA, Bucher D, Marder E (2004). Similar network activity from disparate circuit parameters. Nature Neuroscience 7(12):1345-1352. doi:10.1038/nn1352",exclude,C11_runtime,pass,pass,pass,pass,pass,pass,pass,,pass,pass,fail,pass,pass,bursting,36.0,8.0,0.03530833532016921,0.0,CaS_STG;CaT_STG;H_STG;KA_STG;KCa_STG;Kd_STG;LeakConductance;Na_STG,1045.2,0/64,duplicate_conductance;omit_include;scale_capacitance;scale_conductance;scale_gate_time_constant;shift_initial_voltage;shift_reversal;wrong_channel;wrong_compatible_component;wrong_segment_group,,2026-09-17T02:18:15+00:00,c46e10a3841bdda04b7f1b18104ceb76efc50839+dirty
Neuraxis,development,DEVELOPMENT_DEFAULTS,Development data; exploratory; never pooled with the confirmatory held-out estimate,prinz2004_lp,Prinz et al. 2003/2004 stomatogastric LP neuron (LP_2 parameter set),prinz_stg,PyloricNetwork@e97696fc,MIT,"Prinz AA, Billimoria CP, Marder E (2003). Alternative to Hand-Tuning Conductance-Based Models: Construction and Analysis of Databases of Model Neurons. Journal of Neurophysiology 90(6):3998-4015. doi:10.1152/jn.00641.2003 | Prinz AA, Bucher D, Marder E (2004). Similar network activity from disparate circuit parameters. Nature Neuroscience 7(12):1345-1352. doi:10.1038/nn1352",review,curation_error,,,,,,,,,,,,,,,,,,,,,,,,2026-09-17T02:18:15+00:00,c46e10a3841bdda04b7f1b18104ceb76efc50839+dirty
Neuraxis,development,DEVELOPMENT_DEFAULTS,Development data; exploratory; never pooled with the confirmatory held-out estimate,maex1998_granule,Maex and De Schutter 1998 cerebellar granule cell (Granule_98),maex1998,GranCellLayer@cee86047,MIT,"Maex R, De Schutter E (1998). Synchronization of Golgi and Granule Cell Firing in a Detailed Network Model of the Cerebellar Granule Cell Layer. Journal of Neurophysiology 80(5):2521-2537. doi:10.1152/jn.1998.80.5.2521",exclude,C03_files_present,pass,pass,fail,,,,,,,,,,,,,,,,GranPassiveCond;Gran_CaHVA_98;Gran_H_98;Gran_KA_98;Gran_KCa_98;Gran_KDr_98;Gran_NaF_98,,,,,2026-09-17T02:18:15+00:00,c46e10a3841bdda04b7f1b18104ceb76efc50839+dirty
Neuraxis,development,DEVELOPMENT_DEFAULTS,Development data; exploratory; never pooled with the confirmatory held-out estimate,maex1998_golgi,Maex and De Schutter 1998 cerebellar Golgi cell (Golgi_98),maex1998,GranCellLayer@cee86047,MIT,"Maex R, De Schutter E (1998). Synchronization of Golgi and Granule Cell Firing in a Detailed Network Model of the Cerebellar Granule Cell Layer. Journal of Neurophysiology 80(5):2521-2537. doi:10.1152/jn.1998.80.5.2521",exclude,C03_files_present,pass,pass,fail,,,,,,,,,,,,,,,,GolgiPassiveCond;Golgi_CaHVA_CML;Golgi_H_CML;Golgi_KA_CML;Golgi_KCa_CML;Golgi_KDr_CML;Golgi_NaF_CML,,,,,2026-09-17T02:18:15+00:00,c46e10a3841bdda04b7f1b18104ceb76efc50839+dirty
