study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,kind,family,stratum,interpretation,analysis_family,severity,level_A_basic_pass,level_B_canonical_feature,level_C_canonical_trace,level_D_multi_protocol,level_E_full_battery,level_feature_level_canonical_survivor,level_full_trace_canonical_survivor,survivor_confirmed_h4,full_trace_survivor_confirmed_h4,trace_reproducible,secondary_reproducible,operator,params,class,admissible,structural_valid,libneuroml_strict,status_h,n_detections_h,n_detections_h2,canonical_detected_h,canonical_detected_reproducible,detecting_protocols,canonical_runs_but_battery_failed,runtime_s
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-91357ec3a8,hay2011_soma,mutant,biophysical,primary_semantic,5_non_equivalent,maximal_conductance,mild,True,True,True,True,True,False,False,,,P00_canonical:spike_timing;P00_canonical:trace_rmse;P04_step_2x:spike_count;P05_long_step:spike_count;P06_ramp:spike_count,P00_canonical:first_isi;P04_step_2x:first_isi;P04_step_2x:mean_frequency;P05_long_step:first_isi;P06_ramp:mean_frequency,scale_conductance,"{""changes"": [{""attribute"": ""condDensity"", ""locator"": ""/neuroml[@id='Soma_AllCML']/cell[@id='Soma_AllCML']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='SK_E2_all']"", ""new"": ""0.064 mS_per_cm2"", ""old"": ""0.08 mS_per_cm2""}], ""element"": ""channelDensity"", ""element_id"": ""SK_E2_all"", ""factor"": 0.8, ""generator_seed"": 20260917}",5_non_equivalent,True,True,True,ok,6,6,True,True,P00_canonical;P04_step_2x;P05_long_step;P06_ramp,False,4673.377
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-211745202a,hay2011_soma,mutant,biophysical,primary_semantic,6_silent_under_canonical,maximal_conductance,mild,True,False,False,True,True,True,True,True,True,P05_long_step:spike_count;P06_ramp:spike_timing,P05_long_step:first_isi,scale_conductance,"{""changes"": [{""attribute"": ""condDensity"", ""locator"": ""/neuroml[@id='Soma_AllCML']/cell[@id='Soma_AllCML']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensityNernst[@id='Ca_HVA_all']"", ""new"": ""1.0912 mS_per_cm2"", ""old"": ""0.992 mS_per_cm2""}], ""element"": ""channelDensityNernst"", ""element_id"": ""Ca_HVA_all"", ""factor"": 1.1, ""generator_seed"": 20260917}",6_silent_under_canonical,True,True,True,ok,2,2,False,False,P05_long_step,False,10777.708
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-75492a609a,hay2011_soma,mutant,biophysical,primary_semantic,4_equivalent_within_tested_domain,maximal_conductance,strong,True,False,False,True,True,True,True,True,True,P04_step_2x:spike_timing,,scale_conductance,"{""changes"": [{""attribute"": ""condDensity"", ""locator"": ""/neuroml[@id='Soma_AllCML']/cell[@id='Soma_AllCML']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Im_all']"", ""new"": ""0.03375 mS_per_cm2"", ""old"": ""0.0675 mS_per_cm2""}], ""element"": ""channelDensity"", ""element_id"": ""Im_all"", ""factor"": 0.5, ""generator_seed"": 20260917}",4_equivalent_within_tested_domain,False,True,True,ok,0,,False,False,,False,10866.323
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-49ff9dfe7d,hay2011_soma,mutant,biophysical,primary_semantic,5_non_equivalent,maximal_conductance,strong,True,True,True,True,True,False,False,,,P00_canonical:spike_count;P00_canonical:trace_rmse;P04_step_2x:spike_count;P05_long_step:spike_count;P06_ramp:spike_count;P09_short_pulse:trace_rmse,P00_canonical:first_isi;P00_canonical:mean_frequency;P04_step_2x:first_isi;P04_step_2x:mean_frequency;P05_long_step:first_isi;P05_long_step:mean_frequency;P06_ramp:mean_frequency,scale_conductance,"{""changes"": [{""attribute"": ""condDensity"", ""locator"": ""/neuroml[@id='Soma_AllCML']/cell[@id='Soma_AllCML']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensityNernst[@id='Ca_LVAst_all']"", ""new"": ""6.86 mS_per_cm2"", ""old"": ""3.43 mS_per_cm2""}], ""element"": ""channelDensityNernst"", ""element_id"": ""Ca_LVAst_all"", ""factor"": 2.0, ""generator_seed"": 20260917}",5_non_equivalent,True,True,True,ok,11,11,True,True,P00_canonical;P04_step_2x;P05_long_step;P06_ramp;P09_short_pulse,False,4739.706
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-fc43f168e8,hay2011_soma,mutant,biophysical,primary_semantic,4_equivalent_within_tested_domain,reversal_potential,mild,True,False,False,False,False,False,False,,,,,shift_reversal,"{""changes"": [{""attribute"": ""erev"", ""locator"": ""/neuroml[@id='Soma_AllCML']/cell[@id='Soma_AllCML']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='K_Tst_all']"", ""new"": ""-83.0 mV"", ""old"": ""-85.0 mV""}], ""element"": ""channelDensity"", ""element_id"": ""K_Tst_all"", ""generator_seed"": 20260917, ""shift_mV"": 2.0}",4_equivalent_within_tested_domain,False,True,True,ok,0,,False,False,,False,1443.45
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-5d369845ce,hay2011_soma,mutant,biophysical,primary_semantic,5_non_equivalent,reversal_potential,mild,True,True,True,True,True,False,False,,,P00_canonical:spike_count;P00_canonical:trace_rmse;P04_step_2x:spike_count;P05_long_step:spike_count;P06_ramp:spike_count;P09_short_pulse:trace_rmse,P00_canonical:first_isi;P00_canonical:mean_frequency;P04_step_2x:first_isi;P04_step_2x:mean_frequency;P05_long_step:first_isi;P06_ramp:mean_frequency,shift_reversal,"{""changes"": [{""attribute"": ""erev"", ""locator"": ""/neuroml[@id='Soma_AllCML']/cell[@id='Soma_AllCML']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='SK_E2_all']"", ""new"": ""-90.0 mV"", ""old"": ""-85.0 mV""}], ""element"": ""channelDensity"", ""element_id"": ""SK_E2_all"", ""generator_seed"": 20260917, ""shift_mV"": -5.0}",5_non_equivalent,True,True,True,ok,8,8,True,True,P00_canonical;P04_step_2x;P05_long_step;P06_ramp,False,4679.14
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-e5f14f8fb3,hay2011_soma,mutant,biophysical,primary_semantic,4_equivalent_within_tested_domain,reversal_potential,strong,True,False,False,True,True,True,True,True,True,P04_step_2x:spike_timing,,shift_reversal,"{""changes"": [{""attribute"": ""erev"", ""locator"": ""/neuroml[@id='Soma_AllCML']/cell[@id='Soma_AllCML']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Im_all']"", ""new"": ""-95.0 mV"", ""old"": ""-85.0 mV""}], ""element"": ""channelDensity"", ""element_id"": ""Im_all"", ""generator_seed"": 20260917, ""shift_mV"": -10.0}",4_equivalent_within_tested_domain,False,True,True,ok,0,,False,False,,False,10688.727
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-5b6a87e0b4,hay2011_soma,mutant,biophysical,primary_semantic,5_non_equivalent,reversal_potential,strong,True,True,True,True,True,False,False,,,P00_canonical:spike_timing;P00_canonical:trace_rmse;P02_weak_step:trace_rmse;P04_step_2x:spike_count;P05_long_step:spike_count;P06_ramp:spike_count;P07_hyperpolarizing_step:trace_rmse;P08_rebound:trace_rmse;P09_short_pulse:trace_rmse,P00_canonical:baseline_voltage;P02_weak_step:baseline_voltage;P02_weak_step:voltage_deflection;P04_step_2x:first_isi;P04_step_2x:mean_frequency;P05_long_step:first_isi;P05_long_step:mean_frequency;P06_ramp:mean_frequency;P07_hyperpolarizing_step:baseline_voltage;P07_hyperpolarizing_step:minimum_voltage;P07_hyperpolarizing_step:sag_ratio;P07_hyperpolarizing_step:voltage_deflection;P08_rebound:maximum_voltage,shift_reversal,"{""changes"": [{""attribute"": ""erev"", ""locator"": ""/neuroml[@id='Soma_AllCML']/cell[@id='Soma_AllCML']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='pas_all']"", ""new"": ""-80.0 mV"", ""old"": ""-90.0 mV""}], ""element"": ""channelDensity"", ""element_id"": ""pas_all"", ""generator_seed"": 20260917, ""shift_mV"": 10.0}",5_non_equivalent,True,True,True,ok,17,17,True,True,P00_canonical;P02_weak_step;P03_rheobase;P04_step_2x;P05_long_step;P06_ramp;P07_hyperpolarizing_step;P09_short_pulse,False,4566.106
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-068b4305c4,hay2011_soma,mutant,biophysical,primary_semantic,5_non_equivalent,passive_membrane,mild,True,True,True,True,True,False,False,,,P00_canonical:spike_count;P00_canonical:trace_rmse;P04_step_2x:spike_count;P06_ramp:spike_count;P07_hyperpolarizing_step:trace_rmse;P08_rebound:trace_rmse;P09_short_pulse:trace_rmse,P00_canonical:first_isi;P00_canonical:mean_frequency;P04_step_2x:first_isi;P04_step_2x:mean_frequency;P06_ramp:mean_frequency;P07_hyperpolarizing_step:minimum_voltage,scale_capacitance,"{""changes"": [{""attribute"": ""value"", ""locator"": ""/neuroml[@id='Soma_AllCML']/cell[@id='Soma_AllCML']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1]"", ""new"": ""0.8 uF_per_cm2"", ""old"": ""1.0 uF_per_cm2""}], ""element"": ""specificCapacitance"", ""element_id"": null, ""factor"": 0.8, ""generator_seed"": 20260917}",5_non_equivalent,True,True,True,ok,10,10,True,True,P00_canonical;P04_step_2x;P05_long_step;P06_ramp,False,4639.572
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-767ea7d652,hay2011_soma,mutant,biophysical,primary_semantic,5_non_equivalent,passive_membrane,strong,True,True,True,True,True,False,False,,,P00_canonical:spike_count;P00_canonical:trace_rmse;P02_weak_step:trace_rmse;P04_step_2x:spike_count;P05_long_step:spike_timing;P06_ramp:spike_count;P07_hyperpolarizing_step:trace_rmse;P08_rebound:trace_rmse;P09_short_pulse:spike_timing;P09_short_pulse:trace_rmse,P00_canonical:first_isi;P00_canonical:mean_frequency;P04_step_2x:first_isi;P04_step_2x:mean_frequency;P05_long_step:first_isi;P06_ramp:mean_frequency;P07_hyperpolarizing_step:minimum_voltage;P07_hyperpolarizing_step:sag_ratio;P08_rebound:maximum_voltage,scale_capacitance,"{""changes"": [{""attribute"": ""value"", ""locator"": ""/neuroml[@id='Soma_AllCML']/cell[@id='Soma_AllCML']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1]"", ""new"": ""0.5 uF_per_cm2"", ""old"": ""1.0 uF_per_cm2""}], ""element"": ""specificCapacitance"", ""element_id"": null, ""factor"": 0.5, ""generator_seed"": 20260917}",5_non_equivalent,True,True,True,ok,17,17,True,True,P00_canonical;P03_rheobase;P04_step_2x;P05_long_step;P06_ramp;P09_short_pulse,False,4682.854
