study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,level_factor,protocol_id,feature,reason,ref_value,var_value,diff,tau,ref_run_id,var_run_id
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-duplicate_conductance-bbcb98adea,traub2005_testseg_all,1,P00_canonical,firing_regime,categorical,adapting,tonic,,,r-068a1eafd4afbbd6d23e,r-1e8d22cd5663b437302b
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-duplicate_conductance-bbcb98adea,traub2005_testseg_all,1,P00_canonical,first_isi,exceeds,23.49999999999854,47.85999999999859,24.360000000000053,0.5,r-068a1eafd4afbbd6d23e,r-1e8d22cd5663b437302b
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-duplicate_conductance-bbcb98adea,traub2005_testseg_all,1,P00_canonical,mean_frequency,exceeds,69.44444444444107,39.231071008238985,30.21337343620209,3.472222222222054,r-068a1eafd4afbbd6d23e,r-1e8d22cd5663b437302b
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-duplicate_conductance-bbcb98adea,traub2005_testseg_all,1,P04_step_2x,burst_count,exceeds,1.0,17.0,16.0,0.5,r-96e71f2e3b8549494d50,r-f526c22ca8239c807b57
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-duplicate_conductance-bbcb98adea,traub2005_testseg_all,1,P04_step_2x,firing_regime,categorical,tonic,bursting,,,r-96e71f2e3b8549494d50,r-f526c22ca8239c807b57
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-duplicate_conductance-bbcb98adea,traub2005_testseg_all,1,P04_step_2x,mean_frequency,exceeds,102.5682279831456,73.53992605160488,29.028301931540724,6.06375730815833,r-96e71f2e3b8549494d50,r-f526c22ca8239c807b57
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-duplicate_conductance-bbcb98adea,traub2005_testseg_all,1,P05_long_step,first_isi,exceeds,6.639999999993961,11.93999999998914,5.29999999999518,0.5,r-74af15e68cf19cbae102,r-c03fa8c4561c600f5263
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-duplicate_conductance-bbcb98adea,traub2005_testseg_all,1,P05_long_step,mean_frequency,exceeds,41.80686236972137,17.955071281608333,23.85179108811304,2.090343118486069,r-74af15e68cf19cbae102,r-c03fa8c4561c600f5263
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-duplicate_conductance-bbcb98adea,traub2005_testseg_all,1,P06_ramp,firing_regime,categorical,tonic,bursting,,,r-6afcc4c87334b55f282e,r-10b9c18d70d501f979d5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-duplicate_conductance-bbcb98adea,traub2005_testseg_all,1,P06_ramp,mean_frequency,exceeds,70.12411969192733,56.084126189342115,14.039993502585219,3.5062059845963667,r-6afcc4c87334b55f282e,r-10b9c18d70d501f979d5
