study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,level_factor,protocol_id,feature,reason,ref_value,var_value,diff,tau,ref_run_id,var_run_id
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-increase_dt-1086ebecdc,traub2005_testseg2,1,P04_step_2x,ahp_depth,exceeds,-5.43348429870143,-9.857047598513958,4.423563299812528,1.1452817153694355,r-531ed8bf9e8ec22d7778,r-b802b6afee05fcd2508a
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-increase_dt-1086ebecdc,traub2005_testseg2,1,P04_step_2x,ap_amplitude,exceeds,76.68460655583269,79.81501006754402,3.130403511711336,1.896366140360115,r-531ed8bf9e8ec22d7778,r-b802b6afee05fcd2508a
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-increase_dt-1086ebecdc,traub2005_testseg2,1,P05_long_step,ahp_depth,exceeds,-5.300969345084837,-9.8301013971748,4.529132052089963,1.1525372695970049,r-c181d8dc3f2e9e1a86cf,r-b7c4314662117788e8bc
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-increase_dt-1086ebecdc,traub2005_testseg2,1,P05_long_step,ap_amplitude,exceeds,77.26993942349823,80.348255157643,3.0783157341447662,1.9825515679873291,r-c181d8dc3f2e9e1a86cf,r-b7c4314662117788e8bc
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-increase_dt-1086ebecdc,traub2005_testseg2,1,P09_short_pulse,ahp_depth,exceeds,-8.488179428100779,-11.637315512319745,3.1491360842189664,1.0867566299802434,r-f411679bd6f2a1231337,r-124b6807b6d36e9968cf
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-increase_dt-1086ebecdc,traub2005_testseg2,1,P09_short_pulse,ap_amplitude,definedness,90.83680152686651,,,1.8167360305373301,r-f411679bd6f2a1231337,r-124b6807b6d36e9968cf
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-increase_dt-1086ebecdc,traub2005_testseg2,2,P04_step_2x,ahp_depth,exceeds,-5.051723726911618,-6.419106249471852,1.3673825225602343,1.1452817153694355,r-c4e93fb668595b0fb26c,r-f4bd187382e6295b1b4a
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-increase_dt-1086ebecdc,traub2005_testseg2,2,P04_step_2x,spike_count,exceeds,18.0,19.0,1.0,0.5,r-c4e93fb668595b0fb26c,r-f4bd187382e6295b1b4a
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-increase_dt-1086ebecdc,traub2005_testseg2,2,P05_long_step,ahp_depth,exceeds,-4.916790255219169,-6.3045333658653675,1.3877431106461984,1.1525372695970049,r-c41be102b8e8611b929c,r-4254824c006ae8f03b98
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-increase_dt-1086ebecdc,traub2005_testseg2,2,P09_short_pulse,ahp_depth,exceeds,-8.125927218107364,-9.304373578344212,1.1784463602368476,1.0867566299802434,r-4bcc4e2fdcca97c21eee,r-93d23ba8256ca3e63fc7
