study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,level_factor,protocol_id,feature,reason,ref_value,var_value,diff,tau,ref_run_id,var_run_id
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-increase_dt-81e3dc25ff,hay2011_soma,1,P00_canonical,ap_amplitude,exceeds,90.78240967397937,94.13262174829055,3.350212074311173,1.8156481934795874,r-a22266676a5c9c51fe6b,r-61c2e6ce2c952f5ae4e7
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-increase_dt-81e3dc25ff,hay2011_soma,1,P04_step_2x,ahp_depth,exceeds,0.8740316797887999,61.9661014074081,61.0920697276193,0.5,r-49ced7acda977f37b12b,r-945415988cdd3fbdb74b
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-increase_dt-81e3dc25ff,hay2011_soma,1,P04_step_2x,ap_amplitude,exceeds,89.04202652392433,95.32083890364632,6.278812379721984,3.5975990733432894,r-49ced7acda977f37b12b,r-945415988cdd3fbdb74b
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-increase_dt-81e3dc25ff,hay2011_soma,1,P04_step_2x,last_isi,exceeds,36.64999999996667,37.939999999965494,1.2899999999988268,0.7329999999993334,r-49ced7acda977f37b12b,r-945415988cdd3fbdb74b
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-increase_dt-81e3dc25ff,hay2011_soma,1,P04_step_2x,spike_count,exceeds,15.0,14.0,1.0,0.5,r-49ced7acda977f37b12b,r-945415988cdd3fbdb74b
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-increase_dt-81e3dc25ff,hay2011_soma,1,P05_long_step,ahp_depth,exceeds,0.4605490137727344,-0.8050923194816306,1.265641333254365,0.5,r-b99907e8e6510bd22247,r-7afbaa21d1a293ed1ba2
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-increase_dt-81e3dc25ff,hay2011_soma,1,P05_long_step,ap_amplitude,exceeds,85.6294059753018,92.10211179483636,6.472705819534568,3.9239273323350687,r-b99907e8e6510bd22247,r-7afbaa21d1a293ed1ba2
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-increase_dt-81e3dc25ff,hay2011_soma,1,P05_long_step,last_isi,exceeds,142.97000000312073,130.96000000285858,12.010000000262153,3.0300000000661385,r-b99907e8e6510bd22247,r-7afbaa21d1a293ed1ba2
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-increase_dt-81e3dc25ff,hay2011_soma,1,P05_long_step,spike_count,exceeds,14.0,15.0,1.0,0.5,r-b99907e8e6510bd22247,r-7afbaa21d1a293ed1ba2
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-increase_dt-81e3dc25ff,hay2011_soma,1,P09_short_pulse,ap_amplitude,definedness,126.03113174260383,,,2.5206226348520766,r-ad42eb643e1748725abb,r-95e0d8514ca5bf6bb32c
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-increase_dt-81e3dc25ff,hay2011_soma,2,P04_step_2x,ap_amplitude,exceeds,87.8428268328099,91.49146270469772,3.6486358718878193,3.5975990733432894,r-1e40b84a0cfdecc32574,r-783a851e4813b0a2abe2
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-increase_dt-81e3dc25ff,hay2011_soma,2,P05_long_step,last_isi,exceeds,143.98000000314278,140.18000000305983,3.800000000082946,3.0300000000661385,r-cbc91d57fa8b8448b73b,r-0783341c6cef84f00511
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-increase_dt-81e3dc25ff,hay2011_soma,2,P09_short_pulse,ap_amplitude,definedness,125.19136047490628,,,2.5206226348520766,r-12a8ce0ecdd4bde4c832,r-6488a7841be4a27bfa90
