study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,level_factor,protocol_id,feature,reason,ref_value,var_value,diff,tau,ref_run_id,var_run_id
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-5e0e94a820,traub2005_testseg2,1,P00_canonical,ap_half_width,exceeds,0.45000000000007034,0.5200000000000813,0.07000000000001094,0.05,r-a309e30f4eac6329447d,r-06f673c0ff09ca412e27
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-5e0e94a820,traub2005_testseg2,1,P00_canonical,first_isi,exceeds,5.8500000000009145,3.6500000000005706,2.200000000000344,0.5,r-a309e30f4eac6329447d,r-06f673c0ff09ca412e27
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-5e0e94a820,traub2005_testseg2,1,P00_canonical,mean_frequency,exceeds,157.42522301905885,234.57235654997484,77.147133530916,7.871261150952943,r-a309e30f4eac6329447d,r-06f673c0ff09ca412e27
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-5e0e94a820,traub2005_testseg2,1,P04_step_2x,burst_count,exceeds,1.0,10.0,9.0,0.5,r-531ed8bf9e8ec22d7778,r-addc695d64255bb847a5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-5e0e94a820,traub2005_testseg2,1,P04_step_2x,firing_regime,categorical,tonic,bursting,,,r-531ed8bf9e8ec22d7778,r-addc695d64255bb847a5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-5e0e94a820,traub2005_testseg2,1,P04_step_2x,first_isi,exceeds,19.8999999999819,5.399999999995089,14.499999999986812,0.5,r-531ed8bf9e8ec22d7778,r-addc695d64255bb847a5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-5e0e94a820,traub2005_testseg2,1,P04_step_2x,mean_frequency,exceeds,37.62305875472102,43.48366256682954,5.860603812108515,1.8811529377360512,r-531ed8bf9e8ec22d7778,r-addc695d64255bb847a5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-5e0e94a820,traub2005_testseg2,1,P05_long_step,burst_count,exceeds,1.0,24.0,23.0,0.5,r-c181d8dc3f2e9e1a86cf,r-7b02d0222fd8d578fc67
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-5e0e94a820,traub2005_testseg2,1,P05_long_step,firing_regime,categorical,tonic,bursting,,,r-c181d8dc3f2e9e1a86cf,r-7b02d0222fd8d578fc67
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-5e0e94a820,traub2005_testseg2,1,P05_long_step,first_isi,exceeds,38.54999999996494,6.469999999994116,32.07999999997082,1.4399999999986903,r-c181d8dc3f2e9e1a86cf,r-7b02d0222fd8d578fc67
