study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,level_factor,protocol_id,feature,reason,ref_value,var_value,diff,tau,ref_run_id,var_run_id
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-ae20afa58b,migliore2005_ca1_soma,1,P00_canonical,first_isi,exceeds,18.249999999998707,16.24999999999945,1.9999999999992575,0.5,r-1855c6a207dcec8ed210,r-0fdb16624e73aa15e07c
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-ae20afa58b,migliore2005_ca1_soma,1,P04_step_2x,first_isi,exceeds,39.939999999963675,34.67999999996846,5.259999999995216,0.7987999999992735,r-0925b86f96a976919154,r-075e4fa58ef5ed447f02
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-ae20afa58b,migliore2005_ca1_soma,1,P04_step_2x,mean_frequency,exceeds,26.17853762664405,30.069374342268038,3.890836715623987,1.3089268813322026,r-0925b86f96a976919154,r-075e4fa58ef5ed447f02
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-ae20afa58b,migliore2005_ca1_soma,1,P05_long_step,first_isi,exceeds,51.39999999995325,44.64999999995939,6.749999999993861,1.027999999999065,r-4ab59c3e1336e488abd6,r-04491b81e26b0db74699
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-ae20afa58b,migliore2005_ca1_soma,1,P05_long_step,mean_frequency,exceeds,19.690903307533457,22.61102010869334,2.9201168011598817,0.9845451653766729,r-4ab59c3e1336e488abd6,r-04491b81e26b0db74699
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-ae20afa58b,migliore2005_ca1_soma,1,P06_ramp,mean_frequency,exceeds,16.209425781108546,18.415452610921104,2.206026829812558,0.8104712890554273,r-7e89f1dc706a0ef0fd1a,r-3765d9f27b166163459b
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-ae20afa58b,migliore2005_ca1_soma,2,P00_canonical,first_isi,exceeds,18.239999999998712,16.249999999999453,1.9899999999992595,0.5,r-1c8cea9109ae2bf6fdec,r-85f47554196a18922114
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-ae20afa58b,migliore2005_ca1_soma,2,P04_step_2x,first_isi,exceeds,39.91999999996369,34.649999999968486,5.269999999995207,0.7987999999992735,r-6797defd923ff2562240,r-93c97627eae4b8c76afe
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-ae20afa58b,migliore2005_ca1_soma,2,P04_step_2x,mean_frequency,exceeds,26.18803005583121,30.089408528233704,3.901378472402495,1.3089268813322026,r-6797defd923ff2562240,r-93c97627eae4b8c76afe
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-ae20afa58b,migliore2005_ca1_soma,2,P05_long_step,first_isi,exceeds,51.429999999953225,44.65999999995938,6.769999999993843,1.027999999999065,r-a3b84bbc3dc843d0e573,r-aa769a95a2c94bc28849
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-ae20afa58b,migliore2005_ca1_soma,2,P05_long_step,mean_frequency,exceeds,19.676001836393162,22.6017076845399,2.9257058481467375,0.9845451653766729,r-a3b84bbc3dc843d0e573,r-aa769a95a2c94bc28849
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-ae20afa58b,migliore2005_ca1_soma,2,P06_ramp,mean_frequency,exceeds,16.212710765256794,18.420917975764954,2.20820721050816,0.8104712890554273,r-8a56ade2f92e09dafdaf,r-57bbb84e43a037c1c47e
