study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,level_factor,protocol_id,metric,ref_value,var_value,diff,tau
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-ae20afa58b,migliore2005_ca1_soma,1,P00_canonical,trace_rmse,0.0,27.26031094491252,27.26031094491252,4.056233398367646
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-ae20afa58b,migliore2005_ca1_soma,1,P00_canonical,spike_timing,,,6.953695578017829,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-ae20afa58b,migliore2005_ca1_soma,1,P04_step_2x,trace_rmse,0.0,17.284683526439782,17.284683526439782,8.74933749412385
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-ae20afa58b,migliore2005_ca1_soma,1,P04_step_2x,spike_count,13.0,15.0,2.0,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-ae20afa58b,migliore2005_ca1_soma,1,P05_long_step,spike_count,39.0,45.0,6.0,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-ae20afa58b,migliore2005_ca1_soma,1,P06_ramp,trace_rmse,0.0,15.815741986109972,15.815741986109972,6.268302746832255
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-ae20afa58b,migliore2005_ca1_soma,1,P06_ramp,spike_count,16.0,18.0,2.0,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-ae20afa58b,migliore2005_ca1_soma,1,P09_short_pulse,trace_rmse,0.0,4.410463824584081,4.410463824584081,1.2258983519359425
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-ae20afa58b,migliore2005_ca1_soma,1,P09_short_pulse,spike_timing,,,0.828573012509878,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-ae20afa58b,migliore2005_ca1_soma,2,P00_canonical,trace_rmse,0.0,27.241729488460063,27.241729488460063,4.056233398367646
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-ae20afa58b,migliore2005_ca1_soma,2,P00_canonical,spike_timing,,,6.948114942647962,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-ae20afa58b,migliore2005_ca1_soma,2,P04_step_2x,trace_rmse,0.0,17.196813812573808,17.196813812573808,8.74933749412385
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-ae20afa58b,migliore2005_ca1_soma,2,P04_step_2x,spike_count,13.0,15.0,2.0,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-ae20afa58b,migliore2005_ca1_soma,2,P05_long_step,spike_count,39.0,45.0,6.0,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-ae20afa58b,migliore2005_ca1_soma,2,P06_ramp,trace_rmse,0.0,15.774032517536455,15.774032517536455,6.268302746832255
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-ae20afa58b,migliore2005_ca1_soma,2,P06_ramp,spike_count,16.0,18.0,2.0,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-ae20afa58b,migliore2005_ca1_soma,2,P09_short_pulse,trace_rmse,0.0,4.381653700567439,4.381653700567439,1.2258983519359425
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-ae20afa58b,migliore2005_ca1_soma,2,P09_short_pulse,spike_timing,,,0.8216992898156263,0.5
