study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,level_factor,protocol_id,metric,ref_value,var_value,diff,tau
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-b2a3d4e3f2,bbp2015_soma,1,P00_canonical,trace_rmse,0.0,9.68275278100803,9.68275278100803,1.5673316828845794
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-b2a3d4e3f2,bbp2015_soma,1,P00_canonical,spike_count,5.0,6.0,1.0,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-b2a3d4e3f2,bbp2015_soma,1,P04_step_2x,spike_count,30.0,34.0,4.0,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-b2a3d4e3f2,bbp2015_soma,1,P05_long_step,spike_timing,,,30.47975087639088,9.522978537392191
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-b2a3d4e3f2,bbp2015_soma,1,P06_ramp,spike_count,33.0,37.0,4.0,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-b2a3d4e3f2,bbp2015_soma,1,P07_hyperpolarizing_step,trace_rmse,0.0,0.6520867009890231,0.6520867009890231,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-b2a3d4e3f2,bbp2015_soma,1,P08_rebound,trace_rmse,0.0,0.8955200027719624,0.8955200027719624,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-b2a3d4e3f2,bbp2015_soma,1,P09_short_pulse,trace_rmse,0.0,1.9408564997301674,1.9408564997301674,0.6469711510234675
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-b2a3d4e3f2,bbp2015_soma,2,P00_canonical,trace_rmse,0.0,9.683249097438855,9.683249097438855,1.5673316828845794
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-b2a3d4e3f2,bbp2015_soma,2,P00_canonical,spike_count,5.0,6.0,1.0,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-b2a3d4e3f2,bbp2015_soma,2,P04_step_2x,spike_count,30.0,34.0,4.0,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-b2a3d4e3f2,bbp2015_soma,2,P05_long_step,spike_timing,,,34.36605791652937,9.522978537392191
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-b2a3d4e3f2,bbp2015_soma,2,P06_ramp,spike_count,33.0,37.0,4.0,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-b2a3d4e3f2,bbp2015_soma,2,P07_hyperpolarizing_step,trace_rmse,0.0,0.651797846895867,0.651797846895867,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-b2a3d4e3f2,bbp2015_soma,2,P08_rebound,trace_rmse,0.0,0.8948198689216619,0.8948198689216619,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_capacitance-b2a3d4e3f2,bbp2015_soma,2,P09_short_pulse,trace_rmse,0.0,1.9445092462413431,1.9445092462413431,0.6469711510234675
