study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,level_factor,protocol_id,metric,ref_value,var_value,diff,tau
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-056f6e95e6,migliore2005_ca1_soma,1,P00_canonical,trace_rmse,0.0,28.65672860373483,28.65672860373483,4.056233398367646
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-056f6e95e6,migliore2005_ca1_soma,1,P00_canonical,spike_timing,,,5.987085574105947,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-056f6e95e6,migliore2005_ca1_soma,1,P02_weak_step,trace_rmse,0.0,14.624293352419215,14.624293352419215,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-056f6e95e6,migliore2005_ca1_soma,1,P02_weak_step,spike_count,0.0,19.0,19.0,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-056f6e95e6,migliore2005_ca1_soma,1,P04_step_2x,trace_rmse,0.0,20.183718257736306,20.183718257736306,8.74933749412385
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-056f6e95e6,migliore2005_ca1_soma,1,P04_step_2x,spike_count,13.0,25.0,12.0,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-056f6e95e6,migliore2005_ca1_soma,1,P05_long_step,spike_count,39.0,69.0,30.0,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-056f6e95e6,migliore2005_ca1_soma,1,P06_ramp,trace_rmse,0.0,19.926991538966664,19.926991538966664,6.268302746832255
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-056f6e95e6,migliore2005_ca1_soma,1,P06_ramp,spike_count,16.0,38.0,22.0,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-056f6e95e6,migliore2005_ca1_soma,1,P07_hyperpolarizing_step,trace_rmse,0.0,9.832867486050212,9.832867486050212,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-056f6e95e6,migliore2005_ca1_soma,1,P07_hyperpolarizing_step,spike_count,0.0,8.0,8.0,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-056f6e95e6,migliore2005_ca1_soma,1,P08_rebound,trace_rmse,0.0,10.458695612904185,10.458695612904185,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-056f6e95e6,migliore2005_ca1_soma,1,P08_rebound,spike_count,0.0,10.0,10.0,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-056f6e95e6,migliore2005_ca1_soma,1,P09_short_pulse,trace_rmse,0.0,13.679942120732633,13.679942120732633,1.2258983519359425
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-056f6e95e6,migliore2005_ca1_soma,1,P09_short_pulse,spike_count,1.0,7.0,6.0,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-056f6e95e6,migliore2005_ca1_soma,2,P00_canonical,trace_rmse,0.0,28.636324208005146,28.636324208005146,4.056233398367646
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-056f6e95e6,migliore2005_ca1_soma,2,P00_canonical,spike_timing,,,5.9809262612040754,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-056f6e95e6,migliore2005_ca1_soma,2,P02_weak_step,trace_rmse,0.0,14.576541189236389,14.576541189236389,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-056f6e95e6,migliore2005_ca1_soma,2,P02_weak_step,spike_count,0.0,19.0,19.0,0.5
