study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,level_factor,protocol_id,feature,reason,ref_value,var_value,diff,tau,ref_run_id,var_run_id
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-91357ec3a8,hay2011_soma,1,P00_canonical,last_isi,exceeds,15.789999999985639,14.449999999986858,1.3399999999987813,0.5,r-a22266676a5c9c51fe6b,r-5ff182756ed7cd3b672a
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-91357ec3a8,hay2011_soma,1,P04_step_2x,last_isi,exceeds,36.64999999996667,20.689999999981183,15.959999999985484,0.7329999999993334,r-49ced7acda977f37b12b,r-07f1415ae5ca9fcc5042
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-91357ec3a8,hay2011_soma,1,P04_step_2x,spike_count,exceeds,15.0,25.0,10.0,0.5,r-49ced7acda977f37b12b,r-07f1415ae5ca9fcc5042
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-91357ec3a8,hay2011_soma,1,P05_long_step,last_isi,exceeds,142.97000000312073,133.26000000290878,9.710000000211949,3.0300000000661385,r-b99907e8e6510bd22247,r-8f058171ac786ec8f550
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-91357ec3a8,hay2011_soma,1,P05_long_step,spike_count,exceeds,14.0,15.0,1.0,0.5,r-b99907e8e6510bd22247,r-8f058171ac786ec8f550
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-91357ec3a8,hay2011_soma,1,P06_ramp,spike_count,exceeds,24.0,28.0,4.0,0.5,r-da1341cbf9665d4e7639,r-ebf71f0b7000bcf2e715
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-91357ec3a8,hay2011_soma,2,P00_canonical,last_isi,exceeds,15.769999999985657,14.439999999986867,1.3299999999987904,0.5,r-ebfd6e5f8d6b9e916dfe,r-ba18c95fc6ba2b3010b6
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-91357ec3a8,hay2011_soma,2,P04_step_2x,last_isi,exceeds,36.55999999996675,20.629999999981237,15.929999999985512,0.7329999999993334,r-1e40b84a0cfdecc32574,r-3a08dee48cde33c66869
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-91357ec3a8,hay2011_soma,2,P04_step_2x,spike_count,exceeds,15.0,25.0,10.0,0.5,r-1e40b84a0cfdecc32574,r-3a08dee48cde33c66869
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-91357ec3a8,hay2011_soma,2,P05_long_step,last_isi,exceeds,143.98000000314278,134.2500000029304,9.730000000212385,3.0300000000661385,r-cbc91d57fa8b8448b73b,r-c31840f29d6f7f38e5a8
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-91357ec3a8,hay2011_soma,2,P05_long_step,spike_count,exceeds,14.0,15.0,1.0,0.5,r-cbc91d57fa8b8448b73b,r-c31840f29d6f7f38e5a8
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-91357ec3a8,hay2011_soma,2,P06_ramp,spike_count,exceeds,24.0,28.0,4.0,0.5,r-1b54cfe9f9ae3444183f,r-125b127a3a8859c704d9
