study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,level_factor,protocol_id,feature,reason,ref_value,var_value,diff,tau,ref_run_id,var_run_id
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-b727c671be,smith2013_singlecomp,1,P00_canonical,ap_half_width,exceeds,0.529999999999518,0.629999999999427,0.09999999999990905,0.05,r-cc06a5423671e115f063,r-9f71c9325eb0cf0bd009
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-b727c671be,smith2013_singlecomp,1,P00_canonical,first_isi,exceeds,15.399999999985994,14.749999999986585,0.6499999999994088,0.5,r-cc06a5423671e115f063,r-9f71c9325eb0cf0bd009
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-b727c671be,smith2013_singlecomp,1,P04_step_2x,ap_half_width,exceeds,0.5099999999995362,0.6199999999994361,0.10999999999989996,0.05,r-d2cafd1fc897dbfd8130,r-dd1446eee81871e812ca
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-b727c671be,smith2013_singlecomp,1,P04_step_2x,first_isi,exceeds,17.079999999984466,16.109999999985348,0.9699999999991178,0.5,r-d2cafd1fc897dbfd8130,r-dd1446eee81871e812ca
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-b727c671be,smith2013_singlecomp,1,P04_step_2x,mean_frequency,exceeds,59.19696258350638,62.967175820678094,3.770213237171717,2.959848129175319,r-d2cafd1fc897dbfd8130,r-dd1446eee81871e812ca
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-b727c671be,smith2013_singlecomp,1,P05_long_step,ap_half_width,exceeds,0.49999999999954525,0.5999999999994543,0.09999999999990905,0.05,r-1b9872d61cd35dd7d644,r-d24ccb847e35f5584672
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-b727c671be,smith2013_singlecomp,1,P05_long_step,first_isi,exceeds,21.929999999980055,19.579999999982192,2.3499999999978627,0.5,r-1b9872d61cd35dd7d644,r-d24ccb847e35f5584672
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-b727c671be,smith2013_singlecomp,1,P05_long_step,mean_frequency,exceeds,44.95562526195482,50.9354985121924,5.979873250237581,2.247781263097741,r-1b9872d61cd35dd7d644,r-d24ccb847e35f5584672
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-b727c671be,smith2013_singlecomp,1,P06_ramp,mean_frequency,exceeds,35.337116087511205,42.144132934680194,6.807016847168988,1.7668558043755604,r-fb29aefdef0f8e35dca0,r-6e2ce4fc777bb63278f2
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-b727c671be,smith2013_singlecomp,1,P09_short_pulse,ap_half_width,exceeds,0.6499999999994088,0.739999999999327,0.08999999999991815,0.05,r-83f9184aaeefc65499cb,r-0ddd9583795aa2b6acf0
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-b727c671be,smith2013_singlecomp,2,P00_canonical,ap_half_width,exceeds,0.529999999999518,0.6199999999994361,0.08999999999991815,0.05,r-731f49df5b3e5b386bce,r-630787723e6f8af5bb6d
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-b727c671be,smith2013_singlecomp,2,P00_canonical,first_isi,exceeds,15.389999999986003,14.749999999986585,0.6399999999994179,0.5,r-731f49df5b3e5b386bce,r-630787723e6f8af5bb6d
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-b727c671be,smith2013_singlecomp,2,P04_step_2x,ap_half_width,exceeds,0.5199999999995271,0.6199999999994361,0.09999999999990905,0.05,r-935039983c3fcf534d52,r-388b8bb3a5b2c29a1df3
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-b727c671be,smith2013_singlecomp,2,P04_step_2x,first_isi,exceeds,17.049999999984493,16.069999999985384,0.9799999999991087,0.5,r-935039983c3fcf534d52,r-388b8bb3a5b2c29a1df3
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-b727c671be,smith2013_singlecomp,2,P04_step_2x,mean_frequency,exceeds,59.32168719067618,63.09661924250729,3.774932051831108,2.959848129175319,r-935039983c3fcf534d52,r-388b8bb3a5b2c29a1df3
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-b727c671be,smith2013_singlecomp,2,P05_long_step,ap_half_width,exceeds,0.5099999999995362,0.6099999999994452,0.09999999999990905,0.05,r-a7eb0be940e544905260,r-c4bef9df1bc8ac877031
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-b727c671be,smith2013_singlecomp,2,P05_long_step,first_isi,exceeds,21.899999999980082,19.53999999998223,2.3599999999978536,0.5,r-a7eb0be940e544905260,r-c4bef9df1bc8ac877031
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-b727c671be,smith2013_singlecomp,2,P05_long_step,mean_frequency,exceeds,45.037831778609664,51.028065435893836,5.990233657284172,2.247781263097741,r-a7eb0be940e544905260,r-c4bef9df1bc8ac877031
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-b727c671be,smith2013_singlecomp,2,P06_ramp,mean_frequency,exceeds,35.373544631343336,42.19070197296138,6.817157341618042,1.7668558043755604,r-032d38f7b50aa7c6bdca,r-bfaddf68458c4b4d1751
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-b727c671be,smith2013_singlecomp,2,P09_short_pulse,ap_half_width,exceeds,0.6599999999993997,0.7299999999993361,0.06999999999993634,0.05,r-dc583bb05cf4bf59d02c,r-334971452b4bb8a98e57
