study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,level_factor,protocol_id,metric,ref_value,var_value,diff,tau
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-b727c671be,smith2013_singlecomp,1,P00_canonical,trace_rmse,0.0,14.759657977985057,14.759657977985057,3.0085167718022916
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-b727c671be,smith2013_singlecomp,1,P00_canonical,spike_timing,,,4.839228172415119,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-b727c671be,smith2013_singlecomp,1,P04_step_2x,spike_count,29.0,31.0,2.0,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-b727c671be,smith2013_singlecomp,1,P06_ramp,spike_count,35.0,42.0,7.0,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-b727c671be,smith2013_singlecomp,1,P09_short_pulse,trace_rmse,0.0,1.328488021054526,1.328488021054526,0.7748310705761332
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-b727c671be,smith2013_singlecomp,2,P00_canonical,trace_rmse,0.0,14.759006372618376,14.759006372618376,3.0085167718022916
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-b727c671be,smith2013_singlecomp,2,P00_canonical,spike_timing,,,4.836666239005581,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-b727c671be,smith2013_singlecomp,2,P04_step_2x,spike_count,29.0,31.0,2.0,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-b727c671be,smith2013_singlecomp,2,P06_ramp,spike_count,35.0,42.0,7.0,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-b727c671be,smith2013_singlecomp,2,P09_short_pulse,trace_rmse,0.0,1.355231987883854,1.355231987883854,0.7748310705761332
