study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,level_factor,protocol_id,feature,reason,ref_value,var_value,diff,tau,ref_run_id,var_run_id
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-fb2a987fb5,bbp2015_soma,1,P00_canonical,ahp_depth,exceeds,-0.540112681203027,-3.8906974906806653,3.3505848094776383,0.5,r-f821a906ac6ddfedc3f9,r-747e852c94635736328c
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-fb2a987fb5,bbp2015_soma,1,P00_canonical,last_isi,exceeds,23.589999999978545,22.339999999979682,1.2499999999988631,0.5,r-f821a906ac6ddfedc3f9,r-747e852c94635736328c
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-fb2a987fb5,bbp2015_soma,1,P04_step_2x,ahp_depth,exceeds,0.8735102996834598,-2.581690943400062,3.455201243083522,0.5,r-57ea9af033cb1e2a1b46,r-8c353a18a7c2d87027e2
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-fb2a987fb5,bbp2015_soma,1,P04_step_2x,first_spike_latency,exceeds,6.8099999998659655,6.169999999866548,0.6399999999994179,0.5,r-57ea9af033cb1e2a1b46,r-8c353a18a7c2d87027e2
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-fb2a987fb5,bbp2015_soma,1,P05_long_step,ahp_depth,exceeds,0.5048961029071961,-2.8651916147876335,3.3700877176948296,0.5,r-a413bdc9ef17abaeb327,r-76a2213cf30a561fa390
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-fb2a987fb5,bbp2015_soma,1,P05_long_step,first_spike_latency,exceeds,10.129999999862946,9.099999999863883,1.0299999999990632,0.5,r-a413bdc9ef17abaeb327,r-76a2213cf30a561fa390
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-fb2a987fb5,bbp2015_soma,1,P06_ramp,spike_count,exceeds,33.0,34.0,1.0,0.5,r-fc615de8a8cfe6dc7efe,r-f60738cd6f34b66497e4
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-fb2a987fb5,bbp2015_soma,1,P07_hyperpolarizing_step,steady_state_voltage,exceeds,-97.96501643676791,-91.83244063262973,6.132575804138185,0.5,r-57ea9af033cb1e2a1b46,r-8c353a18a7c2d87027e2
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-fb2a987fb5,bbp2015_soma,1,P09_short_pulse,ahp_depth,exceeds,-0.9663868560786995,-4.426608240763343,3.460221384684644,0.5,r-c4b56e49cd97e4a16650,r-a020bf47ca7aceefd3a5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-fb2a987fb5,bbp2015_soma,1,P09_short_pulse,ap_amplitude,exceeds,126.55991361679921,123.8853492720163,2.674564344782908,2.5311982723359843,r-c4b56e49cd97e4a16650,r-a020bf47ca7aceefd3a5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-fb2a987fb5,bbp2015_soma,2,P00_canonical,ahp_depth,exceeds,-0.5443046181071622,-3.894671856461713,3.3503672383545506,0.5,r-1175b1c4f005ecbea9cd,r-f4850fe9a49f1023e7b6
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-fb2a987fb5,bbp2015_soma,2,P00_canonical,last_isi,exceeds,23.579999999978554,22.3199999999797,1.259999999998854,0.5,r-1175b1c4f005ecbea9cd,r-f4850fe9a49f1023e7b6
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-fb2a987fb5,bbp2015_soma,2,P04_step_2x,ahp_depth,exceeds,0.8550077082320229,-2.599239072163897,3.45424678039592,0.5,r-2cb2390f7c947ffeefc6,r-dc3b1b39511a6bc5d322
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-fb2a987fb5,bbp2015_soma,2,P04_step_2x,first_spike_latency,exceeds,6.779999999865993,6.139999999866575,0.6399999999994179,0.5,r-2cb2390f7c947ffeefc6,r-dc3b1b39511a6bc5d322
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-fb2a987fb5,bbp2015_soma,2,P05_long_step,ahp_depth,exceeds,0.5178800226843094,-2.8575245946231433,3.375404617307453,0.5,r-019eab9c744398314e93,r-42329345a3058b48d4ac
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-fb2a987fb5,bbp2015_soma,2,P05_long_step,first_spike_latency,exceeds,10.099999999862973,9.06999999986391,1.0299999999990632,0.5,r-019eab9c744398314e93,r-42329345a3058b48d4ac
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-fb2a987fb5,bbp2015_soma,2,P06_ramp,spike_count,exceeds,33.0,34.0,1.0,0.5,r-bd5adb30d6c703f0c55d,r-47dd0dc0564fe484eb15
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-fb2a987fb5,bbp2015_soma,2,P07_hyperpolarizing_step,steady_state_voltage,exceeds,-97.96501782989534,-91.83244203338656,6.132575796508789,0.5,r-2cb2390f7c947ffeefc6,r-dc3b1b39511a6bc5d322
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-fb2a987fb5,bbp2015_soma,2,P09_short_pulse,ahp_depth,exceeds,-0.9949755071020263,-4.447040280661199,3.4520647735591723,0.5,r-c07f6c024edce4a536eb,r-1a74e15c7a4baa6a5087
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_conductance-fb2a987fb5,bbp2015_soma,2,P09_short_pulse,ap_amplitude,exceeds,125.82009888245024,123.16267394834532,2.657424934104924,2.5311982723359843,r-c07f6c024edce4a536eb,r-1a74e15c7a4baa6a5087
