study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,level_factor,protocol_id,feature,reason,ref_value,var_value,diff,tau,ref_run_id,var_run_id
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_slope-2599d25adf,hay2011_soma,1,P00_canonical,first_isi,exceeds,13.789999999987458,14.899999999986449,1.1099999999989905,0.5,r-a22266676a5c9c51fe6b,r-a52b5663a8ff68501800
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_slope-2599d25adf,hay2011_soma,1,P00_canonical,mean_frequency,exceeds,23.546824542535973,20.964360587017204,2.5824639555187687,1.1773412271267987,r-a22266676a5c9c51fe6b,r-a52b5663a8ff68501800
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_slope-2599d25adf,hay2011_soma,1,P04_step_2x,first_isi,exceeds,19.86999999998193,24.75999999997748,4.889999999995553,0.5,r-49ced7acda977f37b12b,r-391cd84a68f9ff2850b8
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_slope-2599d25adf,hay2011_soma,1,P04_step_2x,mean_frequency,exceeds,30.72574202670593,28.011764941307973,2.713977085397957,1.5362871013352966,r-49ced7acda977f37b12b,r-391cd84a68f9ff2850b8
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_slope-2599d25adf,hay2011_soma,1,P05_long_step,first_isi,exceeds,189.6599999998275,178.92999999983726,10.729999999990241,3.79319999999655,r-b99907e8e6510bd22247,r-ea1c753a3cddab7d5590
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_slope-2599d25adf,hay2011_soma,2,P00_canonical,first_isi,exceeds,13.769999999987476,14.879999999986467,1.1099999999989905,0.5,r-ebfd6e5f8d6b9e916dfe,r-d8b5a70af5c1d0966a87
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_slope-2599d25adf,hay2011_soma,2,P00_canonical,mean_frequency,exceeds,23.55871167504154,20.972421266050276,2.586290408991264,1.1773412271267987,r-ebfd6e5f8d6b9e916dfe,r-d8b5a70af5c1d0966a87
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_slope-2599d25adf,hay2011_soma,2,P04_step_2x,first_isi,exceeds,19.75999999998203,24.63999999997759,4.879999999995562,0.5,r-1e40b84a0cfdecc32574,r-45b5da7286e6d77c24ca
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_slope-2599d25adf,hay2011_soma,2,P04_step_2x,mean_frequency,exceeds,30.800188907861397,28.02746691761189,2.772721990249508,1.5362871013352966,r-1e40b84a0cfdecc32574,r-45b5da7286e6d77c24ca
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_slope-2599d25adf,hay2011_soma,2,P05_long_step,first_isi,exceeds,190.6399999998266,179.8899999998364,10.749999999990223,3.79319999999655,r-cbc91d57fa8b8448b73b,r-b4de09944b713fdef699
