study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,level_factor,protocol_id,metric,ref_value,var_value,diff,tau
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_slope-50b7d76c6e,traub2005_testseg2,1,P00_canonical,trace_rmse,0.0,9.815420273024223,9.815420273024223,4.389763937613935
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_slope-50b7d76c6e,traub2005_testseg2,1,P02_weak_step,trace_rmse,0.0,0.6476329804585562,0.6476329804585562,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_slope-50b7d76c6e,traub2005_testseg2,1,P04_step_2x,spike_count,18.0,16.0,2.0,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_slope-50b7d76c6e,traub2005_testseg2,1,P07_hyperpolarizing_step,trace_rmse,0.0,0.6152843941875529,0.6152843941875529,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_slope-50b7d76c6e,traub2005_testseg2,1,P08_rebound,trace_rmse,0.0,0.507225192373819,0.507225192373819,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_slope-50b7d76c6e,traub2005_testseg2,1,P09_short_pulse,trace_rmse,0.0,0.86373869345379,0.86373869345379,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_slope-50b7d76c6e,traub2005_testseg2,2,P00_canonical,trace_rmse,0.0,9.730134676889623,9.730134676889623,4.389763937613935
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_slope-50b7d76c6e,traub2005_testseg2,2,P02_weak_step,trace_rmse,0.0,0.6476316002702591,0.6476316002702591,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_slope-50b7d76c6e,traub2005_testseg2,2,P04_step_2x,spike_count,18.0,16.0,2.0,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_slope-50b7d76c6e,traub2005_testseg2,2,P07_hyperpolarizing_step,trace_rmse,0.0,0.6152830260170832,0.6152830260170832,0.5
