study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,level_factor,protocol_id,metric,ref_value,var_value,diff,tau
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_slope-cc901a1db6,migliore2005_ca1_soma,1,P00_canonical,trace_rmse,0.0,21.53832942018038,21.53832942018038,4.056233398367646
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_slope-cc901a1db6,migliore2005_ca1_soma,1,P00_canonical,spike_count,4.0,3.0,1.0,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_slope-cc901a1db6,migliore2005_ca1_soma,1,P04_step_2x,trace_rmse,0.0,16.21498709148554,16.21498709148554,8.74933749412385
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_slope-cc901a1db6,migliore2005_ca1_soma,1,P04_step_2x,spike_count,13.0,11.0,2.0,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_slope-cc901a1db6,migliore2005_ca1_soma,1,P05_long_step,spike_count,39.0,28.0,11.0,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_slope-cc901a1db6,migliore2005_ca1_soma,1,P06_ramp,trace_rmse,0.0,14.095808848812839,14.095808848812839,6.268302746832255
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_slope-cc901a1db6,migliore2005_ca1_soma,1,P06_ramp,spike_count,16.0,13.0,3.0,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_slope-cc901a1db6,migliore2005_ca1_soma,1,P09_short_pulse,trace_rmse,0.0,3.65843190302479,3.65843190302479,1.2258983519359425
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_slope-cc901a1db6,migliore2005_ca1_soma,1,P09_short_pulse,spike_timing,,,0.6267085827751657,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_slope-cc901a1db6,migliore2005_ca1_soma,2,P00_canonical,trace_rmse,0.0,21.530627435030112,21.530627435030112,4.056233398367646
