study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,level_factor,protocol_id,metric,ref_value,var_value,diff,tau
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_time_constant-88eeff0e4c,migliore2005_ca1_soma,1,P00_canonical,trace_rmse,0.0,24.800583532999557,24.800583532999557,4.056233398367646
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_time_constant-88eeff0e4c,migliore2005_ca1_soma,1,P00_canonical,spike_timing,,,6.759443524311607,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_time_constant-88eeff0e4c,migliore2005_ca1_soma,1,P04_step_2x,trace_rmse,0.0,15.64425339469129,15.64425339469129,8.74933749412385
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_time_constant-88eeff0e4c,migliore2005_ca1_soma,1,P04_step_2x,spike_timing,,,9.420754583866028,0.5184140370024579
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_time_constant-88eeff0e4c,migliore2005_ca1_soma,1,P05_long_step,spike_timing,,,10.305262224389935,4.505739422430906
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_time_constant-88eeff0e4c,migliore2005_ca1_soma,1,P06_ramp,trace_rmse,0.0,13.085560851694344,13.085560851694344,6.268302746832255
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_time_constant-88eeff0e4c,migliore2005_ca1_soma,1,P06_ramp,spike_timing,,,10.398426268982348,0.5781188626785934
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_time_constant-88eeff0e4c,migliore2005_ca1_soma,2,P00_canonical,trace_rmse,0.0,24.78605245986953,24.78605245986953,4.056233398367646
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_time_constant-88eeff0e4c,migliore2005_ca1_soma,2,P00_canonical,spike_timing,,,6.771943894168359,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_time_constant-88eeff0e4c,migliore2005_ca1_soma,2,P04_step_2x,trace_rmse,0.0,15.63073155971039,15.63073155971039,8.74933749412385
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_time_constant-88eeff0e4c,migliore2005_ca1_soma,2,P04_step_2x,spike_timing,,,9.690791076181313,0.5184140370024579
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_time_constant-88eeff0e4c,migliore2005_ca1_soma,2,P05_long_step,spike_timing,,,10.140202615346425,4.505739422430906
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_time_constant-88eeff0e4c,migliore2005_ca1_soma,2,P06_ramp,trace_rmse,0.0,13.084381865415464,13.084381865415464,6.268302746832255
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-scale_gate_time_constant-88eeff0e4c,migliore2005_ca1_soma,2,P06_ramp,spike_timing,,,10.658694433067467,0.5781188626785934
