study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,level_factor,protocol_id,feature,reason,ref_value,var_value,diff,tau,ref_run_id,var_run_id
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_forward_rate_midpoint-81b6124362,traub2005_testseg2,1,P04_step_2x,first_isi,exceeds,19.8999999999819,21.6599999999803,1.7599999999983993,0.5,r-531ed8bf9e8ec22d7778,r-f1ca5122eddbec0f882a
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_forward_rate_midpoint-81b6124362,traub2005_testseg2,1,P04_step_2x,mean_frequency,exceeds,37.62305875472102,33.37017957331807,4.252879181402953,1.8811529377360512,r-531ed8bf9e8ec22d7778,r-f1ca5122eddbec0f882a
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_forward_rate_midpoint-81b6124362,traub2005_testseg2,1,P05_long_step,first_isi,exceeds,38.54999999996494,45.86999999995828,7.3199999999933425,1.4399999999986903,r-c181d8dc3f2e9e1a86cf,r-d86a9816653f2efadf5b
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_forward_rate_midpoint-81b6124362,traub2005_testseg2,1,P05_long_step,mean_frequency,exceeds,21.147716801823965,18.173465730365752,2.9742510714582124,1.1242804544150076,r-c181d8dc3f2e9e1a86cf,r-d86a9816653f2efadf5b
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_forward_rate_midpoint-81b6124362,traub2005_testseg2,1,P06_ramp,mean_frequency,exceeds,27.091841342178,24.210632502799275,2.8812088393787256,1.9733828686403143,r-8c44150a9a017555d35c,r-f29a6f7f31a129dda63f
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_forward_rate_midpoint-81b6124362,traub2005_testseg2,2,P04_step_2x,first_isi,exceeds,19.939999999981865,21.75999999998021,1.8199999999983447,0.5,r-c4e93fb668595b0fb26c,r-7e01508203a88dbaa00f
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_forward_rate_midpoint-81b6124362,traub2005_testseg2,2,P04_step_2x,mean_frequency,exceeds,37.10116250313528,32.8987950816687,4.202367421466576,1.8811529377360512,r-c4e93fb668595b0fb26c,r-7e01508203a88dbaa00f
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_forward_rate_midpoint-81b6124362,traub2005_testseg2,2,P05_long_step,first_isi,exceeds,39.0299999999645,46.58999999995763,7.559999999993124,1.4399999999986903,r-c41be102b8e8611b929c,r-f1b3361d3bad7ed0e35a
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_forward_rate_midpoint-81b6124362,traub2005_testseg2,2,P05_long_step,mean_frequency,exceeds,20.772956650352295,17.85878294942806,2.914173700924234,1.1242804544150076,r-c41be102b8e8611b929c,r-f1b3361d3bad7ed0e35a
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_forward_rate_midpoint-81b6124362,traub2005_testseg2,2,P06_ramp,mean_frequency,exceeds,26.43404705263123,24.07752964548336,2.3565174071478694,1.9733828686403143,r-11d8f8c83600b900cadc,r-f7c455a5e5dd0356fa77
