study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,level_factor,protocol_id,feature,reason,ref_value,var_value,diff,tau,ref_run_id,var_run_id
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_gate_midpoint-7f37e71cd5,traub2005_testseg2,1,P00_canonical,adaptation_index,definedness,0.017936897992228234,,,0.01,r-a309e30f4eac6329447d,r-921483c9535704a43eed
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_gate_midpoint-7f37e71cd5,traub2005_testseg2,1,P00_canonical,ahp_depth,exceeds,-7.977452861728821,-1.6654787585509752,6.311974103177846,0.5,r-a309e30f4eac6329447d,r-921483c9535704a43eed
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_gate_midpoint-7f37e71cd5,traub2005_testseg2,1,P00_canonical,first_spike_latency,exceeds,2.9100000000007817,38.04999999999702,35.139999999996235,0.5,r-a309e30f4eac6329447d,r-921483c9535704a43eed
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_gate_midpoint-7f37e71cd5,traub2005_testseg2,1,P00_canonical,last_isi,exceeds,7.590000000003883,8.740000000004471,1.1500000000005883,0.5,r-a309e30f4eac6329447d,r-921483c9535704a43eed
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_gate_midpoint-7f37e71cd5,traub2005_testseg2,1,P00_canonical,spike_count,exceeds,9.0,3.0,6.0,0.5,r-a309e30f4eac6329447d,r-921483c9535704a43eed
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_gate_midpoint-7f37e71cd5,traub2005_testseg2,1,P02_weak_step,steady_state_voltage,exceeds,-63.11310723342887,-67.64778379821769,4.534676564788818,0.5,r-531ed8bf9e8ec22d7778,r-c21353b2a994cd13cdf3
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_gate_midpoint-7f37e71cd5,traub2005_testseg2,1,P03_rheobase,rheobase,exceeds,0.01710948705689502,0.05132846117068506,0.034218974113790046,0.0003421897411379004,s-b9450aacc8ce67e5b927,s-662698bd5a21a9d44e04
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_gate_midpoint-7f37e71cd5,traub2005_testseg2,1,P04_step_2x,adaptation_index,definedness,0.004861353302673796,,,0.01,r-531ed8bf9e8ec22d7778,r-c21353b2a994cd13cdf3
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_gate_midpoint-7f37e71cd5,traub2005_testseg2,1,P04_step_2x,ahp_depth,definedness,-5.43348429870143,,,1.1452817153694355,r-531ed8bf9e8ec22d7778,r-c21353b2a994cd13cdf3
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_gate_midpoint-7f37e71cd5,traub2005_testseg2,1,P04_step_2x,ap_amplitude,definedness,76.68460655583269,,,1.896366140360115,r-531ed8bf9e8ec22d7778,r-c21353b2a994cd13cdf3
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_gate_midpoint-7f37e71cd5,traub2005_testseg2,1,P04_step_2x,first_spike_latency,definedness,53.72999999982329,,,1.074599999996466,r-531ed8bf9e8ec22d7778,r-c21353b2a994cd13cdf3
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_gate_midpoint-7f37e71cd5,traub2005_testseg2,1,P04_step_2x,last_isi,definedness,25.62999999997669,,,1.2899999999988268,r-531ed8bf9e8ec22d7778,r-c21353b2a994cd13cdf3
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_gate_midpoint-7f37e71cd5,traub2005_testseg2,1,P04_step_2x,spike_count,exceeds,18.0,0.0,18.0,0.5,r-531ed8bf9e8ec22d7778,r-c21353b2a994cd13cdf3
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_gate_midpoint-7f37e71cd5,traub2005_testseg2,1,P05_long_step,adaptation_index,definedness,0.0003686992675871277,,,0.01,r-c181d8dc3f2e9e1a86cf,r-13d8803b45a6b21de850
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_gate_midpoint-7f37e71cd5,traub2005_testseg2,1,P05_long_step,ahp_depth,definedness,-5.300969345084837,,,1.1525372695970049,r-c181d8dc3f2e9e1a86cf,r-13d8803b45a6b21de850
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_gate_midpoint-7f37e71cd5,traub2005_testseg2,1,P05_long_step,ap_amplitude,definedness,77.26993942349823,,,1.9825515679873291,r-c181d8dc3f2e9e1a86cf,r-13d8803b45a6b21de850
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_gate_midpoint-7f37e71cd5,traub2005_testseg2,1,P05_long_step,first_spike_latency,definedness,86.49999999979349,,,1.7299999999958697,r-c181d8dc3f2e9e1a86cf,r-13d8803b45a6b21de850
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_gate_midpoint-7f37e71cd5,traub2005_testseg2,1,P05_long_step,last_isi,definedness,46.560000001016306,,,2.6100000000569707,r-c181d8dc3f2e9e1a86cf,r-13d8803b45a6b21de850
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_gate_midpoint-7f37e71cd5,traub2005_testseg2,1,P05_long_step,spike_count,exceeds,42.0,0.0,42.0,3.0,r-c181d8dc3f2e9e1a86cf,r-13d8803b45a6b21de850
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_gate_midpoint-7f37e71cd5,traub2005_testseg2,1,P06_ramp,first_spike_latency,definedness,435.03999999947655,,,8.700799999989531,r-8c44150a9a017555d35c,r-7b2300283ad921fa6830
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_gate_midpoint-7f37e71cd5,traub2005_testseg2,1,P06_ramp,spike_count,exceeds,27.0,0.0,27.0,3.0,r-8c44150a9a017555d35c,r-7b2300283ad921fa6830
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_gate_midpoint-7f37e71cd5,traub2005_testseg2,1,P07_hyperpolarizing_step,steady_state_voltage,exceeds,-69.1199735717775,-71.51051949615494,2.3905459243774345,0.5,r-531ed8bf9e8ec22d7778,r-c21353b2a994cd13cdf3
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_gate_midpoint-7f37e71cd5,traub2005_testseg2,1,P09_short_pulse,ahp_depth,definedness,-8.488179428100779,,,1.0867566299802434,r-f411679bd6f2a1231337,r-26bdaf0314684c1b3aff
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_gate_midpoint-7f37e71cd5,traub2005_testseg2,1,P09_short_pulse,ap_amplitude,definedness,90.83680152686651,,,1.8167360305373301,r-f411679bd6f2a1231337,r-26bdaf0314684c1b3aff
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_gate_midpoint-7f37e71cd5,traub2005_testseg2,1,P09_short_pulse,first_spike_latency,definedness,1.7799999998705403,,,0.5,r-f411679bd6f2a1231337,r-26bdaf0314684c1b3aff
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_gate_midpoint-7f37e71cd5,traub2005_testseg2,1,P09_short_pulse,spike_count,exceeds,1.0,0.0,1.0,0.5,r-f411679bd6f2a1231337,r-26bdaf0314684c1b3aff
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_gate_midpoint-7f37e71cd5,traub2005_testseg2,2,P00_canonical,adaptation_index,definedness,0.018020148454594893,,,0.01,r-82914471c1c753634231,r-717b9f1ed14ff42ec1e9
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_gate_midpoint-7f37e71cd5,traub2005_testseg2,2,P00_canonical,ahp_depth,exceeds,-7.911862463500448,-1.5948204685796128,6.317041994920835,0.5,r-82914471c1c753634231,r-717b9f1ed14ff42ec1e9
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_gate_midpoint-7f37e71cd5,traub2005_testseg2,2,P00_canonical,first_spike_latency,exceeds,2.90000000000078,38.03999999999702,35.13999999999624,0.5,r-82914471c1c753634231,r-717b9f1ed14ff42ec1e9
