study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,level_factor,protocol_id,feature,reason,ref_value,var_value,diff,tau,ref_run_id,var_run_id
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-5d369845ce,hay2011_soma,1,P00_canonical,last_isi,exceeds,15.789999999985639,18.22999999998342,2.439999999997781,0.5,r-a22266676a5c9c51fe6b,r-eb69e8b4e53cf6f6d753
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-5d369845ce,hay2011_soma,1,P00_canonical,spike_count,exceeds,7.0,6.0,1.0,0.5,r-a22266676a5c9c51fe6b,r-eb69e8b4e53cf6f6d753
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-5d369845ce,hay2011_soma,1,P04_step_2x,adaptation_index,exceeds,0.01011398557861304,-0.012700891939660718,0.022814877518273758,0.01,r-49ced7acda977f37b12b,r-099a603fcdf7851c8134
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-5d369845ce,hay2011_soma,1,P04_step_2x,last_isi,exceeds,36.64999999996667,120.09999999989077,83.4499999999241,0.7329999999993334,r-49ced7acda977f37b12b,r-099a603fcdf7851c8134
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-5d369845ce,hay2011_soma,1,P04_step_2x,spike_count,exceeds,15.0,4.0,11.0,0.5,r-49ced7acda977f37b12b,r-099a603fcdf7851c8134
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-5d369845ce,hay2011_soma,1,P05_long_step,last_isi,exceeds,142.97000000312073,151.46000000330605,8.490000000185319,3.0300000000661385,r-b99907e8e6510bd22247,r-63a9f8f8ccf82bd0ff53
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-5d369845ce,hay2011_soma,1,P05_long_step,spike_count,exceeds,14.0,13.0,1.0,0.5,r-b99907e8e6510bd22247,r-63a9f8f8ccf82bd0ff53
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-5d369845ce,hay2011_soma,1,P06_ramp,spike_count,exceeds,24.0,19.0,5.0,0.5,r-da1341cbf9665d4e7639,r-65a026566dd3822e12da
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-5d369845ce,hay2011_soma,2,P00_canonical,last_isi,exceeds,15.769999999985657,18.199999999983447,2.42999999999779,0.5,r-ebfd6e5f8d6b9e916dfe,r-93e4b89bdb15601127a2
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-5d369845ce,hay2011_soma,2,P00_canonical,spike_count,exceeds,7.0,6.0,1.0,0.5,r-ebfd6e5f8d6b9e916dfe,r-93e4b89bdb15601127a2
