study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,level_factor,protocol_id,metric,ref_value,var_value,diff,tau
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-ddf3b19e3e,migliore2005_ca1_soma,1,P00_canonical,trace_rmse,0.0,18.15106752463264,18.15106752463264,4.056233398367646
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-ddf3b19e3e,migliore2005_ca1_soma,1,P00_canonical,spike_timing,,,1.7132680759538488,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-ddf3b19e3e,migliore2005_ca1_soma,1,P04_step_2x,trace_rmse,0.0,16.29735713179948,16.29735713179948,8.74933749412385
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-ddf3b19e3e,migliore2005_ca1_soma,1,P04_step_2x,spike_count,13.0,12.0,1.0,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-ddf3b19e3e,migliore2005_ca1_soma,1,P05_long_step,spike_count,39.0,34.0,5.0,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-ddf3b19e3e,migliore2005_ca1_soma,1,P06_ramp,trace_rmse,0.0,14.455850473660611,14.455850473660611,6.268302746832255
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-ddf3b19e3e,migliore2005_ca1_soma,1,P06_ramp,spike_count,16.0,14.0,2.0,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-ddf3b19e3e,migliore2005_ca1_soma,1,P09_short_pulse,trace_rmse,0.0,2.130756803231152,2.130756803231152,1.2258983519359425
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-ddf3b19e3e,migliore2005_ca1_soma,2,P00_canonical,trace_rmse,0.0,18.14933161391216,18.14933161391216,4.056233398367646
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-ddf3b19e3e,migliore2005_ca1_soma,2,P00_canonical,spike_timing,,,1.7136941814028575,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-ddf3b19e3e,migliore2005_ca1_soma,2,P04_step_2x,trace_rmse,0.0,16.239527745288314,16.239527745288314,8.74933749412385
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-ddf3b19e3e,migliore2005_ca1_soma,2,P04_step_2x,spike_count,13.0,12.0,1.0,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-ddf3b19e3e,migliore2005_ca1_soma,2,P05_long_step,spike_count,39.0,34.0,5.0,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-ddf3b19e3e,migliore2005_ca1_soma,2,P06_ramp,trace_rmse,0.0,14.408276655637385,14.408276655637385,6.268302746832255
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-ddf3b19e3e,migliore2005_ca1_soma,2,P06_ramp,spike_count,16.0,14.0,2.0,0.5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-ddf3b19e3e,migliore2005_ca1_soma,2,P09_short_pulse,trace_rmse,0.0,2.1334505859975983,2.1334505859975983,1.2258983519359425
