study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,level_factor,protocol_id,feature,reason,ref_value,var_value,diff,tau,ref_run_id,var_run_id
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-f753277a7b,smith2013_singlecomp,1,P00_canonical,ap_amplitude,exceeds,108.20782089620715,118.0491676370368,9.84134674082965,2.164156417924143,r-cc06a5423671e115f063,r-73ee1fd09165a5cac37b
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-f753277a7b,smith2013_singlecomp,1,P03_rheobase,rheobase,exceeds,0.02165152653507274,0.021002663752475923,0.0006488627825968173,0.00043303053070145483,s-d8858d31b993a1ff480b,s-699e0d4c115420fa78b8
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-f753277a7b,smith2013_singlecomp,1,P04_step_2x,ap_amplitude,exceeds,108.29823684909732,118.33782577661356,10.039588927516235,2.1659647369819464,r-d2cafd1fc897dbfd8130,r-8555382b9b74a429538d
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-f753277a7b,smith2013_singlecomp,1,P05_long_step,ap_amplitude,exceeds,107.47266006221963,117.35036468604868,9.877704623829047,2.1494532012443925,r-1b9872d61cd35dd7d644,r-b4a7fdf21b18d5ac5b94
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-f753277a7b,smith2013_singlecomp,1,P06_ramp,first_spike_latency,exceeds,403.0899999995056,384.2699999995227,18.819999999982883,8.061799999990113,r-fb29aefdef0f8e35dca0,r-d4e54bad833223955736
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-f753277a7b,smith2013_singlecomp,1,P06_ramp,spike_count,exceeds,35.0,36.0,1.0,0.5,r-fb29aefdef0f8e35dca0,r-d4e54bad833223955736
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-f753277a7b,smith2013_singlecomp,1,P09_short_pulse,ahp_depth,exceeds,-13.72103464253783,-10.882960128784774,2.8380745137530567,0.6860517321268915,r-83f9184aaeefc65499cb,r-efeace36964ef4a3a785
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-f753277a7b,smith2013_singlecomp,1,P09_short_pulse,ap_amplitude,exceeds,134.16434859879257,143.82170104296807,9.657352444175501,2.6832869719758516,r-83f9184aaeefc65499cb,r-efeace36964ef4a3a785
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-f753277a7b,smith2013_singlecomp,2,P00_canonical,ap_amplitude,exceeds,108.25350570834362,117.95969009462395,9.706184386280327,2.164156417924143,r-731f49df5b3e5b386bce,r-2a657e4af32b627737ae
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-shift_reversal-f753277a7b,smith2013_singlecomp,2,P03_rheobase,rheobase,exceeds,0.02165152653507274,0.021002663752475923,0.0006488627825968173,0.00043303053070145483,s-cfaadc06f539b47bcf96,s-d131dc4a20943b9457c5
