study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,level_factor,protocol_id,feature,reason,ref_value,var_value,diff,tau,ref_run_id,var_run_id
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-wrong_compatible_component-fb7ebc795f,bbp2015_soma,1,P00_canonical,adaptation_index,exceeds,0.0296528898400037,0.005697176139461529,0.02395571370054217,0.01,r-f821a906ac6ddfedc3f9,r-4463c30845a63d10d85f
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-wrong_compatible_component-fb7ebc795f,bbp2015_soma,1,P00_canonical,last_isi,exceeds,23.589999999978545,12.81999999998834,10.769999999990205,0.5,r-f821a906ac6ddfedc3f9,r-4463c30845a63d10d85f
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-wrong_compatible_component-fb7ebc795f,bbp2015_soma,1,P00_canonical,spike_count,exceeds,5.0,8.0,3.0,0.5,r-f821a906ac6ddfedc3f9,r-4463c30845a63d10d85f
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-wrong_compatible_component-fb7ebc795f,bbp2015_soma,1,P04_step_2x,last_isi,exceeds,16.709999999984802,11.93999999998914,4.769999999995662,0.5,r-57ea9af033cb1e2a1b46,r-2510955f3f1d5998eb0e
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-wrong_compatible_component-fb7ebc795f,bbp2015_soma,1,P04_step_2x,spike_count,exceeds,30.0,42.0,12.0,0.5,r-57ea9af033cb1e2a1b46,r-2510955f3f1d5998eb0e
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-wrong_compatible_component-fb7ebc795f,bbp2015_soma,1,P05_long_step,last_isi,exceeds,118.6600000025901,14.430000000314976,104.23000000227512,2.373200000051802,r-a413bdc9ef17abaeb327,r-a435f812fe09b8172a78
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-wrong_compatible_component-fb7ebc795f,bbp2015_soma,1,P05_long_step,spike_count,exceeds,16.0,137.0,121.0,0.5,r-a413bdc9ef17abaeb327,r-a435f812fe09b8172a78
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-wrong_compatible_component-fb7ebc795f,bbp2015_soma,1,P06_ramp,spike_count,exceeds,33.0,53.0,20.0,0.5,r-fc615de8a8cfe6dc7efe,r-27f8a92dbea318e99641
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-wrong_compatible_component-fb7ebc795f,bbp2015_soma,2,P00_canonical,adaptation_index,exceeds,0.029665994195325708,0.005701748891649136,0.023964245303676572,0.01,r-1175b1c4f005ecbea9cd,r-26e4ef3c926e03e1dc7b
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-wrong_compatible_component-fb7ebc795f,bbp2015_soma,2,P00_canonical,last_isi,exceeds,23.579999999978554,12.80999999998835,10.769999999990205,0.5,r-1175b1c4f005ecbea9cd,r-26e4ef3c926e03e1dc7b
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-wrong_compatible_component-fb7ebc795f,bbp2015_soma,2,P00_canonical,spike_count,exceeds,5.0,8.0,3.0,0.5,r-1175b1c4f005ecbea9cd,r-26e4ef3c926e03e1dc7b
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-wrong_compatible_component-fb7ebc795f,bbp2015_soma,2,P04_step_2x,last_isi,exceeds,16.66999999998484,11.909999999989168,4.759999999995671,0.5,r-2cb2390f7c947ffeefc6,r-1ee5b965315abe1de1d7
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-wrong_compatible_component-fb7ebc795f,bbp2015_soma,2,P04_step_2x,spike_count,exceeds,30.0,42.0,12.0,0.5,r-2cb2390f7c947ffeefc6,r-1ee5b965315abe1de1d7
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-wrong_compatible_component-fb7ebc795f,bbp2015_soma,2,P05_long_step,last_isi,exceeds,118.89000000259512,14.400000000314321,104.4900000022808,2.373200000051802,r-019eab9c744398314e93,r-ce610f25e22687b971c5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-wrong_compatible_component-fb7ebc795f,bbp2015_soma,2,P05_long_step,spike_count,exceeds,16.0,137.0,121.0,0.5,r-019eab9c744398314e93,r-ce610f25e22687b971c5
neuron_model_behavioral_validation,Neuraxis,confirmatory_heldout,HELDOUT_PROTOCOL_V1,Confirmatory held-out evaluation; preregistered at AsPredicted before any held-out observation; never pooled with development data,m-wrong_compatible_component-fb7ebc795f,bbp2015_soma,2,P06_ramp,spike_count,exceeds,33.0,53.0,20.0,0.5,r-bd5adb30d6c703f0c55d,r-c6697e7aaa1159b1e442
