variant_id,model_id,kind,family,operator,params,class,admissible,structural_valid,libneuroml_strict,status_h,n_detections_h,n_detections_h2,canonical_detected_h,canonical_detected_reproducible,detecting_protocols,canonical_runs_but_battery_failed,runtime_s
m-scale_conductance-56da844943,pospischil2008_rs,mutant,biophysical,scale_conductance,"{""changes"": [{""attribute"": ""condDensity"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='IM_all']"", ""new"": ""0.0875 mS_per_cm2"", ""old"": ""0.07 mS_per_cm2""}], ""element"": ""channelDensity"", ""element_id"": ""IM_all"", ""factor"": 1.25, ""generator_seed"": 20260913}",5_non_equivalent,True,True,True,ok,18,18,True,True,P00_canonical;P03_rheobase;P04_step_2x;P05_long_step;P06_ramp,False,1661.494
m-scale_conductance-fa05b19484,pospischil2008_rs,mutant,biophysical,scale_conductance,"{""changes"": [{""attribute"": ""condDensity"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensityVShift[@id='Na_all']"", ""new"": ""45.0 mS_per_cm2"", ""old"": ""50.0 mS_per_cm2""}], ""element"": ""channelDensityVShift"", ""element_id"": ""Na_all"", ""factor"": 0.9, ""generator_seed"": 20260913}",5_non_equivalent,True,True,True,ok,3,3,True,True,P00_canonical;P05_long_step,False,1662.956
m-shift_reversal-2d2e2ab474,pospischil2008_rs,mutant,biophysical,shift_reversal,"{""changes"": [{""attribute"": ""erev"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Kd_all']"", ""new"": ""-105.0 mV"", ""old"": ""-100.0 mV""}], ""element"": ""channelDensity"", ""element_id"": ""Kd_all"", ""generator_seed"": 20260913, ""shift_mV"": -5.0}",5_non_equivalent,True,True,True,ok,8,7,True,True,P00_canonical;P04_step_2x;P05_long_step,False,1645.4
m-shift_reversal-8c42fb9d1f,pospischil2008_rs,mutant,biophysical,shift_reversal,"{""changes"": [{""attribute"": ""erev"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='IM_all']"", ""new"": ""-95.0 mV"", ""old"": ""-100.0 mV""}], ""element"": ""channelDensity"", ""element_id"": ""IM_all"", ""generator_seed"": 20260913, ""shift_mV"": 5.0}",5_non_equivalent,True,True,True,ok,13,13,True,True,P00_canonical;P04_step_2x;P05_long_step;P06_ramp,False,1665.731
m-scale_capacitance-ca8d29abe3,pospischil2008_rs,mutant,biophysical,scale_capacitance,"{""changes"": [{""attribute"": ""value"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1]"", ""new"": ""1.1 uF_per_cm2"", ""old"": ""1.0 uF_per_cm2""}], ""element"": ""specificCapacitance"", ""element_id"": null, ""factor"": 1.1, ""generator_seed"": 20260913}",5_non_equivalent,True,True,True,ok,15,14,True,True,P00_canonical;P04_step_2x;P05_long_step;P06_ramp,False,1677.827
m-scale_capacitance-a0c243c06e,pospischil2008_rs,mutant,biophysical,scale_capacitance,"{""changes"": [{""attribute"": ""value"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1]"", ""new"": ""2.0 uF_per_cm2"", ""old"": ""1.0 uF_per_cm2""}], ""element"": ""specificCapacitance"", ""element_id"": null, ""factor"": 2.0, ""generator_seed"": 20260913}",5_non_equivalent,True,True,True,ok,35,36,True,True,P00_canonical;P03_rheobase;P04_step_2x;P05_long_step;P06_ramp;P09_short_pulse;P10_paired_pulses,False,1714.078
m-scale_gate_time_constant-d9645f95f6,pospischil2008_rs,mutant,biophysical,scale_gate_time_constant,"{""channel"": ""Kd"", ""factor"": 2.0, ""gate"": ""n"", ""generator_seed"": 20260913, ""mechanism"": ""q10_insert""}",5_non_equivalent,True,True,True,ok,28,28,True,True,P00_canonical;P04_step_2x;P05_long_step;P06_ramp;P09_short_pulse;P10_paired_pulses,False,1683.528
m-scale_gate_time_constant-244443ee5f,pospischil2008_rs,mutant,biophysical,scale_gate_time_constant,"{""channel"": ""Na"", ""factor"": 1.25, ""gate"": ""h"", ""generator_seed"": 20260913, ""mechanism"": ""q10_insert""}",5_non_equivalent,True,True,True,ok,17,16,True,True,P00_canonical;P04_step_2x;P05_long_step;P06_ramp;P09_short_pulse,False,1703.864
m-shift_initial_voltage-fa992f061c,pospischil2008_rs,mutant,biophysical,shift_initial_voltage,"{""changes"": [{""attribute"": ""value"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/initMembPotential[1]"", ""new"": ""-75.0 mV"", ""old"": ""-70.0 mV""}], ""element"": ""initMembPotential"", ""element_id"": null, ""generator_seed"": 20260913, ""shift_mV"": -5.0}",4_equivalent_within_tested_domain,False,True,True,ok,0,,False,False,,False,630.416
m-shift_initial_voltage-26ed299545,pospischil2008_rs,mutant,biophysical,shift_initial_voltage,"{""changes"": [{""attribute"": ""value"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/initMembPotential[1]"", ""new"": ""-68.0 mV"", ""old"": ""-70.0 mV""}], ""element"": ""initMembPotential"", ""element_id"": null, ""generator_seed"": 20260913, ""shift_mV"": 2.0}",4_equivalent_within_tested_domain,False,True,True,ok,0,,False,False,,False,608.087
m-wrong_segment_group-0524556243,pospischil2008_rs,mutant,biophysical,wrong_segment_group,"{""changes"": [{""attribute"": ""segmentGroup"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Kd_all']"", ""new"": ""soma_group"", ""old"": null}], ""element"": ""channelDensity"", ""element_id"": ""Kd_all"", ""generator_seed"": 20260913, ""new_group"": ""soma_group""}",4_equivalent_within_tested_domain,False,True,True,ok,0,,False,False,,False,613.75
m-wrong_segment_group-01dc7ba1d7,pospischil2008_rs,mutant,biophysical,wrong_segment_group,"{""changes"": [{""attribute"": ""segmentGroup"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='IM_all']"", ""new"": ""Soma"", ""old"": null}], ""element"": ""channelDensity"", ""element_id"": ""IM_all"", ""generator_seed"": 20260913, ""new_group"": ""Soma""}",4_equivalent_within_tested_domain,False,True,True,ok,0,,False,False,,False,595.407
