mutant_id,model_id,family,P00_canonical,P01_baseline,P02_weak_step,P04_step_2x,P05_long_step,P06_ramp,P07_hyperpolarizing_step,P08_rebound,P09_short_pulse,P10_paired_pulses,P03_rheobase
__cost__,,,1000000.0,200000.0,200000.0,200000.0,500000.0,300000.0,200000.0,220000.0,100000.0,100000.0,8640000.0
m-scale_conductance-56da844943,pospischil2008_rs,biophysical,1,0,0,1,1,1,0,0,0,0,1
m-scale_conductance-fa05b19484,pospischil2008_rs,biophysical,1,0,0,0,1,0,0,0,0,0,0
m-shift_reversal-2d2e2ab474,pospischil2008_rs,biophysical,1,0,0,1,1,0,0,0,0,0,0
m-shift_reversal-8c42fb9d1f,pospischil2008_rs,biophysical,1,0,0,1,1,1,0,0,0,0,0
m-scale_capacitance-ca8d29abe3,pospischil2008_rs,biophysical,1,0,0,1,1,1,0,0,0,0,0
m-scale_capacitance-a0c243c06e,pospischil2008_rs,biophysical,1,0,0,1,1,1,0,0,1,1,1
m-scale_gate_time_constant-d9645f95f6,pospischil2008_rs,biophysical,1,0,0,1,1,1,0,0,1,1,0
m-scale_gate_time_constant-244443ee5f,pospischil2008_rs,biophysical,1,0,0,1,1,1,0,0,1,0,0
m-increase_dt-b7cdfa6b5c,pospischil2008_rs,numerical,0,0,0,1,1,0,0,0,0,0,0
m-increase_dt-f3e1491a0a,pospischil2008_rs,numerical,1,0,0,1,1,1,0,0,1,0,0
m-recording_resolution-7d6e4357af,pospischil2008_rs,numerical,0,0,0,0,1,0,0,0,1,0,0
m-duplicate_conductance-c92521ba5f,pospischil2008_rs,reference,1,0,0,1,1,1,0,0,1,0,0
m-duplicate_conductance-4e2ab48a04,pospischil2008_rs,reference,1,1,1,1,1,1,1,0,1,0,1
m-scale_conductance-9b1ec69fe4,pospischil2008_lts,biophysical,1,0,0,0,0,0,0,0,0,0,0
m-scale_conductance-1000aafe3e,pospischil2008_lts,biophysical,1,0,1,1,1,0,0,0,0,0,1
m-shift_reversal-27f94c8222,pospischil2008_lts,biophysical,1,0,0,1,1,0,0,0,0,0,0
m-shift_reversal-5c87169260,pospischil2008_lts,biophysical,1,0,0,1,1,0,0,0,0,0,0
m-scale_capacitance-ee6df9013d,pospischil2008_lts,biophysical,1,0,0,1,1,0,0,0,0,0,1
m-scale_capacitance-64ced10e8f,pospischil2008_lts,biophysical,1,0,1,1,1,0,1,1,0,0,1
m-scale_gate_time_constant-834b272d00,pospischil2008_lts,biophysical,1,0,0,0,0,0,0,0,0,0,0
m-scale_gate_time_constant-bac677a78d,pospischil2008_lts,biophysical,1,0,0,0,0,0,0,0,0,0,0
m-shift_initial_voltage-11bd93c6c3,pospischil2008_lts,biophysical,1,0,0,0,1,0,0,0,0,0,1
m-increase_dt-12296e231e,pospischil2008_lts,numerical,0,0,0,1,1,0,0,0,0,0,0
m-increase_dt-26c6d170d7,pospischil2008_lts,numerical,1,0,0,1,1,0,0,0,0,0,0
m-recording_resolution-46bcb819ee,pospischil2008_lts,numerical,1,0,0,0,0,0,0,0,0,0,0
m-wrong_channel-091a20b452,pospischil2008_lts,reference,1,1,1,1,1,1,1,1,1,1,1
m-duplicate_conductance-49ac9c1585,pospischil2008_lts,reference,1,0,0,1,1,0,0,0,0,0,0
m-duplicate_conductance-e09481d53c,pospischil2008_lts,reference,1,0,0,1,1,0,0,0,0,0,0
