variant_id,model_id,kind,operator,class,false_positive,detected_at_h_only,detections
pospischil2008_rs__unit_conversion__000,pospischil2008_rs,valid_transform,unit_conversion,4_equivalent_within_tested_domain,False,False,
pospischil2008_rs__xml_formatting__000,pospischil2008_rs,no_change_control,xml_formatting,4_equivalent_within_tested_domain,False,False,
pospischil2008_rs__add_comments__000,pospischil2008_rs,no_change_control,add_comments,4_equivalent_within_tested_domain,False,False,
pospischil2008_rs__numeric_literal_format__000,pospischil2008_rs,valid_transform,numeric_literal_format,4_equivalent_within_tested_domain,False,False,
pospischil2008_rs__rename_identifier__000,pospischil2008_rs,valid_transform,rename_identifier,4_equivalent_within_tested_domain,False,False,
pospischil2008_rs__factor_file__000,pospischil2008_rs,valid_transform,factor_file,4_equivalent_within_tested_domain,False,False,
pospischil2008_rs__reorder_independent__000,pospischil2008_rs,valid_transform,reorder_independent,4_equivalent_within_tested_domain,False,False,
pospischil2008_rs__explicit_default__000,pospischil2008_rs,valid_transform,explicit_default,4_equivalent_within_tested_domain,False,False,
pospischil2008_lts__unit_conversion__000,pospischil2008_lts,valid_transform,unit_conversion,4_equivalent_within_tested_domain,False,False,
pospischil2008_lts__xml_formatting__000,pospischil2008_lts,no_change_control,xml_formatting,4_equivalent_within_tested_domain,False,False,
pospischil2008_lts__add_comments__000,pospischil2008_lts,no_change_control,add_comments,4_equivalent_within_tested_domain,False,False,
pospischil2008_lts__numeric_literal_format__000,pospischil2008_lts,valid_transform,numeric_literal_format,4_equivalent_within_tested_domain,False,False,
pospischil2008_lts__rename_identifier__000,pospischil2008_lts,valid_transform,rename_identifier,4_equivalent_within_tested_domain,False,False,
pospischil2008_lts__factor_file__000,pospischil2008_lts,valid_transform,factor_file,4_equivalent_within_tested_domain,False,False,
pospischil2008_lts__reorder_independent__000,pospischil2008_lts,valid_transform,reorder_independent,4_equivalent_within_tested_domain,False,False,
pospischil2008_lts__explicit_default__000,pospischil2008_lts,valid_transform,explicit_default,4_equivalent_within_tested_domain,False,False,
