variant_id,model_id,family,operator,params_json,edits_json,exec_overrides_json,description,generator_seed
m-scale_conductance-56da844943,pospischil2008_rs,biophysical,scale_conductance,"{""changes"":[{""attribute"":""condDensity"",""locator"":""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='IM_all']"",""new"":""0.0875 mS_per_cm2"",""old"":""0.07 mS_per_cm2""}],""element"":""channelDensity"",""element_id"":""IM_all"",""factor"":1.25}","[{""action"":""set"",""attribute"":""condDensity"",""file"":""NeuroML2/cells/RS/RS.cell.nml"",""locator"":""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='IM_all']"",""new"":""0.0875 mS_per_cm2"",""note"":""scale_conductance"",""old"":""0.07 mS_per_cm2""}]",{},"scale_conductance at NeuroML2/cells/RS/RS.cell.nml:/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='IM_all'] {""element"": ""channelDensity"", ""element_id"": ""IM_all"", ""factor"": 1.25} condDensity: '0.07 mS_per_cm2' -> '0.0875 mS_per_cm2'",20260913
m-scale_conductance-fa05b19484,pospischil2008_rs,biophysical,scale_conductance,"{""changes"":[{""attribute"":""condDensity"",""locator"":""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensityVShift[@id='Na_all']"",""new"":""45.0 mS_per_cm2"",""old"":""50.0 mS_per_cm2""}],""element"":""channelDensityVShift"",""element_id"":""Na_all"",""factor"":0.9}","[{""action"":""set"",""attribute"":""condDensity"",""file"":""NeuroML2/cells/RS/RS.cell.nml"",""locator"":""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensityVShift[@id='Na_all']"",""new"":""45.0 mS_per_cm2"",""note"":""scale_conductance"",""old"":""50.0 mS_per_cm2""}]",{},"scale_conductance at NeuroML2/cells/RS/RS.cell.nml:/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensityVShift[@id='Na_all'] {""element"": ""channelDensityVShift"", ""element_id"": ""Na_all"", ""factor"": 0.9} condDensity: '50.0 mS_per_cm2' -> '45.0 mS_per_cm2'",20260913
m-shift_reversal-2d2e2ab474,pospischil2008_rs,biophysical,shift_reversal,"{""changes"":[{""attribute"":""erev"",""locator"":""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Kd_all']"",""new"":""-105.0 mV"",""old"":""-100.0 mV""}],""element"":""channelDensity"",""element_id"":""Kd_all"",""shift_mV"":-5.0}","[{""action"":""set"",""attribute"":""erev"",""file"":""NeuroML2/cells/RS/RS.cell.nml"",""locator"":""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Kd_all']"",""new"":""-105.0 mV"",""note"":""shift_reversal"",""old"":""-100.0 mV""}]",{},"shift_reversal at NeuroML2/cells/RS/RS.cell.nml:/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Kd_all'] {""element"": ""channelDensity"", ""element_id"": ""Kd_all"", ""shift_mV"": -5.0} erev: '-100.0 mV' -> '-105.0 mV'",20260913
m-shift_reversal-8c42fb9d1f,pospischil2008_rs,biophysical,shift_reversal,"{""changes"":[{""attribute"":""erev"",""locator"":""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='IM_all']"",""new"":""-95.0 mV"",""old"":""-100.0 mV""}],""element"":""channelDensity"",""element_id"":""IM_all"",""shift_mV"":5.0}","[{""action"":""set"",""attribute"":""erev"",""file"":""NeuroML2/cells/RS/RS.cell.nml"",""locator"":""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='IM_all']"",""new"":""-95.0 mV"",""note"":""shift_reversal"",""old"":""-100.0 mV""}]",{},"shift_reversal at NeuroML2/cells/RS/RS.cell.nml:/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='IM_all'] {""element"": ""channelDensity"", ""element_id"": ""IM_all"", ""shift_mV"": 5.0} erev: '-100.0 mV' -> '-95.0 mV'",20260913
m-scale_capacitance-ca8d29abe3,pospischil2008_rs,biophysical,scale_capacitance,"{""changes"":[{""attribute"":""value"",""locator"":""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1]"",""new"":""1.1 uF_per_cm2"",""old"":""1.0 uF_per_cm2""}],""element"":""specificCapacitance"",""element_id"":null,""factor"":1.1}","[{""action"":""set"",""attribute"":""value"",""file"":""NeuroML2/cells/RS/RS.cell.nml"",""locator"":""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1]"",""new"":""1.1 uF_per_cm2"",""note"":""scale_capacitance"",""old"":""1.0 uF_per_cm2""}]",{},"scale_capacitance at NeuroML2/cells/RS/RS.cell.nml:/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1] {""element"": ""specificCapacitance"", ""element_id"": null, ""factor"": 1.1} value: '1.0 uF_per_cm2' -> '1.1 uF_per_cm2'",20260913
m-scale_capacitance-a0c243c06e,pospischil2008_rs,biophysical,scale_capacitance,"{""changes"":[{""attribute"":""value"",""locator"":""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1]"",""new"":""2.0 uF_per_cm2"",""old"":""1.0 uF_per_cm2""}],""element"":""specificCapacitance"",""element_id"":null,""factor"":2.0}","[{""action"":""set"",""attribute"":""value"",""file"":""NeuroML2/cells/RS/RS.cell.nml"",""locator"":""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1]"",""new"":""2.0 uF_per_cm2"",""note"":""scale_capacitance"",""old"":""1.0 uF_per_cm2""}]",{},"scale_capacitance at NeuroML2/cells/RS/RS.cell.nml:/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1] {""element"": ""specificCapacitance"", ""element_id"": null, ""factor"": 2.0} value: '1.0 uF_per_cm2' -> '2.0 uF_per_cm2'",20260913
m-scale_gate_time_constant-d9645f95f6,pospischil2008_rs,biophysical,scale_gate_time_constant,"{""channel"":""Kd"",""factor"":2.0,""gate"":""n"",""mechanism"":""q10_insert""}","[{""action"":""insert"",""attribute"":null,""file"":""NeuroML2/channels/Kd/Kd.channel.nml"",""locator"":""/neuroml[@id='Kd']/ionChannel[@id='Kd']/gate[@id='n']/q10Settings[1]"",""new"":""<q10Settings xmlns=\""http://www.neuroml.org/schema/neuroml2\"" xmlns:xsi=\""http://www.w3.org/2001/XMLSchema-instance\"" type=\""q10Fixed\"" fixedQ10=\""2\""/>"",""note"":""scale_gate_time_constant"",""old"":null}]",{},"scale_gate_time_constant at NeuroML2/channels/Kd/Kd.channel.nml:/neuroml[@id='Kd']/ionChannel[@id='Kd']/gate[@id='n'] {""channel"": ""Kd"", ""factor"": 2.0, ""gate"": ""n"", ""mechanism"": ""q10_insert""} ",20260913
m-scale_gate_time_constant-244443ee5f,pospischil2008_rs,biophysical,scale_gate_time_constant,"{""channel"":""Na"",""factor"":1.25,""gate"":""h"",""mechanism"":""q10_insert""}","[{""action"":""insert"",""attribute"":null,""file"":""NeuroML2/channels/Na/Na.channel.nml"",""locator"":""/neuroml[@id='Na']/ionChannel[@id='Na']/gate[@id='h']/q10Settings[1]"",""new"":""<q10Settings xmlns=\""http://www.neuroml.org/schema/neuroml2\"" xmlns:xsi=\""http://www.w3.org/2001/XMLSchema-instance\"" type=\""q10Fixed\"" fixedQ10=\""1.25\""/>"",""note"":""scale_gate_time_constant"",""old"":null}]",{},"scale_gate_time_constant at NeuroML2/channels/Na/Na.channel.nml:/neuroml[@id='Na']/ionChannel[@id='Na']/gate[@id='h'] {""channel"": ""Na"", ""factor"": 1.25, ""gate"": ""h"", ""mechanism"": ""q10_insert""} ",20260913
m-shift_initial_voltage-fa992f061c,pospischil2008_rs,biophysical,shift_initial_voltage,"{""changes"":[{""attribute"":""value"",""locator"":""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/initMembPotential[1]"",""new"":""-75.0 mV"",""old"":""-70.0 mV""}],""element"":""initMembPotential"",""element_id"":null,""shift_mV"":-5.0}","[{""action"":""set"",""attribute"":""value"",""file"":""NeuroML2/cells/RS/RS.cell.nml"",""locator"":""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/initMembPotential[1]"",""new"":""-75.0 mV"",""note"":""shift_initial_voltage"",""old"":""-70.0 mV""}]",{},"shift_initial_voltage at NeuroML2/cells/RS/RS.cell.nml:/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/initMembPotential[1] {""element"": ""initMembPotential"", ""element_id"": null, ""shift_mV"": -5.0} value: '-70.0 mV' -> '-75.0 mV'",20260913
m-shift_initial_voltage-26ed299545,pospischil2008_rs,biophysical,shift_initial_voltage,"{""changes"":[{""attribute"":""value"",""locator"":""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/initMembPotential[1]"",""new"":""-68.0 mV"",""old"":""-70.0 mV""}],""element"":""initMembPotential"",""element_id"":null,""shift_mV"":2.0}","[{""action"":""set"",""attribute"":""value"",""file"":""NeuroML2/cells/RS/RS.cell.nml"",""locator"":""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/initMembPotential[1]"",""new"":""-68.0 mV"",""note"":""shift_initial_voltage"",""old"":""-70.0 mV""}]",{},"shift_initial_voltage at NeuroML2/cells/RS/RS.cell.nml:/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/initMembPotential[1] {""element"": ""initMembPotential"", ""element_id"": null, ""shift_mV"": 2.0} value: '-70.0 mV' -> '-68.0 mV'",20260913
