variant_id,model_id,level_factor,protocol_id,feature,reason,ref_value,var_value,diff,tau,ref_run_id,var_run_id
m-increase_dt-b7cdfa6b5c,pospischil2008_rs,1,P04_step_2x,ahp_depth,exceeds,3.2025415878387236,0.6488381869395425,2.553703400899181,1.2209928283251514,r-0c0f3a761516cf334965,r-605ee5761cd35be1936f
m-increase_dt-b7cdfa6b5c,pospischil2008_rs,1,P04_step_2x,first_isi,exceeds,13.069999999988113,13.91999999998734,0.8499999999992269,0.5,r-0c0f3a761516cf334965,r-605ee5761cd35be1936f
m-increase_dt-b7cdfa6b5c,pospischil2008_rs,1,P04_step_2x,spike_count,exceeds,22.0,21.0,1.0,0.5,r-0c0f3a761516cf334965,r-605ee5761cd35be1936f
m-increase_dt-b7cdfa6b5c,pospischil2008_rs,1,P05_long_step,ahp_depth,exceeds,2.4773294906594145,-0.03440255861407593,2.5117320492734905,1.1999814758247567,r-6299bd8dadd5e9592d63,r-c20358157b324799821e
m-increase_dt-b7cdfa6b5c,pospischil2008_rs,1,P05_long_step,first_isi,exceeds,21.2199999999807,22.41999999997961,1.1999999999989086,0.5999999999994543,r-6299bd8dadd5e9592d63,r-c20358157b324799821e
m-increase_dt-b7cdfa6b5c,pospischil2008_rs,1,P05_long_step,spike_count,exceeds,29.0,28.0,1.0,0.5,r-6299bd8dadd5e9592d63,r-c20358157b324799821e
m-increase_dt-b7cdfa6b5c,pospischil2008_rs,1,P06_ramp,spike_count,exceeds,30.0,29.0,1.0,0.5,r-7054f91d1e6b5f4b29f8,r-45c205d76e09d28f04f5
m-increase_dt-b7cdfa6b5c,pospischil2008_rs,1,P09_short_pulse,ahp_depth,exceeds,-1.4308354873657265,-2.928793229418318,1.4979577420525914,0.5,r-4a031cb8037cbebd46bc,r-b3fc83e42bd3fe8c4296
m-increase_dt-b7cdfa6b5c,pospischil2008_rs,1,P09_short_pulse,ap_amplitude,definedness,119.13114547927412,,,2.3826229095854825,r-4a031cb8037cbebd46bc,r-b3fc83e42bd3fe8c4296
m-increase_dt-b7cdfa6b5c,pospischil2008_rs,1,P09_short_pulse,ap_half_width,definedness,0.8799999999991996,,,0.05,r-4a031cb8037cbebd46bc,r-b3fc83e42bd3fe8c4296
m-increase_dt-b7cdfa6b5c,pospischil2008_rs,1,P10_paired_pulses,ap_amplitude,definedness,119.13114547927412,,,2.3826229095854825,r-4a031cb8037cbebd46bc,r-b3fc83e42bd3fe8c4296
m-increase_dt-b7cdfa6b5c,pospischil2008_rs,2,P04_step_2x,ahp_depth,exceeds,3.6095391972804407,2.3726109263133566,1.2369282709670841,1.2209928283251514,r-13ae588754662eb409bf,r-17ce2b6d2b90076cf023
m-increase_dt-b7cdfa6b5c,pospischil2008_rs,2,P04_step_2x,spike_count,exceeds,22.0,21.0,1.0,0.5,r-13ae588754662eb409bf,r-17ce2b6d2b90076cf023
m-increase_dt-b7cdfa6b5c,pospischil2008_rs,2,P05_long_step,ahp_depth,exceeds,2.8773233159343334,1.6613867390951782,1.2159365768391552,1.1999814758247567,r-a71c890435a70aeaf61b,r-07f5989b6d2f1bfe2c76
