study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,model_set,stratum,kind,family,operator,params,class,interpretation,detecting_protocols,reproducible_primary,analysis_family,severity,A_basic_pass,B_canonical_feature,C_canonical_trace,D_multi_protocol,E_full_battery,trace_reproducible,secondary_reproducible,survivor_confirmed_h4,full_trace_survivor_confirmed_h4,h4_check,edits,exec_overrides,automated_single_documented_change_check,automated_identical_numerics_check,ai_assisted_review,human_audit_status
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,m-scale_capacitance-4f76868f28,pospischil2008_rs,other_model,primary_semantic,mutant,biophysical,scale_capacitance,"{""changes"": [{""attribute"": ""value"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1]"", ""new"": ""0.8 uF_per_cm2"", ""old"": ""1.0 uF_per_cm2""}], ""element"": ""specificCapacitance"", ""element_id"": null, ""factor"": 0.8, ""generator_seed"": 20260917}",5_non_equivalent,5_non_equivalent,P00_canonical;P04_step_2x,P00_canonical:adaptation_index;P00_canonical:ahp_depth;P00_canonical:first_spike_latency;P00_canonical:last_isi;P04_step_2x:ahp_depth;P04_step_2x:first_spike_latency;P04_step_2x:last_isi;P04_step_2x:spike_count,passive_membrane,mild,True,True,True,True,True,P00_canonical:spike_timing;P00_canonical:trace_rmse;P04_step_2x:spike_count,P00_canonical:first_isi;P00_canonical:mean_frequency;P04_step_2x:first_isi;P04_step_2x:mean_frequency,,,{},"[{""file"": ""NeuroML2/cells/RS/RS.cell.nml"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1]"", ""attribute"": ""value"", ""old"": ""1.0 uF_per_cm2"", ""new"": ""0.8 uF_per_cm2"", ""action"": ""set"", ""note"": ""scale_capacitance""}]",{},pass,pass,,pending
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,m-scale_capacitance-ed0bebd0d7,pospischil2008_rs,other_model,primary_semantic,mutant,biophysical,scale_capacitance,"{""changes"": [{""attribute"": ""value"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1]"", ""new"": ""0.5 uF_per_cm2"", ""old"": ""1.0 uF_per_cm2""}], ""element"": ""specificCapacitance"", ""element_id"": null, ""factor"": 0.5, ""generator_seed"": 20260917}",5_non_equivalent,5_non_equivalent,P00_canonical;P04_step_2x,P00_canonical:ahp_depth;P00_canonical:ap_amplitude;P00_canonical:first_spike_latency;P00_canonical:last_isi;P00_canonical:spike_count;P04_step_2x:ahp_depth;P04_step_2x:ap_amplitude;P04_step_2x:first_spike_latency;P04_step_2x:last_isi;P04_step_2x:spike_count,passive_membrane,strong,True,True,True,True,True,P00_canonical:spike_count;P04_step_2x:spike_count;P07_hyperpolarizing_step:trace_rmse,P00_canonical:first_isi;P04_step_2x:first_isi;P04_step_2x:mean_frequency,,,{},"[{""file"": ""NeuroML2/cells/RS/RS.cell.nml"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1]"", ""attribute"": ""value"", ""old"": ""1.0 uF_per_cm2"", ""new"": ""0.5 uF_per_cm2"", ""action"": ""set"", ""note"": ""scale_capacitance""}]",{},pass,pass,,pending
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,m-scale_conductance-a5d53b94c4,pospischil2008_rs,other_model,primary_semantic,mutant,biophysical,scale_conductance,"{""changes"": [{""attribute"": ""condDensity"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensityVShift[@id='Na_all']"", ""new"": ""55.0 mS_per_cm2"", ""old"": ""50.0 mS_per_cm2""}], ""element"": ""channelDensityVShift"", ""element_id"": ""Na_all"", ""factor"": 1.1, ""generator_seed"": 20260917}",5_non_equivalent,5_non_equivalent,P00_canonical,P00_canonical:last_isi,maximal_conductance,mild,True,True,True,False,True,P00_canonical:spike_timing,,,,{},"[{""file"": ""NeuroML2/cells/RS/RS.cell.nml"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensityVShift[@id='Na_all']"", ""attribute"": ""condDensity"", ""old"": ""50.0 mS_per_cm2"", ""new"": ""55.0 mS_per_cm2"", ""action"": ""set"", ""note"": ""scale_conductance""}]",{},pass,pass,,pending
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,m-scale_conductance-fb5b76f07d,pospischil2008_rs,other_model,primary_semantic,mutant,biophysical,scale_conductance,"{""changes"": [{""attribute"": ""condDensity"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='LeakConductance_all']"", ""new"": ""0.2 mS_per_cm2"", ""old"": ""0.1 mS_per_cm2""}], ""element"": ""channelDensity"", ""element_id"": ""LeakConductance_all"", ""factor"": 2.0, ""generator_seed"": 20260917}",5_non_equivalent,5_non_equivalent,P00_canonical;P03_rheobase;P04_step_2x;P07_hyperpolarizing_step,P00_canonical:adaptation_index;P00_canonical:ahp_depth;P00_canonical:ap_amplitude;P00_canonical:first_spike_latency;P00_canonical:last_isi;P00_canonical:spike_count;P03_rheobase:rheobase;P04_step_2x:adaptation_index;P04_step_2x:ahp_depth;P04_step_2x:ap_amplitude;P04_step_2x:first_spike_latency;P04_step_2x:last_isi;P04_step_2x:spike_count;P07_hyperpolarizing_step:steady_state_voltage,maximal_conductance,strong,True,True,True,True,True,P00_canonical:spike_count;P04_step_2x:spike_count;P07_hyperpolarizing_step:trace_rmse,P00_canonical:ap_half_width;P00_canonical:firing_regime;P00_canonical:first_isi;P00_canonical:mean_frequency;P04_step_2x:ap_half_width;P04_step_2x:burst_count;P04_step_2x:firing_regime;P04_step_2x:first_isi;P04_step_2x:mean_frequency;P07_hyperpolarizing_step:minimum_voltage;P07_hyperpolarizing_step:voltage_deflection,,,{},"[{""file"": ""NeuroML2/cells/RS/RS.cell.nml"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='LeakConductance_all']"", ""attribute"": ""condDensity"", ""old"": ""0.1 mS_per_cm2"", ""new"": ""0.2 mS_per_cm2"", ""action"": ""set"", ""note"": ""scale_conductance""}]",{},pass,pass,,pending
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,m-scale_gate_time_constant-539d21838f,pospischil2008_rs,other_model,primary_semantic,mutant,biophysical,scale_gate_time_constant,"{""channel"": ""Kd"", ""factor"": 0.8, ""gate"": ""n"", ""generator_seed"": 20260917, ""mechanism"": ""q10_insert""}",5_non_equivalent,5_non_equivalent,P00_canonical;P04_step_2x,P00_canonical:ahp_depth;P00_canonical:last_isi;P04_step_2x:ahp_depth;P04_step_2x:last_isi;P04_step_2x:spike_count,gating_time_constant,mild,True,True,True,True,True,P00_canonical:spike_timing;P04_step_2x:spike_count,P00_canonical:ap_half_width;P00_canonical:first_isi;P00_canonical:mean_frequency;P04_step_2x:ap_half_width;P04_step_2x:first_isi;P04_step_2x:mean_frequency,,,{},"[{""file"": ""NeuroML2/channels/Kd/Kd.channel.nml"", ""locator"": ""/neuroml[@id='Kd']/ionChannel[@id='Kd']/gate[@id='n']/q10Settings[1]"", ""attribute"": null, ""old"": null, ""new"": ""<q10Settings xmlns=\""http://www.neuroml.org/schema/neuroml2\"" xmlns:xsi=\""http://www.w3.org/2001/XMLSchema-instance\"" type=\""q10Fixed\"" fixedQ10=\""0.8\""/>"", ""action"": ""insert"", ""note"": ""scale_gate_time_constant""}]",{},pass,pass,,pending
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,m-scale_gate_time_constant-99809ff67e,pospischil2008_rs,other_model,primary_semantic,mutant,biophysical,scale_gate_time_constant,"{""channel"": ""Na"", ""factor"": 2.0, ""gate"": ""h"", ""generator_seed"": 20260917, ""mechanism"": ""q10_insert""}",5_non_equivalent,5_non_equivalent,P00_canonical;P04_step_2x,P00_canonical:adaptation_index;P00_canonical:ahp_depth;P00_canonical:ap_amplitude;P00_canonical:last_isi;P00_canonical:spike_count;P04_step_2x:ahp_depth;P04_step_2x:ap_amplitude;P04_step_2x:last_isi;P04_step_2x:spike_count,gating_time_constant,strong,True,True,True,True,True,P00_canonical:spike_count;P04_step_2x:spike_count,P00_canonical:ap_half_width;P00_canonical:first_isi;P00_canonical:mean_frequency;P04_step_2x:ap_half_width;P04_step_2x:first_isi;P04_step_2x:mean_frequency,,,{},"[{""file"": ""NeuroML2/channels/Na/Na.channel.nml"", ""locator"": ""/neuroml[@id='Na']/ionChannel[@id='Na']/gate[@id='h']/q10Settings[1]"", ""attribute"": null, ""old"": null, ""new"": ""<q10Settings xmlns=\""http://www.neuroml.org/schema/neuroml2\"" xmlns:xsi=\""http://www.w3.org/2001/XMLSchema-instance\"" type=\""q10Fixed\"" fixedQ10=\""2\""/>"", ""action"": ""insert"", ""note"": ""scale_gate_time_constant""}]",{},pass,pass,,pending
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,m-shift_reversal-80b6724096,pospischil2008_rs,other_model,primary_semantic,mutant,biophysical,shift_reversal,"{""changes"": [{""attribute"": ""erev"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Kd_all']"", ""new"": ""-98.0 mV"", ""old"": ""-100.0 mV""}], ""element"": ""channelDensity"", ""element_id"": ""Kd_all"", ""generator_seed"": 20260917, ""shift_mV"": 2.0}",5_non_equivalent,5_non_equivalent,P00_canonical,P00_canonical:ahp_depth;P00_canonical:last_isi,reversal_potential,mild,True,True,True,False,True,P00_canonical:spike_timing,,,,{},"[{""file"": ""NeuroML2/cells/RS/RS.cell.nml"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='Kd_all']"", ""attribute"": ""erev"", ""old"": ""-100.0 mV"", ""new"": ""-98.0 mV"", ""action"": ""set"", ""note"": ""shift_reversal""}]",{},pass,pass,,pending
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,m-shift_reversal-93e4e5a5cc,pospischil2008_rs,other_model,primary_semantic,mutant,biophysical,shift_reversal,"{""changes"": [{""attribute"": ""erev"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensityVShift[@id='Na_all']"", ""new"": ""40.0 mV"", ""old"": ""50.0 mV""}], ""element"": ""channelDensityVShift"", ""element_id"": ""Na_all"", ""generator_seed"": 20260917, ""shift_mV"": -10.0}",5_non_equivalent,5_non_equivalent,P00_canonical;P04_step_2x,P00_canonical:adaptation_index;P00_canonical:ahp_depth;P00_canonical:ap_amplitude;P00_canonical:first_spike_latency;P00_canonical:last_isi;P00_canonical:spike_count;P04_step_2x:ahp_depth;P04_step_2x:ap_amplitude;P04_step_2x:last_isi;P04_step_2x:spike_count,reversal_potential,strong,True,True,True,True,True,P00_canonical:spike_count;P04_step_2x:spike_count,P00_canonical:first_isi;P00_canonical:mean_frequency;P04_step_2x:first_isi;P04_step_2x:mean_frequency,,,{},"[{""file"": ""NeuroML2/cells/RS/RS.cell.nml"", ""locator"": ""/neuroml[@id='RS']/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensityVShift[@id='Na_all']"", ""attribute"": ""erev"", ""old"": ""50.0 mV"", ""new"": ""40.0 mV"", ""action"": ""set"", ""note"": ""shift_reversal""}]",{},pass,pass,,pending
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,pospischil2008_rs__add_comments__000,pospischil2008_rs,other_model,control,no_change_control,formatting,add_comments,"{""file"": ""NeuroML2/cells/RS/RS.cell.nml"", ""generator_seed"": 20260917, ""locator"": ""/neuroml"", ""n_sites"": 21, ""position"": ""before_each_child"", ""site_index"": 4}",4_equivalent_within_tested_domain,no_detection,,,control,not_applicable,True,False,False,False,False,,,,,{},,,,,,pending
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,pospischil2008_rs__explicit_default__000,pospischil2008_rs,other_model,control,valid_transform,explicit_default,explicit_default,"{""attribute"": ""segmentGroup"", ""file"": ""NeuroML2/cells/RS/RS.cell.nml"", ""generator_seed"": 20260917, ""locator"": ""/neuroml/cell[@id='RS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/spikeThresh[1]"", ""n_sites"": 8, ""site_index"": 4, ""value"": ""all"", ""xsd_type"": ""SpikeThresh""}",4_equivalent_within_tested_domain,no_detection,,,control,not_applicable,True,False,False,False,False,,,,,{},,,,,,pending
