mutant_id,model_id,family,P00_canonical,P02_weak_step,P04_step_2x,P05_long_step,P06_ramp,P07_hyperpolarizing_step,P08_rebound,P09_short_pulse,P03_rheobase
__cost__,,,272000.0,200000.0,200000.0,500000.0,300000.0,200000.0,220000.0,100000.0,7680000.0
m-scale_conductance-44150b501c,acnet2_pyr_soma,biophysical,0,0,1,1,1,1,0,1,1
m-scale_conductance-15a5694767,acnet2_pyr_soma,biophysical,1,0,1,1,1,0,0,0,1
m-scale_conductance-2ed5496dc2,acnet2_pyr_soma,biophysical,1,1,1,1,1,0,0,1,1
m-scale_conductance-2dc7e425d7,acnet2_pyr_soma,biophysical,1,1,1,1,1,0,0,0,1
m-shift_reversal-3400b10721,acnet2_pyr_soma,biophysical,1,1,1,1,1,1,0,1,1
m-shift_reversal-2c628fb0f6,acnet2_pyr_soma,biophysical,1,1,1,1,1,1,1,0,1
m-shift_reversal-9553007c36,acnet2_pyr_soma,biophysical,1,0,1,1,1,0,0,0,1
m-shift_reversal-513c92c08b,acnet2_pyr_soma,biophysical,1,1,1,1,1,1,1,0,1
m-scale_capacitance-d750ebfac4,acnet2_pyr_soma,biophysical,1,0,1,1,1,0,0,1,1
m-scale_capacitance-e86da299c1,acnet2_pyr_soma,biophysical,1,0,1,1,1,0,0,1,1
m-scale_gate_time_constant-25d2ef79c1,acnet2_pyr_soma,biophysical,1,0,1,1,0,0,0,0,0
m-scale_gate_time_constant-eb0c17da65,acnet2_pyr_soma,biophysical,1,0,1,1,0,0,0,0,0
m-shift_gate_midpoint-e68b2bd3be,acnet2_pyr_soma,kinetics,1,1,1,1,1,0,0,1,1
m-shift_gate_midpoint-3c7134e6ec,acnet2_pyr_soma,kinetics,1,0,1,1,0,0,0,0,0
m-scale_gate_slope-d122bda225,acnet2_pyr_soma,kinetics,1,1,1,1,1,1,0,0,1
m-shift_forward_rate_midpoint-26075274d4,acnet2_pyr_soma,kinetics,1,1,1,1,1,0,0,0,1
m-wrong_channel-749374c5d2,acnet2_pyr_soma,reference,1,1,1,1,1,1,0,0,1
m-duplicate_conductance-bdd4b1d9e1,acnet2_pyr_soma,reference,1,1,1,1,1,0,0,0,1
m-wrong_compatible_component-a38cf2a7ad,acnet2_pyr_soma,reference,1,1,1,1,1,1,0,0,1
m-scale_conductance-0fd04dc708,migliore2014_mt_soma,biophysical,0,0,0,1,1,0,0,0,1
m-scale_conductance-a9d05675ab,migliore2014_mt_soma,biophysical,0,0,1,1,1,1,0,0,1
m-scale_conductance-fd3b7c7dcc,migliore2014_mt_soma,biophysical,1,1,1,1,1,0,0,1,1
m-scale_conductance-de26f4d2e1,migliore2014_mt_soma,biophysical,1,1,1,1,1,1,0,1,1
m-shift_reversal-d4460926dc,migliore2014_mt_soma,biophysical,1,1,1,1,1,1,0,1,1
m-shift_reversal-3bffbb8e9b,migliore2014_mt_soma,biophysical,1,1,1,1,1,0,0,1,1
m-shift_reversal-9acb9774d9,migliore2014_mt_soma,biophysical,1,0,1,1,1,0,0,1,1
m-scale_capacitance-669e5e35b9,migliore2014_mt_soma,biophysical,1,0,1,1,1,0,0,1,1
m-scale_capacitance-f459583f48,migliore2014_mt_soma,biophysical,1,0,1,1,1,0,0,1,1
m-shift_gate_midpoint-f6ccf19d87,migliore2014_mt_soma,kinetics,1,1,1,1,1,0,0,1,1
m-shift_gate_midpoint-c36e1e57f0,migliore2014_mt_soma,kinetics,0,0,0,1,1,0,0,0,0
m-scale_gate_slope-15951a0f18,migliore2014_mt_soma,kinetics,1,1,1,1,1,0,0,1,1
m-duplicate_conductance-36dae66739,migliore2014_mt_soma,reference,1,0,1,1,1,0,0,1,1
m-wrong_compatible_component-d99b9d3dab,migliore2014_mt_soma,reference,1,1,1,1,1,0,0,1,1
m-scale_conductance-ae18f4c43e,nml2_hh_example,biophysical,1,0,1,1,0,0,1,0,1
m-scale_conductance-f937b97f50,nml2_hh_example,biophysical,1,0,1,0,0,0,0,0,1
m-scale_conductance-1b265d3832,nml2_hh_example,biophysical,1,1,1,1,0,1,1,1,1
m-scale_conductance-ecad0d4d76,nml2_hh_example,biophysical,1,1,1,1,0,1,1,1,1
m-shift_reversal-a84a36ad81,nml2_hh_example,biophysical,1,0,1,1,0,0,0,1,1
m-shift_reversal-b9112ba83d,nml2_hh_example,biophysical,1,1,1,1,0,1,0,1,1
m-shift_reversal-36bce9b069,nml2_hh_example,biophysical,1,1,1,1,0,1,1,1,1
m-shift_reversal-754db6a01c,nml2_hh_example,biophysical,1,1,1,1,0,1,1,1,1
m-scale_capacitance-0eba58b1c3,nml2_hh_example,biophysical,1,0,1,1,0,0,1,0,1
m-scale_capacitance-e015416fbf,nml2_hh_example,biophysical,1,0,1,1,0,0,1,0,1
m-scale_gate_time_constant-06060ba499,nml2_hh_example,biophysical,1,0,1,1,0,0,0,1,1
m-scale_gate_time_constant-445843d9fa,nml2_hh_example,biophysical,1,0,1,1,0,0,1,1,1
