study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,kind,operator,class,false_positive,detected_at_h_only,detections
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,acnet2_pyr_soma__unit_conversion__000,acnet2_pyr_soma,valid_transform,unit_conversion,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,acnet2_pyr_soma__xml_formatting__000,acnet2_pyr_soma,no_change_control,xml_formatting,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,acnet2_pyr_soma__add_comments__000,acnet2_pyr_soma,no_change_control,add_comments,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,acnet2_pyr_soma__numeric_literal_format__000,acnet2_pyr_soma,valid_transform,numeric_literal_format,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,acnet2_pyr_soma__rename_identifier__000,acnet2_pyr_soma,valid_transform,rename_identifier,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,acnet2_pyr_soma__factor_file__000,acnet2_pyr_soma,valid_transform,factor_file,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,acnet2_pyr_soma__reorder_independent__000,acnet2_pyr_soma,valid_transform,reorder_independent,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,acnet2_pyr_soma__explicit_default__000,acnet2_pyr_soma,valid_transform,explicit_default,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,migliore2014_mt_soma__unit_conversion__000,migliore2014_mt_soma,valid_transform,unit_conversion,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,migliore2014_mt_soma__xml_formatting__000,migliore2014_mt_soma,no_change_control,xml_formatting,4_equivalent_within_tested_domain,False,False,
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,migliore2014_mt_soma__add_comments__000,migliore2014_mt_soma,no_change_control,add_comments,4_equivalent_within_tested_domain,False,False,
