study_id,project_name,study_phase,protocol_version,designation,run_id,run_kind,model_id,variant_id,status,message
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,r-0d1fd3756039b07e93cd,probe,migliore2014_mt_soma,m-wrong_channel-aa3604e9d4,numerically_unstable,SEVERE:  (ERROR) org.lemsml.jlems.core.run.RuntimeError: Error at PathDerivedVariable eval(): tgt: null[HHExpRate]; sin: m[gateHHratesTauInf]; tgtvar: r; path: forwardRate/r
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,r-0f9a764a47ccc374801a,canonical,nml2_hh_example,m-wrong_channel-c9e7967952,build_error,org.lemsml.jlems.core.run.ConnectionError: No such child element or variable kChan in kChans[channelDensity]
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,r-457979fad6d0e3c75b35,canonical,osb_hh2_477127614,m-increase_dt-445bb4bee3,numerically_unstable,SEVERE:  (ERROR) org.lemsml.jlems.core.run.RuntimeError: Error at PathDerivedVariable eval(): tgt: null; sin: IM[ionChannelHH]; tgtvar: fcond; path: gates[*]/fcond
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,r-797f8402bdc1e3a009c7,probe,migliore2014_mt_soma,m-wrong_channel-aa3604e9d4,numerically_unstable,SEVERE:  (ERROR) org.lemsml.jlems.core.run.RuntimeError: Error at PathDerivedVariable eval(): tgt: null; sin: kamt[ionChannelHH]; tgtvar: fcond; path: gates[*]/fcond
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,r-806ba1f775034ab8298a,canonical,pospischil2008_fs,m-wrong_compatible_component-d7c10346bc,build_error,org.lemsml.jlems.core.run.ConnectionError: No such child element or variable Kd in Kd_all[channelDensity]
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,r-829f2b10bfa8a5ed3266,probe,acnet2_pyr_soma,m-omit_include-b072277531,build_error,org.lemsml.jlems.core.sim.ContentError: No component found: Ca_conc. Existing components:
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,r-87d6e59bf548181c499f,probe,acnet2_pyr_soma,m-omit_include-b072277531,build_error,org.lemsml.jlems.core.sim.ContentError: No component found: Ca_conc. Existing components:
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,r-a5b4617d2cd5855ba207,probe,acnet2_pyr_soma,m-omit_include-b072277531,build_error,org.lemsml.jlems.core.sim.ContentError: No component found: Ca_conc. Existing components:
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,r-ab9e23622835fe1708bc,probe,acnet2_pyr_soma,m-omit_include-b072277531,build_error,org.lemsml.jlems.core.sim.ContentError: No component found: Ca_conc. Existing components:
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,r-cdc317ff15ad7bf8271c,probe,acnet2_pyr_soma,m-omit_include-b072277531,build_error,org.lemsml.jlems.core.sim.ContentError: No component found: Ca_conc. Existing components:
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,r-e5b6bf32c2127439fd26,canonical,pospischil2008_fs,m-wrong_channel-9899c39ee8,build_error,org.lemsml.jlems.core.run.ConnectionError: No such child element or variable Kd in Kd_all[channelDensity]
