study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,model_set,stratum,kind,family,operator,class,interpretation,detecting_protocols,analysis_family,severity,P00_canonical:feature_primary,P00_canonical:feature_secondary,P00_canonical:trace,P02_weak_step:feature_primary,P02_weak_step:feature_secondary,P02_weak_step:trace,P03_rheobase:feature_primary,P03_rheobase:feature_secondary,P04_step_2x:feature_primary,P04_step_2x:feature_secondary,P04_step_2x:trace,P05_long_step:feature_primary,P05_long_step:feature_secondary,P05_long_step:trace,P06_ramp:feature_primary,P06_ramp:feature_secondary,P06_ramp:trace,P07_hyperpolarizing_step:feature_primary,P07_hyperpolarizing_step:feature_secondary,P07_hyperpolarizing_step:trace,P08_rebound:feature_primary,P08_rebound:feature_secondary,P08_rebound:trace,P09_short_pulse:feature_primary,P09_short_pulse:feature_secondary,P09_short_pulse:trace
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-44150b501c,acnet2_pyr_soma,other_model,primary_semantic,mutant,biophysical,scale_conductance,6_silent_under_canonical,6_silent_under_canonical,P03_rheobase;P04_step_2x;P05_long_step;P06_ramp;P07_hyperpolarizing_step;P09_short_pulse,maximal_conductance,mild,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-15a5694767,acnet2_pyr_soma,other_model,primary_semantic,mutant,biophysical,scale_conductance,5_non_equivalent,5_non_equivalent,P00_canonical;P03_rheobase;P04_step_2x;P05_long_step;P06_ramp,maximal_conductance,mild,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-2ed5496dc2,acnet2_pyr_soma,other_model,primary_semantic,mutant,biophysical,scale_conductance,5_non_equivalent,5_non_equivalent,P00_canonical;P02_weak_step;P03_rheobase;P04_step_2x;P05_long_step;P06_ramp;P09_short_pulse,maximal_conductance,strong,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-2dc7e425d7,acnet2_pyr_soma,other_model,primary_semantic,mutant,biophysical,scale_conductance,5_non_equivalent,5_non_equivalent,P00_canonical;P02_weak_step;P03_rheobase;P04_step_2x;P05_long_step;P06_ramp,maximal_conductance,strong,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-3400b10721,acnet2_pyr_soma,other_model,primary_semantic,mutant,biophysical,shift_reversal,5_non_equivalent,5_non_equivalent,P00_canonical;P02_weak_step;P03_rheobase;P04_step_2x;P05_long_step;P06_ramp;P07_hyperpolarizing_step;P09_short_pulse,reversal_potential,mild,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-2c628fb0f6,acnet2_pyr_soma,other_model,primary_semantic,mutant,biophysical,shift_reversal,5_non_equivalent,5_non_equivalent,P00_canonical;P02_weak_step;P03_rheobase;P04_step_2x;P05_long_step;P06_ramp;P07_hyperpolarizing_step;P08_rebound,reversal_potential,mild,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-9553007c36,acnet2_pyr_soma,other_model,primary_semantic,mutant,biophysical,shift_reversal,5_non_equivalent,5_non_equivalent,P00_canonical;P03_rheobase;P04_step_2x;P05_long_step;P06_ramp,reversal_potential,strong,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-513c92c08b,acnet2_pyr_soma,other_model,primary_semantic,mutant,biophysical,shift_reversal,5_non_equivalent,5_non_equivalent,P00_canonical;P02_weak_step;P03_rheobase;P04_step_2x;P05_long_step;P06_ramp;P07_hyperpolarizing_step;P08_rebound,reversal_potential,strong,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-d750ebfac4,acnet2_pyr_soma,other_model,primary_semantic,mutant,biophysical,scale_capacitance,5_non_equivalent,5_non_equivalent,P00_canonical;P03_rheobase;P04_step_2x;P05_long_step;P06_ramp;P09_short_pulse,passive_membrane,mild,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-e86da299c1,acnet2_pyr_soma,other_model,primary_semantic,mutant,biophysical,scale_capacitance,5_non_equivalent,5_non_equivalent,P00_canonical;P03_rheobase;P04_step_2x;P05_long_step;P06_ramp;P09_short_pulse,passive_membrane,strong,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1
