study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,model_set,stratum,kind,family,operator,params,class,interpretation,detecting_protocols,reproducible_primary,analysis_family,severity,A_basic_pass,B_canonical_feature,C_canonical_trace,D_multi_protocol,E_full_battery,trace_reproducible,secondary_reproducible,survivor_confirmed_h4,full_trace_survivor_confirmed_h4,h4_check,edits,exec_overrides,automated_single_documented_change_check,automated_identical_numerics_check,ai_assisted_review,human_audit_status
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,acnet2_pyr_soma__explicit_default__000,acnet2_pyr_soma,other_model,control,valid_transform,explicit_default,explicit_default,"{""attribute"": ""segmentGroup"", ""file"": ""LEMSexamples/morphologies/pyr_soma_m_in_b_in.cell.nml"", ""generator_seed"": 20260917, ""locator"": ""/neuroml/cell[@id='pyr_soma_m_in_b_in']/biophysicalProperties[@id='biophys']/intracellularProperties[1]/resistivity[1]"", ""n_sites"": 6, ""site_index"": 5, ""value"": ""all"", ""xsd_type"": ""Resistivity""}",4_equivalent_within_tested_domain,no_detection,,,control,not_applicable,True,False,False,False,False,,,,,{},,,,,,pending
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,acnet2_pyr_soma__reorder_independent__000,acnet2_pyr_soma,other_model,control,valid_transform,reordering,reorder_independent,"{""count"": 6, ""file"": ""LEMSexamples/morphologies/pyr_soma_m_in_b_in.cell.nml"", ""first"": 1, ""generator_seed"": 20260917, ""locator"": ""/neuroml"", ""n_sites"": 8, ""permutation"": ""rotate"", ""site_index"": 5, ""tag"": ""include""}",4_equivalent_within_tested_domain,no_detection,,,control,not_applicable,True,False,False,False,False,,,,,{},,,,,,pending
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-duplicate_conductance-36dae66739,migliore2014_mt_soma,other_model,primary_semantic,mutant,reference,duplicate_conductance,"{""generator_seed"": 20260917, ""new_id"": ""nax_ModelViewParmSubset_1_dup"", ""source_id"": ""nax_ModelViewParmSubset_1""}",5_non_equivalent,5_non_equivalent,P00_canonical;P03_rheobase;P04_step_2x;P05_long_step;P06_ramp;P09_short_pulse,P00_canonical:ahp_depth;P00_canonical:ap_amplitude;P00_canonical:first_spike_latency;P03_rheobase:rheobase;P04_step_2x:ahp_depth;P04_step_2x:ap_amplitude;P04_step_2x:first_spike_latency;P04_step_2x:last_isi;P05_long_step:ahp_depth;P05_long_step:ap_amplitude;P05_long_step:first_spike_latency;P05_long_step:last_isi;P05_long_step:spike_count;P06_ramp:first_spike_latency;P06_ramp:spike_count;P09_short_pulse:ap_amplitude;P09_short_pulse:first_spike_latency,mechanism_composition,not_applicable,True,True,True,True,True,P00_canonical:spike_timing;P00_canonical:trace_rmse;P04_step_2x:spike_timing;P04_step_2x:trace_rmse;P05_long_step:spike_count;P05_long_step:trace_rmse;P06_ramp:spike_count;P06_ramp:trace_rmse;P09_short_pulse:spike_timing;P09_short_pulse:trace_rmse,P00_canonical:ap_half_width;P04_step_2x:ap_half_width;P04_step_2x:first_isi;P04_step_2x:mean_frequency;P05_long_step:ap_half_width;P05_long_step:first_isi;P05_long_step:mean_frequency;P06_ramp:mean_frequency;P09_short_pulse:ap_half_width,,,{},"[{""file"": ""NeuroML2/Channels/test/MT_soma.cell.nml"", ""locator"": ""/neuroml[@id='MT_soma']/cell[@id='MT_soma']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='nax_ModelViewParmSubset_1_dup']"", ""attribute"": null, ""old"": null, ""new"": ""<channelDensity xmlns=\""http://www.neuroml.org/schema/neuroml2\"" xmlns:xsi=\""http://www.w3.org/2001/XMLSchema-instance\"" condDensity=\""40.0 mS_per_cm2\"" id=\""nax_ModelViewParmSubset_1_dup\"" ionChannel=\""nax__sh10\"" segmentGroup=\""soma_group\"" ion=\""na\"" erev=\""50.0 mV\""/>"", ""action"": ""insert"", ""note"": ""duplicate_conductance""}]",{},pass,pass,,pending
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-8ea1c6d58b,osb_hh2_477127614,other_model,primary_semantic,mutant,biophysical,scale_capacitance,"{""changes"": [{""attribute"": ""value"", ""locator"": ""/neuroml[@id='HH2_477127614']/cell[@id='HH2_477127614']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1]"", ""new"": ""3.414260892192 uF_per_cm2"", ""old"": ""4.26782611524 uF_per_cm2""}], ""element"": ""specificCapacitance"", ""element_id"": null, ""factor"": 0.8, ""generator_seed"": 20260917}",5_non_equivalent,5_non_equivalent,P00_canonical;P04_step_2x;P05_long_step;P06_ramp,P00_canonical:ap_amplitude;P00_canonical:first_spike_latency;P04_step_2x:ahp_depth;P04_step_2x:ap_amplitude;P04_step_2x:first_spike_latency;P04_step_2x:last_isi;P05_long_step:ahp_depth;P05_long_step:ap_amplitude;P05_long_step:first_spike_latency;P05_long_step:last_isi;P05_long_step:spike_count;P06_ramp:first_spike_latency,passive_membrane,mild,True,True,False,True,True,P04_step_2x:spike_count;P06_ramp:spike_count;P07_hyperpolarizing_step:trace_rmse;P08_rebound:trace_rmse;P09_short_pulse:trace_rmse,P04_step_2x:first_isi;P04_step_2x:mean_frequency;P05_long_step:first_isi;P05_long_step:mean_frequency,,,{},"[{""file"": ""cells/HH2/HH2_477127614.cell.nml"", ""locator"": ""/neuroml[@id='HH2_477127614']/cell[@id='HH2_477127614']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1]"", ""attribute"": ""value"", ""old"": ""4.26782611524 uF_per_cm2"", ""new"": ""3.414260892192 uF_per_cm2"", ""action"": ""set"", ""note"": ""scale_capacitance""}]",{},pass,pass,,pending
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-d886e6ca3e,osb_hh2_477127614,other_model,primary_semantic,mutant,biophysical,scale_capacitance,"{""changes"": [{""attribute"": ""value"", ""locator"": ""/neuroml[@id='HH2_477127614']/cell[@id='HH2_477127614']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1]"", ""new"": ""2.13391305762 uF_per_cm2"", ""old"": ""4.26782611524 uF_per_cm2""}], ""element"": ""specificCapacitance"", ""element_id"": null, ""factor"": 0.5, ""generator_seed"": 20260917}",5_non_equivalent,5_non_equivalent,P00_canonical;P04_step_2x;P05_long_step;P06_ramp;P09_short_pulse,P00_canonical:ahp_depth;P00_canonical:ap_amplitude;P00_canonical:first_spike_latency;P00_canonical:last_isi;P00_canonical:spike_count;P04_step_2x:ahp_depth;P04_step_2x:ap_amplitude;P04_step_2x:first_spike_latency;P04_step_2x:last_isi;P04_step_2x:spike_count;P05_long_step:ahp_depth;P05_long_step:ap_amplitude;P05_long_step:first_spike_latency;P05_long_step:last_isi;P05_long_step:spike_count;P06_ramp:first_spike_latency;P06_ramp:spike_count;P09_short_pulse:ahp_depth;P09_short_pulse:ap_amplitude;P09_short_pulse:first_spike_latency;P09_short_pulse:spike_count,passive_membrane,strong,True,True,False,True,True,P02_weak_step:trace_rmse;P04_step_2x:spike_count;P06_ramp:spike_count;P07_hyperpolarizing_step:trace_rmse;P08_rebound:trace_rmse;P09_short_pulse:spike_count;P09_short_pulse:trace_rmse,P00_canonical:ap_half_width;P00_canonical:mean_frequency;P04_step_2x:ap_half_width;P04_step_2x:first_isi;P04_step_2x:mean_frequency;P05_long_step:ap_half_width;P05_long_step:first_isi;P05_long_step:mean_frequency;P06_ramp:mean_frequency;P09_short_pulse:ap_half_width,,,{},"[{""file"": ""cells/HH2/HH2_477127614.cell.nml"", ""locator"": ""/neuroml[@id='HH2_477127614']/cell[@id='HH2_477127614']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1]"", ""attribute"": ""value"", ""old"": ""4.26782611524 uF_per_cm2"", ""new"": ""2.13391305762 uF_per_cm2"", ""action"": ""set"", ""note"": ""scale_capacitance""}]",{},pass,pass,,pending
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-f459583f48,migliore2014_mt_soma,other_model,primary_semantic,mutant,biophysical,scale_capacitance,"{""changes"": [{""attribute"": ""value"", ""locator"": ""/neuroml[@id='MT_soma']/cell[@id='MT_soma']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1]"", ""new"": ""0.9 uF_per_cm2"", ""old"": ""1.8 uF_per_cm2""}], ""element"": ""specificCapacitance"", ""element_id"": null, ""factor"": 0.5, ""generator_seed"": 20260917}",5_non_equivalent,5_non_equivalent,P00_canonical;P03_rheobase;P04_step_2x;P05_long_step;P06_ramp;P09_short_pulse,P00_canonical:ahp_depth;P00_canonical:ap_amplitude;P00_canonical:first_spike_latency;P03_rheobase:rheobase;P04_step_2x:ahp_depth;P04_step_2x:ap_amplitude;P04_step_2x:first_spike_latency;P04_step_2x:last_isi;P04_step_2x:spike_count;P05_long_step:ahp_depth;P05_long_step:ap_amplitude;P05_long_step:first_spike_latency;P05_long_step:last_isi;P05_long_step:spike_count;P06_ramp:first_spike_latency;P06_ramp:spike_count;P09_short_pulse:ahp_depth;P09_short_pulse:ap_amplitude;P09_short_pulse:first_spike_latency,passive_membrane,strong,True,True,True,True,True,P00_canonical:spike_timing;P00_canonical:trace_rmse;P04_step_2x:spike_count;P04_step_2x:trace_rmse;P05_long_step:spike_count;P05_long_step:trace_rmse;P06_ramp:spike_count;P06_ramp:trace_rmse;P07_hyperpolarizing_step:trace_rmse;P08_rebound:trace_rmse;P09_short_pulse:spike_timing;P09_short_pulse:trace_rmse,P04_step_2x:first_isi;P04_step_2x:mean_frequency;P05_long_step:first_isi;P05_long_step:mean_frequency;P06_ramp:mean_frequency;P09_short_pulse:ap_half_width,,,{},"[{""file"": ""NeuroML2/Channels/test/MT_soma.cell.nml"", ""locator"": ""/neuroml[@id='MT_soma']/cell[@id='MT_soma']/biophysicalProperties[@id='biophys']/membraneProperties[1]/specificCapacitance[1]"", ""attribute"": ""value"", ""old"": ""1.8 uF_per_cm2"", ""new"": ""0.9 uF_per_cm2"", ""action"": ""set"", ""note"": ""scale_capacitance""}]",{},pass,pass,,pending
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-10ff293ca8,pospischil2008_fs,other_model,primary_semantic,mutant,biophysical,scale_conductance,"{""changes"": [{""attribute"": ""condDensity"", ""locator"": ""/neuroml[@id='FS']/cell[@id='FS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='LeakConductance_all']"", ""new"": ""0.075 mS_per_cm2"", ""old"": ""0.15 mS_per_cm2""}], ""element"": ""channelDensity"", ""element_id"": ""LeakConductance_all"", ""factor"": 0.5, ""generator_seed"": 20260917}",5_non_equivalent,5_non_equivalent,P00_canonical;P02_weak_step;P03_rheobase;P04_step_2x;P05_long_step;P06_ramp;P07_hyperpolarizing_step,P00_canonical:first_spike_latency;P00_canonical:last_isi;P00_canonical:spike_count;P02_weak_step:spike_count;P02_weak_step:steady_state_voltage;P03_rheobase:rheobase;P04_step_2x:first_spike_latency;P04_step_2x:last_isi;P04_step_2x:spike_count;P05_long_step:first_spike_latency;P05_long_step:last_isi;P05_long_step:spike_count;P06_ramp:first_spike_latency;P06_ramp:spike_count;P07_hyperpolarizing_step:steady_state_voltage,maximal_conductance,strong,True,True,True,True,True,P00_canonical:spike_count;P02_weak_step:spike_count;P02_weak_step:trace_rmse;P06_ramp:spike_count;P07_hyperpolarizing_step:trace_rmse;P08_rebound:trace_rmse,P00_canonical:first_isi;P00_canonical:mean_frequency;P02_weak_step:voltage_deflection;P04_step_2x:first_isi;P04_step_2x:mean_frequency;P05_long_step:first_isi;P05_long_step:mean_frequency;P06_ramp:mean_frequency;P07_hyperpolarizing_step:minimum_voltage;P07_hyperpolarizing_step:voltage_deflection,,,{},"[{""file"": ""NeuroML2/cells/FS/FS.cell.nml"", ""locator"": ""/neuroml[@id='FS']/cell[@id='FS']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='LeakConductance_all']"", ""attribute"": ""condDensity"", ""old"": ""0.15 mS_per_cm2"", ""new"": ""0.075 mS_per_cm2"", ""action"": ""set"", ""note"": ""scale_conductance""}]",{},pass,pass,,pending
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-de26f4d2e1,migliore2014_mt_soma,other_model,primary_semantic,mutant,biophysical,scale_conductance,"{""changes"": [{""attribute"": ""condDensity"", ""locator"": ""/neuroml[@id='MT_soma']/cell[@id='MT_soma']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='pas_ModelViewParmSubset_1']"", ""new"": ""0.1666666 mS_per_cm2"", ""old"": ""0.0833333 mS_per_cm2""}], ""element"": ""channelDensity"", ""element_id"": ""pas_ModelViewParmSubset_1"", ""factor"": 2.0, ""generator_seed"": 20260917}",5_non_equivalent,5_non_equivalent,P00_canonical;P02_weak_step;P03_rheobase;P04_step_2x;P05_long_step;P06_ramp;P07_hyperpolarizing_step;P09_short_pulse,P00_canonical:first_spike_latency;P02_weak_step:steady_state_voltage;P03_rheobase:rheobase;P04_step_2x:adaptation_index;P04_step_2x:first_spike_latency;P04_step_2x:last_isi;P04_step_2x:spike_count;P05_long_step:adaptation_index;P05_long_step:ahp_depth;P05_long_step:ap_amplitude;P05_long_step:first_spike_latency;P05_long_step:last_isi;P05_long_step:spike_count;P06_ramp:first_spike_latency;P06_ramp:spike_count;P07_hyperpolarizing_step:steady_state_voltage;P09_short_pulse:ahp_depth,maximal_conductance,strong,True,True,True,True,True,P00_canonical:spike_timing;P00_canonical:trace_rmse;P02_weak_step:trace_rmse;P04_step_2x:spike_count;P04_step_2x:trace_rmse;P05_long_step:spike_count;P05_long_step:trace_rmse;P06_ramp:spike_count;P06_ramp:trace_rmse;P07_hyperpolarizing_step:trace_rmse;P08_rebound:trace_rmse;P09_short_pulse:trace_rmse,P00_canonical:baseline_voltage;P02_weak_step:baseline_voltage;P02_weak_step:voltage_deflection;P04_step_2x:first_isi;P04_step_2x:mean_frequency;P05_long_step:ap_half_width;P05_long_step:burst_count;P05_long_step:firing_regime;P05_long_step:first_isi;P05_long_step:mean_frequency;P06_ramp:mean_frequency;P07_hyperpolarizing_step:baseline_voltage;P07_hyperpolarizing_step:minimum_voltage;P07_hyperpolarizing_step:voltage_deflection;P08_rebound:maximum_voltage,,,{},"[{""file"": ""NeuroML2/Channels/test/MT_soma.cell.nml"", ""locator"": ""/neuroml[@id='MT_soma']/cell[@id='MT_soma']/biophysicalProperties[@id='biophys']/membraneProperties[1]/channelDensity[@id='pas_ModelViewParmSubset_1']"", ""attribute"": ""condDensity"", ""old"": ""0.0833333 mS_per_cm2"", ""new"": ""0.1666666 mS_per_cm2"", ""action"": ""set"", ""note"": ""scale_conductance""}]",{},pass,pass,,pending
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ecad0d4d76,nml2_hh_example,other_model,primary_semantic,mutant,biophysical,scale_conductance,"{""changes"": [{""attribute"": ""condDensity"", ""locator"": ""/neuroml[@id='NML2_SingleCompHHCell']/cell[@id='hhcell']/biophysicalProperties[@id='bioPhys1']/membraneProperties[1]/channelDensity[@id='kChans']"", ""new"": ""720 S_per_m2"", ""old"": ""360 S_per_m2""}], ""element"": ""channelDensity"", ""element_id"": ""kChans"", ""factor"": 2.0, ""generator_seed"": 20260917}",5_non_equivalent,5_non_equivalent,P00_canonical;P02_weak_step;P03_rheobase;P04_step_2x;P05_long_step;P07_hyperpolarizing_step;P08_rebound;P09_short_pulse,P00_canonical:adaptation_index;P00_canonical:ahp_depth;P00_canonical:ap_amplitude;P00_canonical:first_spike_latency;P00_canonical:last_isi;P00_canonical:spike_count;P02_weak_step:steady_state_voltage;P03_rheobase:rheobase;P04_step_2x:ahp_depth;P04_step_2x:ap_amplitude;P04_step_2x:first_spike_latency;P04_step_2x:spike_count;P05_long_step:ahp_depth;P05_long_step:ap_amplitude;P05_long_step:first_spike_latency;P05_long_step:spike_count;P07_hyperpolarizing_step:steady_state_voltage;P08_rebound:first_spike_latency;P08_rebound:spike_count;P09_short_pulse:ahp_depth,maximal_conductance,strong,True,True,True,True,True,P00_canonical:spike_count;P02_weak_step:trace_rmse;P04_step_2x:spike_count;P04_step_2x:trace_rmse;P05_long_step:spike_count;P05_long_step:trace_rmse;P06_ramp:trace_rmse;P07_hyperpolarizing_step:trace_rmse;P08_rebound:spike_count;P08_rebound:trace_rmse;P09_short_pulse:trace_rmse,P00_canonical:ap_half_width;P00_canonical:baseline_voltage;P00_canonical:firing_regime;P00_canonical:first_isi;P00_canonical:mean_frequency;P02_weak_step:baseline_voltage;P04_step_2x:ap_half_width;P04_step_2x:firing_regime;P05_long_step:ap_half_width;P05_long_step:firing_regime;P07_hyperpolarizing_step:baseline_voltage;P07_hyperpolarizing_step:minimum_voltage;P07_hyperpolarizing_step:voltage_deflection;P08_rebound:firing_regime;P08_rebound:maximum_voltage;P09_short_pulse:ap_half_width,,,{},"[{""file"": ""examples/NML2_SingleCompHHCell.nml"", ""locator"": ""/neuroml[@id='NML2_SingleCompHHCell']/cell[@id='hhcell']/biophysicalProperties[@id='bioPhys1']/membraneProperties[1]/channelDensity[@id='kChans']"", ""attribute"": ""condDensity"", ""old"": ""360 S_per_m2"", ""new"": ""720 S_per_m2"", ""action"": ""set"", ""note"": ""scale_conductance""}]",{},pass,pass,,pending
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_gate_time_constant-06060ba499,nml2_hh_example,other_model,primary_semantic,mutant,biophysical,scale_gate_time_constant,"{""changes"": [{""attribute"": ""rate"", ""locator"": ""/neuroml[@id='NML2_SingleCompHHCell']/ionChannelHH[@id='naChan']/gateHHrates[@id='m']/forwardRate[1]"", ""new"": ""0.8per_ms"", ""old"": ""1per_ms""}, {""attribute"": ""rate"", ""locator"": ""/neuroml[@id='NML2_SingleCompHHCell']/ionChannelHH[@id='naChan']/gateHHrates[@id='m']/reverseRate[1]"", ""new"": ""3.2per_ms"", ""old"": ""4per_ms""}], ""channel"": ""naChan"", ""factor"": 0.8, ""gate"": ""m"", ""generator_seed"": 20260917, ""mechanism"": ""rate_parameters""}",5_non_equivalent,5_non_equivalent,P00_canonical;P03_rheobase;P04_step_2x;P05_long_step;P09_short_pulse,P00_canonical:ap_amplitude;P00_canonical:last_isi;P00_canonical:spike_count;P03_rheobase:rheobase;P04_step_2x:ap_amplitude;P05_long_step:ap_amplitude;P09_short_pulse:ap_amplitude,gating_time_constant,mild,True,True,True,True,True,P00_canonical:spike_count;P00_canonical:trace_rmse;P04_step_2x:trace_rmse;P05_long_step:trace_rmse;P08_rebound:trace_rmse;P09_short_pulse:trace_rmse,P00_canonical:first_isi;P08_rebound:maximum_voltage,,,{},"[{""file"": ""examples/NML2_SingleCompHHCell.nml"", ""locator"": ""/neuroml[@id='NML2_SingleCompHHCell']/ionChannelHH[@id='naChan']/gateHHrates[@id='m']/forwardRate[1]"", ""attribute"": ""rate"", ""old"": ""1per_ms"", ""new"": ""0.8per_ms"", ""action"": ""set"", ""note"": ""scale_gate_time_constant""}, {""file"": ""examples/NML2_SingleCompHHCell.nml"", ""locator"": ""/neuroml[@id='NML2_SingleCompHHCell']/ionChannelHH[@id='naChan']/gateHHrates[@id='m']/reverseRate[1]"", ""attribute"": ""rate"", ""old"": ""4per_ms"", ""new"": ""3.2per_ms"", ""action"": ""set"", ""note"": ""scale_gate_time_constant""}]",{},pass,pass,,pending
