study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,level_factor,protocol_id,metric,ref_value,var_value,diff,tau
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-duplicate_conductance-36dae66739,migliore2014_mt_soma,1,P00_canonical,trace_rmse,0.0,11.944723251882113,11.944723251882113,1.804770140685029
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-duplicate_conductance-36dae66739,migliore2014_mt_soma,1,P00_canonical,spike_timing,,,1.7091917934050258,0.5
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-duplicate_conductance-36dae66739,migliore2014_mt_soma,1,P04_step_2x,trace_rmse,0.0,26.093348106893252,26.093348106893252,1.2668414978622689
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-duplicate_conductance-36dae66739,migliore2014_mt_soma,1,P04_step_2x,spike_timing,,,42.044731549645576,0.5
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-duplicate_conductance-36dae66739,migliore2014_mt_soma,1,P05_long_step,trace_rmse,0.0,29.37035481230851,29.37035481230851,5.936702772937325
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-duplicate_conductance-36dae66739,migliore2014_mt_soma,1,P05_long_step,spike_count,19.0,22.0,3.0,0.5
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-duplicate_conductance-36dae66739,migliore2014_mt_soma,1,P06_ramp,trace_rmse,0.0,23.28766924861468,23.28766924861468,1.6222585396078615
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-duplicate_conductance-36dae66739,migliore2014_mt_soma,1,P06_ramp,spike_count,9.0,10.0,1.0,0.5
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-duplicate_conductance-36dae66739,migliore2014_mt_soma,1,P09_short_pulse,trace_rmse,0.0,2.9694867695127694,2.9694867695127694,0.5
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-duplicate_conductance-36dae66739,migliore2014_mt_soma,1,P09_short_pulse,spike_timing,,,0.7463945505172092,0.5
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-duplicate_conductance-36dae66739,migliore2014_mt_soma,2,P00_canonical,trace_rmse,0.0,11.979809681161209,11.979809681161209,1.804770140685029
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-duplicate_conductance-36dae66739,migliore2014_mt_soma,2,P00_canonical,spike_timing,,,1.7103906633080754,0.5
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-duplicate_conductance-36dae66739,migliore2014_mt_soma,2,P04_step_2x,trace_rmse,0.0,26.091905719164608,26.091905719164608,1.2668414978622689
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-duplicate_conductance-36dae66739,migliore2014_mt_soma,2,P04_step_2x,spike_timing,,,42.04856540194521,0.5
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-duplicate_conductance-36dae66739,migliore2014_mt_soma,2,P05_long_step,trace_rmse,0.0,29.363384602814598,29.363384602814598,5.936702772937325
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-duplicate_conductance-36dae66739,migliore2014_mt_soma,2,P05_long_step,spike_count,19.0,22.0,3.0,0.5
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-duplicate_conductance-36dae66739,migliore2014_mt_soma,2,P06_ramp,trace_rmse,0.0,23.2872892710466,23.2872892710466,1.6222585396078615
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-duplicate_conductance-36dae66739,migliore2014_mt_soma,2,P06_ramp,spike_count,9.0,10.0,1.0,0.5
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-duplicate_conductance-36dae66739,migliore2014_mt_soma,2,P09_short_pulse,trace_rmse,0.0,2.972986037480188,2.972986037480188,0.5
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-duplicate_conductance-36dae66739,migliore2014_mt_soma,2,P09_short_pulse,spike_timing,,,0.7437828911557745,0.5
