study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,level_factor,protocol_id,feature,reason,ref_value,var_value,diff,tau,ref_run_id,var_run_id
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-e86da299c1,acnet2_pyr_soma,1,P00_canonical,first_isi,exceeds,18.340000000009383,15.830000000008098,2.510000000001284,0.5,r-7ce2d1a0f19cc5d24572,r-d3372013b99a41353508
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-e86da299c1,acnet2_pyr_soma,1,P00_canonical,mean_frequency,exceeds,16.20909735590306,17.933645511620455,1.7245481557173932,0.8104548677951531,r-7ce2d1a0f19cc5d24572,r-d3372013b99a41353508
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-e86da299c1,acnet2_pyr_soma,1,P04_step_2x,first_isi,exceeds,451.11999999958977,415.5399999996221,35.57999999996764,9.022399999991796,r-85c49aecb0e07f4c5069,r-59d2b4f3b4022be4c6a8
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-e86da299c1,acnet2_pyr_soma,1,P05_long_step,first_isi,exceeds,585.3699999994676,522.1999999995251,63.16999999994255,11.707399999989352,r-f6700284baa99a5ef41f,r-9398cf72774d89fd5cde
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-e86da299c1,acnet2_pyr_soma,1,P09_short_pulse,ap_half_width,definedness,,0.529999999999518,,inf,r-195ba3020e76bc4e3add,r-39a89ee09fbed42e1e6d
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-e86da299c1,acnet2_pyr_soma,2,P00_canonical,first_isi,exceeds,18.300000000009362,15.800000000008083,2.500000000001279,0.5,r-2526a9bbad7e1faa361e,r-7e9645d1aa4bf656b45a
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-e86da299c1,acnet2_pyr_soma,2,P00_canonical,mean_frequency,exceeds,16.27074520014227,18.012608826191773,1.7418636260495042,0.8104548677951531,r-2526a9bbad7e1faa361e,r-7e9645d1aa4bf656b45a
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-e86da299c1,acnet2_pyr_soma,2,P04_step_2x,first_isi,exceeds,450.1799999995906,414.4899999996231,35.68999999996754,9.022399999991796,r-16be743cbc8f0485fd82,r-3d077d017184bc9457ad
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-e86da299c1,acnet2_pyr_soma,2,P05_long_step,first_isi,exceeds,584.4299999994685,521.149999999526,63.27999999994245,11.707399999989352,r-493fa57e11933a720397,r-c9f21a5c1e6afdc1e19c
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-e86da299c1,acnet2_pyr_soma,2,P09_short_pulse,ap_half_width,definedness,,0.529999999999518,,inf,r-eb52f398ba2e116da449,r-565d6cbdafbd72cb47b2
