study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,level_factor,protocol_id,metric,ref_value,var_value,diff,tau
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-e86da299c1,acnet2_pyr_soma,1,P00_canonical,spike_count,8.0,9.0,1.0,0.5
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-e86da299c1,acnet2_pyr_soma,1,P04_step_2x,spike_timing,,,48.61739746377714,2.964025352945214
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-e86da299c1,acnet2_pyr_soma,1,P05_long_step,spike_timing,,,208.62036146917535,8.522154839198265
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-e86da299c1,acnet2_pyr_soma,1,P06_ramp,spike_timing,,,59.302968165912034,2.5164009280051687
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-e86da299c1,acnet2_pyr_soma,1,P09_short_pulse,trace_rmse,0.0,5.2375822243924635,5.2375822243924635,0.5
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-e86da299c1,acnet2_pyr_soma,1,P09_short_pulse,spike_count,0.0,1.0,1.0,0.5
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-e86da299c1,acnet2_pyr_soma,2,P00_canonical,spike_count,8.0,9.0,1.0,0.5
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-e86da299c1,acnet2_pyr_soma,2,P04_step_2x,spike_timing,,,48.7177910715933,2.964025352945214
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-e86da299c1,acnet2_pyr_soma,2,P05_long_step,spike_timing,,,208.93354040975373,8.522154839198265
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-e86da299c1,acnet2_pyr_soma,2,P06_ramp,spike_timing,,,59.39661251191956,2.5164009280051687
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-e86da299c1,acnet2_pyr_soma,2,P09_short_pulse,trace_rmse,0.0,5.229423330799758,5.229423330799758,0.5
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-e86da299c1,acnet2_pyr_soma,2,P09_short_pulse,spike_count,0.0,1.0,1.0,0.5
