study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,level_factor,protocol_id,feature,reason,ref_value,var_value,diff,tau,ref_run_id,var_run_id
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-f459583f48,migliore2014_mt_soma,1,P04_step_2x,first_isi,exceeds,73.12999999993349,65.27999999994063,7.8499999999928605,1.4625999999986699,r-007bacc26e9c06940666,r-c7352738bee39186b940
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-f459583f48,migliore2014_mt_soma,1,P04_step_2x,mean_frequency,exceeds,14.612558450250988,16.235742988207473,1.6231845379564849,0.7306279225125495,r-007bacc26e9c06940666,r-c7352738bee39186b940
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-f459583f48,migliore2014_mt_soma,1,P05_long_step,first_isi,exceeds,91.02999999991721,81.78999999992561,9.239999999991596,1.8205999999983442,r-2e016fe90119b688bc84,r-5fd1abd1635b12189555
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-f459583f48,migliore2014_mt_soma,1,P05_long_step,mean_frequency,exceeds,9.706010063585746,10.622315968358222,0.9163059047724769,0.5,r-2e016fe90119b688bc84,r-5fd1abd1635b12189555
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-f459583f48,migliore2014_mt_soma,1,P06_ramp,mean_frequency,exceeds,9.067918711155903,10.19035584723678,1.1224371360808778,0.5,r-0cd5f319bb80295395e1,r-4377e518a02c35c5fea5
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-f459583f48,migliore2014_mt_soma,1,P09_short_pulse,ap_half_width,exceeds,3.809999999996535,4.519999999995889,0.7099999999993543,0.19049999999982675,r-35777975476ff8854a8b,r-be0967ee585ff9a4a794
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-f459583f48,migliore2014_mt_soma,2,P04_step_2x,first_isi,exceeds,73.12999999993349,65.26999999994064,7.859999999992851,1.4625999999986699,r-0241c17b5ff2297d2a17,r-a9a321dfa35c35e0dbdc
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-f459583f48,migliore2014_mt_soma,2,P04_step_2x,mean_frequency,exceeds,14.614694030958587,16.240357287879316,1.6256632569207294,0.7306279225125495,r-0241c17b5ff2297d2a17,r-a9a321dfa35c35e0dbdc
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-f459583f48,migliore2014_mt_soma,2,P05_long_step,first_isi,exceeds,91.0399999999172,81.76999999992563,9.269999999991569,1.8205999999983442,r-002bf860824963a1f621,r-8082c98631d7760454cc
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-f459583f48,migliore2014_mt_soma,2,P05_long_step,mean_frequency,exceeds,9.707993766431983,10.625594527295274,0.9176007608632908,0.5,r-002bf860824963a1f621,r-8082c98631d7760454cc
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-f459583f48,migliore2014_mt_soma,2,P06_ramp,mean_frequency,exceeds,9.068741057223095,10.192121490098758,1.1233804328756634,0.5,r-046a6f9c0b3cbbc75058,r-541c810cb87fd09efd11
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_capacitance-f459583f48,migliore2014_mt_soma,2,P09_short_pulse,ap_half_width,exceeds,3.8199999999965257,4.52999999999588,0.7099999999993543,0.19049999999982675,r-aac3ae71b1a6189ef4f4,r-83d0b2be9022b6315894
