study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,level_factor,protocol_id,feature,reason,ref_value,var_value,diff,tau,ref_run_id,var_run_id
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-2c1b980b1d,pospischil2008_fs,1,P00_canonical,ahp_depth,exceeds,-4.832305908199814,-11.33185577391474,6.4995498657149255,0.5,r-4cceac4cec0eb866659f,r-ce687e1d6a22a76e95ae
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-2c1b980b1d,pospischil2008_fs,1,P00_canonical,last_isi,exceeds,20.21999999998161,21.41999999998052,1.1999999999989086,0.5,r-4cceac4cec0eb866659f,r-ce687e1d6a22a76e95ae
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-2c1b980b1d,pospischil2008_fs,1,P00_canonical,spike_count,exceeds,20.0,19.0,1.0,0.5,r-4cceac4cec0eb866659f,r-ce687e1d6a22a76e95ae
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-2c1b980b1d,pospischil2008_fs,1,P04_step_2x,ahp_depth,exceeds,-4.612907409655477,-11.421661376965176,6.808753967309698,1.517738342282641,r-54e05e4e4388308e9268,r-54c3c635f8e2178649f9
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-2c1b980b1d,pospischil2008_fs,1,P04_step_2x,last_isi,exceeds,10.539999999990414,11.249999999989768,0.7099999999993543,0.5,r-54e05e4e4388308e9268,r-54c3c635f8e2178649f9
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-2c1b980b1d,pospischil2008_fs,1,P05_long_step,ahp_depth,exceeds,-5.324134826653506,-12.002944946290356,6.67881011963685,1.4906845092445167,r-d95212df9ca6b2b4efff,r-352f32332874fb3c49cf
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-2c1b980b1d,pospischil2008_fs,1,P05_long_step,last_isi,exceeds,15.610000000340733,16.570000000361688,0.9600000000209548,0.5,r-d95212df9ca6b2b4efff,r-352f32332874fb3c49cf
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-2c1b980b1d,pospischil2008_fs,1,P05_long_step,spike_count,exceeds,128.0,120.0,8.0,3.0,r-d95212df9ca6b2b4efff,r-352f32332874fb3c49cf
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-2c1b980b1d,pospischil2008_fs,1,P06_ramp,spike_count,exceeds,61.0,57.0,4.0,0.5,r-5888f8cf54a64bb2eb2f,r-726b158b101765b23e1d
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-2c1b980b1d,pospischil2008_fs,1,P09_short_pulse,ahp_depth,exceeds,3.4738235474345487,-4.817665100096264,8.291488647530812,1.7055587767790286,r-534f36c941e5711ea7a5,r-8f937920749f958302e7
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-2c1b980b1d,pospischil2008_fs,2,P00_canonical,ahp_depth,exceeds,-4.734680175792306,-11.218475341810134,6.483795166017828,0.5,r-c9243a4c0b8a67de36a8,r-3d4e7a161fe2d065b50b
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-2c1b980b1d,pospischil2008_fs,2,P00_canonical,last_isi,exceeds,20.189999999981637,21.389999999980546,1.1999999999989086,0.5,r-c9243a4c0b8a67de36a8,r-3d4e7a161fe2d065b50b
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-2c1b980b1d,pospischil2008_fs,2,P00_canonical,spike_count,exceeds,20.0,19.0,1.0,0.5,r-c9243a4c0b8a67de36a8,r-3d4e7a161fe2d065b50b
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-2c1b980b1d,pospischil2008_fs,2,P04_step_2x,ahp_depth,exceeds,-4.106994628894597,-10.837409973159495,6.730415344264898,1.517738342282641,r-e087238cb438e653e31d,r-465849d912b50d6fd681
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-2c1b980b1d,pospischil2008_fs,2,P04_step_2x,last_isi,exceeds,10.439999999990505,11.14999999998986,0.7099999999993543,0.5,r-e087238cb438e653e31d,r-465849d912b50d6fd681
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-2c1b980b1d,pospischil2008_fs,2,P05_long_step,ahp_depth,exceeds,-4.827239990238667,-11.429115295390432,6.601875305151765,1.4906845092445167,r-880359fc85650f897997,r-24073d45d20c0d58a710
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-2c1b980b1d,pospischil2008_fs,2,P05_long_step,last_isi,exceeds,15.480000000337895,16.45000000035907,0.970000000021173,0.5,r-880359fc85650f897997,r-24073d45d20c0d58a710
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-2c1b980b1d,pospischil2008_fs,2,P05_long_step,spike_count,exceeds,129.0,121.0,8.0,3.0,r-880359fc85650f897997,r-24073d45d20c0d58a710
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-2c1b980b1d,pospischil2008_fs,2,P06_ramp,spike_count,exceeds,61.0,57.0,4.0,0.5,r-b0adc3019253aae3e3e8,r-f46a1d45d068c2e9eb47
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-2c1b980b1d,pospischil2008_fs,2,P09_short_pulse,ahp_depth,exceeds,4.042343139694225,-4.147621154817756,8.18996429451198,1.7055587767790286,r-84e85309a66928a29934,r-0d3af3fa55e3df6c23cb
