study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,level_factor,protocol_id,feature,reason,ref_value,var_value,diff,tau,ref_run_id,var_run_id
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-979dd75955,osb_hh2_477127614,1,P00_canonical,first_spike_latency,exceeds,28.91999999987314,24.779999999876907,4.139999999996235,0.5783999999974628,r-50990666ac8ec9a46823,r-b7a5ea119f2a571bf3c9
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-979dd75955,osb_hh2_477127614,1,P02_weak_step,steady_state_voltage,exceeds,-60.68582479858395,-47.840478866596456,12.845345931987495,0.5,r-d2b3788dfa4671532754,r-11ee70329835683b6f9b
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-979dd75955,osb_hh2_477127614,1,P03_rheobase,rheobase,exceeds,0.06447647018646267,0.0323406871115361,0.03213578307492657,0.0012895294037292536,s-bd435463250c35027583,s-e4a1d4699b4a1c4d6a4a
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-979dd75955,osb_hh2_477127614,1,P04_step_2x,first_spike_latency,exceeds,41.14999999983473,32.89999999984224,8.249999999992497,0.8229999999966947,r-d2b3788dfa4671532754,r-11ee70329835683b6f9b
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-979dd75955,osb_hh2_477127614,1,P04_step_2x,last_isi,exceeds,32.02999999997087,24.139999999978045,7.889999999992824,1.589999999998554,r-d2b3788dfa4671532754,r-11ee70329835683b6f9b
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-979dd75955,osb_hh2_477127614,1,P04_step_2x,spike_count,exceeds,15.0,21.0,6.0,3.0,r-d2b3788dfa4671532754,r-11ee70329835683b6f9b
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-979dd75955,osb_hh2_477127614,1,P05_long_step,first_spike_latency,exceeds,65.31999999981275,45.41999999983085,19.8999999999819,1.306399999996255,r-5fe7a143f3c88a372d40,r-5fb5f16f1eb6cc1eb43d
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-979dd75955,osb_hh2_477127614,1,P05_long_step,last_isi,exceeds,56.07000000122389,34.58000000075481,21.49000000046908,2.6100000000569707,r-5fe7a143f3c88a372d40,r-5fb5f16f1eb6cc1eb43d
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-979dd75955,osb_hh2_477127614,1,P05_long_step,spike_count,exceeds,36.0,58.0,22.0,0.5,r-5fe7a143f3c88a372d40,r-5fb5f16f1eb6cc1eb43d
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-979dd75955,osb_hh2_477127614,1,P06_ramp,first_spike_latency,exceeds,415.89999999949396,273.49999999962347,142.3999999998705,8.31799999998988,r-0957e33747fc542d9104,r-b74bf277de7b0dd32c49
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-979dd75955,osb_hh2_477127614,1,P06_ramp,spike_count,exceeds,20.0,29.0,9.0,3.0,r-0957e33747fc542d9104,r-b74bf277de7b0dd32c49
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-979dd75955,osb_hh2_477127614,1,P07_hyperpolarizing_step,steady_state_voltage,exceeds,-93.17739953460699,-114.91772292022708,21.740323385620087,0.5,r-d2b3788dfa4671532754,r-11ee70329835683b6f9b
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-979dd75955,osb_hh2_477127614,2,P00_canonical,first_spike_latency,exceeds,28.749999999873296,24.619999999877052,4.129999999996244,0.5783999999974628,r-cff06a8ac591df54f373,r-147fbb8cbf1d50707adf
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-979dd75955,osb_hh2_477127614,2,P02_weak_step,steady_state_voltage,exceeds,-60.68582508010861,-47.839925601215484,12.845899478893124,0.5,r-ae1b79422775c8a979b7,r-d09476efa4a03492a69e
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-979dd75955,osb_hh2_477127614,2,P03_rheobase,rheobase,exceeds,0.06447647018646267,0.0323406871115361,0.03213578307492657,0.0012895294037292536,s-4d054cac6fc39c11b1f5,s-21f8e1edcf4420873af5
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-979dd75955,osb_hh2_477127614,2,P04_step_2x,first_spike_latency,exceeds,41.10999999983477,32.869999999842264,8.239999999992506,0.8229999999966947,r-ae1b79422775c8a979b7,r-d09476efa4a03492a69e
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-979dd75955,osb_hh2_477127614,2,P04_step_2x,last_isi,exceeds,31.49999999997135,23.579999999978554,7.919999999992797,1.589999999998554,r-ae1b79422775c8a979b7,r-d09476efa4a03492a69e
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-979dd75955,osb_hh2_477127614,2,P04_step_2x,spike_count,exceeds,16.0,21.0,5.0,3.0,r-ae1b79422775c8a979b7,r-d09476efa4a03492a69e
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-979dd75955,osb_hh2_477127614,2,P05_long_step,first_spike_latency,exceeds,65.27999999981279,45.38999999983088,19.88999999998191,1.306399999996255,r-317893116e9cb0c903c3,r-0c4175e3965b5bdef5f2
