study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,level_factor,protocol_id,feature,reason,ref_value,var_value,diff,tau,ref_run_id,var_run_id
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ae18f4c43e,nml2_hh_example,1,P00_canonical,ap_half_width,exceeds,1.3400000000006855,1.4400000000007367,0.10000000000005116,0.06700000000003428,r-5f0a94c66ff17cd98a0a,r-60577319b329b3cce6b4
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ae18f4c43e,nml2_hh_example,1,P00_canonical,first_isi,exceeds,16.350000000008365,14.810000000007577,1.5400000000007878,0.5,r-5f0a94c66ff17cd98a0a,r-60577319b329b3cce6b4
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ae18f4c43e,nml2_hh_example,1,P00_canonical,mean_frequency,exceeds,70.3446889760081,77.82966422061554,7.4849752446074405,3.517234448800405,r-5f0a94c66ff17cd98a0a,r-60577319b329b3cce6b4
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ae18f4c43e,nml2_hh_example,1,P04_step_2x,ap_half_width,exceeds,1.3099999999988086,1.4199999999987085,0.10999999999989996,0.06549999999994043,r-66b1007575e04915ac55,r-59604b72727b2cbead5d
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ae18f4c43e,nml2_hh_example,1,P04_step_2x,burst_count,definedness,,1.0,,inf,r-66b1007575e04915ac55,r-59604b72727b2cbead5d
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ae18f4c43e,nml2_hh_example,1,P04_step_2x,firing_regime,categorical,single_spike,tonic,,,r-66b1007575e04915ac55,r-59604b72727b2cbead5d
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ae18f4c43e,nml2_hh_example,1,P04_step_2x,first_isi,definedness,,17.159999999984393,,inf,r-66b1007575e04915ac55,r-59604b72727b2cbead5d
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ae18f4c43e,nml2_hh_example,1,P04_step_2x,mean_frequency,definedness,,60.40471156757275,,inf,r-66b1007575e04915ac55,r-59604b72727b2cbead5d
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ae18f4c43e,nml2_hh_example,1,P05_long_step,ap_half_width,exceeds,1.2899999999988268,1.4099999999987176,0.11999999999989086,0.06449999999994134,r-940eedfaa66e3fa96c16,r-15cd0326b846ce4f5961
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ae18f4c43e,nml2_hh_example,1,P05_long_step,burst_count,definedness,,1.0,,inf,r-940eedfaa66e3fa96c16,r-15cd0326b846ce4f5961
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ae18f4c43e,nml2_hh_example,1,P05_long_step,firing_regime,categorical,single_spike,tonic,,,r-940eedfaa66e3fa96c16,r-15cd0326b846ce4f5961
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ae18f4c43e,nml2_hh_example,1,P05_long_step,first_isi,definedness,,18.65999999998303,,inf,r-940eedfaa66e3fa96c16,r-15cd0326b846ce4f5961
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ae18f4c43e,nml2_hh_example,1,P05_long_step,mean_frequency,definedness,,54.29673163830712,,inf,r-940eedfaa66e3fa96c16,r-15cd0326b846ce4f5961
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ae18f4c43e,nml2_hh_example,1,P07_hyperpolarizing_step,sag_ratio,exceeds,0.34640087069052167,0.3710765665695018,0.02467569587898011,0.02,r-66b1007575e04915ac55,r-59604b72727b2cbead5d
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ae18f4c43e,nml2_hh_example,1,P08_rebound,maximum_voltage,exceeds,42.80941009326659,44.97521591212168,2.165805818855091,1.0,r-011ab0e03522b12f620c,r-d2d18ef02b200dda5240
