study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,level_factor,protocol_id,feature,reason,ref_value,var_value,diff,tau,ref_run_id,var_run_id
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ecad0d4d76,nml2_hh_example,1,P00_canonical,ap_half_width,exceeds,1.3400000000006855,1.0900000000005576,0.2500000000001279,0.06700000000003428,r-5f0a94c66ff17cd98a0a,r-14538a484e5a4f9e53ef
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ecad0d4d76,nml2_hh_example,1,P00_canonical,baseline_voltage,exceeds,-64.9740524291991,-67.27938079833973,2.305328369140625,0.5,r-5f0a94c66ff17cd98a0a,r-14538a484e5a4f9e53ef
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ecad0d4d76,nml2_hh_example,1,P00_canonical,firing_regime,categorical,tonic,single_spike,,,r-5f0a94c66ff17cd98a0a,r-14538a484e5a4f9e53ef
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ecad0d4d76,nml2_hh_example,1,P00_canonical,first_isi,definedness,16.350000000008365,,,0.5,r-5f0a94c66ff17cd98a0a,r-14538a484e5a4f9e53ef
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ecad0d4d76,nml2_hh_example,1,P00_canonical,mean_frequency,definedness,70.3446889760081,,,3.517234448800405,r-5f0a94c66ff17cd98a0a,r-14538a484e5a4f9e53ef
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ecad0d4d76,nml2_hh_example,1,P02_weak_step,baseline_voltage,exceeds,-64.97405242919922,-67.27938079833984,2.305328369140625,0.5,r-66b1007575e04915ac55,r-e8ceec13f97b813ccc54
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ecad0d4d76,nml2_hh_example,1,P04_step_2x,ap_half_width,definedness,1.3099999999988086,,,0.06549999999994043,r-66b1007575e04915ac55,r-e8ceec13f97b813ccc54
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ecad0d4d76,nml2_hh_example,1,P04_step_2x,firing_regime,categorical,single_spike,silent,,,r-66b1007575e04915ac55,r-e8ceec13f97b813ccc54
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ecad0d4d76,nml2_hh_example,1,P05_long_step,ap_half_width,definedness,1.2899999999988268,,,0.06449999999994134,r-940eedfaa66e3fa96c16,r-19ac20d0f6b5f40acb03
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ecad0d4d76,nml2_hh_example,1,P05_long_step,firing_regime,categorical,single_spike,silent,,,r-940eedfaa66e3fa96c16,r-19ac20d0f6b5f40acb03
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ecad0d4d76,nml2_hh_example,1,P07_hyperpolarizing_step,baseline_voltage,exceeds,-64.97405242919922,-67.27938079833984,2.305328369140625,0.5,r-66b1007575e04915ac55,r-e8ceec13f97b813ccc54
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ecad0d4d76,nml2_hh_example,1,P07_hyperpolarizing_step,minimum_voltage,exceeds,-68.47553253173788,-69.94233703613281,1.4668045043949292,0.5,r-66b1007575e04915ac55,r-e8ceec13f97b813ccc54
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ecad0d4d76,nml2_hh_example,1,P07_hyperpolarizing_step,voltage_deflection,exceeds,-2.288564346313734,-1.7631966079714516,0.5253677383422826,0.5,r-66b1007575e04915ac55,r-e8ceec13f97b813ccc54
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ecad0d4d76,nml2_hh_example,1,P08_rebound,firing_regime,categorical,single_spike,silent,,,r-011ab0e03522b12f620c,r-c5a2180fe5a75166e45b
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ecad0d4d76,nml2_hh_example,1,P08_rebound,maximum_voltage,exceeds,42.80941009326659,-63.27359008788839,106.08300018115497,1.0,r-011ab0e03522b12f620c,r-c5a2180fe5a75166e45b
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ecad0d4d76,nml2_hh_example,1,P09_short_pulse,ap_half_width,exceeds,1.479999999998654,1.269999999998845,0.209999999999809,0.0739999999999327,r-efc8f2fd727ba1854c5f,r-74ba038669c7ba4182a2
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ecad0d4d76,nml2_hh_example,2,P00_canonical,ap_half_width,exceeds,1.3400000000006855,1.1000000000005627,0.24000000000012278,0.06700000000003428,r-d4235ef154cdc2eeb44c,r-2efc3d5325d681e22003
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ecad0d4d76,nml2_hh_example,2,P00_canonical,baseline_voltage,exceeds,-64.97401246824452,-67.27934084500693,2.3053283767624038,0.5,r-d4235ef154cdc2eeb44c,r-2efc3d5325d681e22003
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ecad0d4d76,nml2_hh_example,2,P00_canonical,firing_regime,categorical,tonic,single_spike,,,r-d4235ef154cdc2eeb44c,r-2efc3d5325d681e22003
