study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,level_factor,protocol_id,metric,ref_value,var_value,diff,tau
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ecad0d4d76,nml2_hh_example,1,P00_canonical,spike_count,7.0,1.0,6.0,0.5
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ecad0d4d76,nml2_hh_example,1,P02_weak_step,trace_rmse,0.0,2.417568880691241,2.417568880691241,0.5
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ecad0d4d76,nml2_hh_example,1,P04_step_2x,trace_rmse,0.0,4.22359467986728,4.22359467986728,0.5
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ecad0d4d76,nml2_hh_example,1,P04_step_2x,spike_count,1.0,0.0,1.0,0.5
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ecad0d4d76,nml2_hh_example,1,P05_long_step,trace_rmse,0.0,3.4587728114795078,3.4587728114795078,0.5
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ecad0d4d76,nml2_hh_example,1,P05_long_step,spike_count,1.0,0.0,1.0,0.5
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ecad0d4d76,nml2_hh_example,1,P06_ramp,trace_rmse,0.0,2.6661753353853315,2.6661753353853315,0.5
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ecad0d4d76,nml2_hh_example,1,P07_hyperpolarizing_step,trace_rmse,0.0,2.0788452535872044,2.0788452535872044,0.5
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ecad0d4d76,nml2_hh_example,1,P08_rebound,trace_rmse,0.0,3.9092056314079113,3.9092056314079113,0.5
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ecad0d4d76,nml2_hh_example,1,P08_rebound,spike_count,1.0,0.0,1.0,0.5
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-ecad0d4d76,nml2_hh_example,1,P09_short_pulse,trace_rmse,0.0,2.564857669318563,2.564857669318563,0.5
