study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,level_factor,protocol_id,feature,reason,ref_value,var_value,diff,tau,ref_run_id,var_run_id
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_gate_slope-6f355edc68,nml2_hh_example,1,P00_canonical,ahp_depth,exceeds,-10.343139648437372,-23.00288783366684,12.659748185229468,0.5171569824218686,r-5f0a94c66ff17cd98a0a,r-89ab37845776d6dde041
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_gate_slope-6f355edc68,nml2_hh_example,1,P00_canonical,ap_amplitude,exceeds,95.13947677592056,81.40997505163996,13.729501724280595,1.9027895355184112,r-5f0a94c66ff17cd98a0a,r-89ab37845776d6dde041
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_gate_slope-6f355edc68,nml2_hh_example,1,P00_canonical,first_spike_latency,exceeds,2.5200000000155427,7.180000000017927,4.660000000002384,0.5,r-5f0a94c66ff17cd98a0a,r-89ab37845776d6dde041
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_gate_slope-6f355edc68,nml2_hh_example,1,P00_canonical,last_isi,exceeds,16.12999999998533,12.859999999988304,3.269999999997026,0.5,r-5f0a94c66ff17cd98a0a,r-89ab37845776d6dde041
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_gate_slope-6f355edc68,nml2_hh_example,1,P00_canonical,spike_count,exceeds,7.0,8.0,1.0,0.5,r-5f0a94c66ff17cd98a0a,r-89ab37845776d6dde041
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_gate_slope-6f355edc68,nml2_hh_example,1,P02_weak_step,spike_count,exceeds,0.0,30.0,30.0,0.5,r-66b1007575e04915ac55,r-6489506df8371ec997e1
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_gate_slope-6f355edc68,nml2_hh_example,1,P02_weak_step,steady_state_voltage,exceeds,-64.08310811767565,-59.08461007939556,4.99849803828009,0.5,r-66b1007575e04915ac55,r-6489506df8371ec997e1
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_gate_slope-6f355edc68,nml2_hh_example,1,P03_rheobase,rheobase,exceeds,0.022436992008742575,0.0,0.022436992008742575,0.00044873984017485154,s-6485b8f0d5e0c45b0b4d,s-b805716222206afd104c
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_gate_slope-6f355edc68,nml2_hh_example,1,P04_step_2x,adaptation_index,definedness,,-1.1015156855833627e-05,,inf,r-66b1007575e04915ac55,r-6489506df8371ec997e1
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_gate_slope-6f355edc68,nml2_hh_example,1,P04_step_2x,ahp_depth,exceeds,-10.697937011716306,-16.907464818449988,6.209527806733682,0.5348968505858153,r-66b1007575e04915ac55,r-6489506df8371ec997e1
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_gate_slope-6f355edc68,nml2_hh_example,1,P04_step_2x,ap_amplitude,exceeds,92.72434234740876,90.01217651488619,2.7121658325225724,1.8544868469481752,r-66b1007575e04915ac55,r-6489506df8371ec997e1
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_gate_slope-6f355edc68,nml2_hh_example,1,P04_step_2x,first_spike_latency,exceeds,3.5399999998689395,4.119999999868412,0.5799999999994725,0.5,r-66b1007575e04915ac55,r-6489506df8371ec997e1
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_gate_slope-6f355edc68,nml2_hh_example,1,P04_step_2x,last_isi,definedness,,14.179999999987103,,inf,r-66b1007575e04915ac55,r-6489506df8371ec997e1
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_gate_slope-6f355edc68,nml2_hh_example,1,P04_step_2x,spike_count,exceeds,1.0,35.0,34.0,0.5,r-66b1007575e04915ac55,r-6489506df8371ec997e1
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_gate_slope-6f355edc68,nml2_hh_example,1,P05_long_step,adaptation_index,definedness,,-2.558513110684687e-06,,inf,r-940eedfaa66e3fa96c16,r-6fc1de645d5762cf8025
