study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,level_factor,protocol_id,feature,reason,ref_value,var_value,diff,tau,ref_run_id,var_run_id
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_gate_time_constant-dda33c4c51,pospischil2008_fs,1,P00_canonical,ahp_depth,exceeds,-4.832305908199814,-6.100250244136205,1.2679443359363916,0.5,r-4cceac4cec0eb866659f,r-a116dc3d73e13b2a52fc
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_gate_time_constant-dda33c4c51,pospischil2008_fs,1,P00_canonical,last_isi,exceeds,20.21999999998161,20.729999999981146,0.5099999999995362,0.5,r-4cceac4cec0eb866659f,r-a116dc3d73e13b2a52fc
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_gate_time_constant-dda33c4c51,pospischil2008_fs,1,P00_canonical,spike_count,exceeds,20.0,19.0,1.0,0.5,r-4cceac4cec0eb866659f,r-a116dc3d73e13b2a52fc
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_gate_time_constant-dda33c4c51,pospischil2008_fs,1,P05_long_step,spike_count,exceeds,128.0,124.0,4.0,3.0,r-d95212df9ca6b2b4efff,r-8b9541ca34ee6103c12b
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_gate_time_constant-dda33c4c51,pospischil2008_fs,1,P06_ramp,spike_count,exceeds,61.0,58.0,3.0,0.5,r-5888f8cf54a64bb2eb2f,r-24c392824b26e1eeefc5
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_gate_time_constant-dda33c4c51,pospischil2008_fs,1,P09_short_pulse,ahp_depth,exceeds,3.4738235474345487,-4.687477111816406,8.161300659250955,1.7055587767790286,r-534f36c941e5711ea7a5,r-49d9fdb7537e2dd265cb
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_gate_time_constant-dda33c4c51,pospischil2008_fs,2,P00_canonical,ahp_depth,exceeds,-4.734680175792306,-6.0126113891712265,1.2779312133789205,0.5,r-c9243a4c0b8a67de36a8,r-7d3a2902d2f69dae8864
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_gate_time_constant-dda33c4c51,pospischil2008_fs,2,P00_canonical,last_isi,exceeds,20.189999999981637,20.709999999981164,0.5199999999995271,0.5,r-c9243a4c0b8a67de36a8,r-7d3a2902d2f69dae8864
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_gate_time_constant-dda33c4c51,pospischil2008_fs,2,P00_canonical,spike_count,exceeds,20.0,19.0,1.0,0.5,r-c9243a4c0b8a67de36a8,r-7d3a2902d2f69dae8864
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_gate_time_constant-dda33c4c51,pospischil2008_fs,2,P05_long_step,spike_count,exceeds,129.0,125.0,4.0,3.0,r-880359fc85650f897997,r-94e280f7a428324812f0
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_gate_time_constant-dda33c4c51,pospischil2008_fs,2,P06_ramp,spike_count,exceeds,61.0,59.0,2.0,0.5,r-b0adc3019253aae3e3e8,r-84f4eefb06503949ef7f
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_gate_time_constant-dda33c4c51,pospischil2008_fs,2,P09_short_pulse,ahp_depth,exceeds,4.042343139694225,-4.14154052734294,8.183883667037165,1.7055587767790286,r-84e85309a66928a29934,r-5502d129997dd0a6829a
