study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,level_factor,protocol_id,feature,reason,ref_value,var_value,diff,tau,ref_run_id,var_run_id
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_gate_midpoint-cdbd253d57,nml2_hh_example,1,P00_canonical,ap_half_width,definedness,1.3400000000006855,,,0.06700000000003428,r-5f0a94c66ff17cd98a0a,r-b88f32fc4385160d3f1f
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_gate_midpoint-cdbd253d57,nml2_hh_example,1,P00_canonical,baseline_voltage,exceeds,-64.9740524291991,-65.72621154785145,0.7521591186523438,0.5,r-5f0a94c66ff17cd98a0a,r-b88f32fc4385160d3f1f
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_gate_midpoint-cdbd253d57,nml2_hh_example,1,P00_canonical,firing_regime,categorical,tonic,silent,,,r-5f0a94c66ff17cd98a0a,r-b88f32fc4385160d3f1f
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_gate_midpoint-cdbd253d57,nml2_hh_example,1,P00_canonical,first_isi,definedness,16.350000000008365,,,0.5,r-5f0a94c66ff17cd98a0a,r-b88f32fc4385160d3f1f
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_gate_midpoint-cdbd253d57,nml2_hh_example,1,P00_canonical,mean_frequency,definedness,70.3446889760081,,,3.517234448800405,r-5f0a94c66ff17cd98a0a,r-b88f32fc4385160d3f1f
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_gate_midpoint-cdbd253d57,nml2_hh_example,1,P02_weak_step,baseline_voltage,exceeds,-64.97405242919922,-65.72621154785156,0.7521591186523438,0.5,r-66b1007575e04915ac55,r-33e48155ce0adc773e25
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_gate_midpoint-cdbd253d57,nml2_hh_example,1,P04_step_2x,ap_half_width,definedness,1.3099999999988086,,,0.06549999999994043,r-66b1007575e04915ac55,r-33e48155ce0adc773e25
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_gate_midpoint-cdbd253d57,nml2_hh_example,1,P04_step_2x,firing_regime,categorical,single_spike,silent,,,r-66b1007575e04915ac55,r-33e48155ce0adc773e25
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_gate_midpoint-cdbd253d57,nml2_hh_example,1,P05_long_step,ap_half_width,definedness,1.2899999999988268,,,0.06449999999994134,r-940eedfaa66e3fa96c16,r-3a2fb11210dc29d262af
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_gate_midpoint-cdbd253d57,nml2_hh_example,1,P05_long_step,firing_regime,categorical,single_spike,silent,,,r-940eedfaa66e3fa96c16,r-3a2fb11210dc29d262af
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_gate_midpoint-cdbd253d57,nml2_hh_example,1,P07_hyperpolarizing_step,baseline_voltage,exceeds,-64.97405242919922,-65.72621154785156,0.7521591186523438,0.5,r-66b1007575e04915ac55,r-33e48155ce0adc773e25
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_gate_midpoint-cdbd253d57,nml2_hh_example,1,P07_hyperpolarizing_step,sag_ratio,exceeds,0.34640087069052167,0.2783741561627605,0.06802671452776116,0.02,r-66b1007575e04915ac55,r-33e48155ce0adc773e25
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_gate_midpoint-cdbd253d57,nml2_hh_example,1,P08_rebound,firing_regime,categorical,single_spike,silent,,,r-011ab0e03522b12f620c,r-163bfd1de02a49c82537
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_gate_midpoint-cdbd253d57,nml2_hh_example,1,P08_rebound,maximum_voltage,exceeds,42.80941009326659,-62.93923568725541,105.748645780522,1.0,r-011ab0e03522b12f620c,r-163bfd1de02a49c82537
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_gate_midpoint-cdbd253d57,nml2_hh_example,2,P00_canonical,ap_half_width,definedness,1.3400000000006855,,,0.06700000000003428,r-d4235ef154cdc2eeb44c,r-e168859f56e00a0f8230
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_gate_midpoint-cdbd253d57,nml2_hh_example,2,P00_canonical,baseline_voltage,exceeds,-64.97401246824452,-65.72617158689687,0.7521591186523438,0.5,r-d4235ef154cdc2eeb44c,r-e168859f56e00a0f8230
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_gate_midpoint-cdbd253d57,nml2_hh_example,2,P00_canonical,firing_regime,categorical,tonic,silent,,,r-d4235ef154cdc2eeb44c,r-e168859f56e00a0f8230
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_gate_midpoint-cdbd253d57,nml2_hh_example,2,P00_canonical,first_isi,definedness,16.290000000008334,,,0.5,r-d4235ef154cdc2eeb44c,r-e168859f56e00a0f8230
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_gate_midpoint-cdbd253d57,nml2_hh_example,2,P00_canonical,mean_frequency,definedness,70.67851373185125,,,3.517234448800405,r-d4235ef154cdc2eeb44c,r-e168859f56e00a0f8230
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_gate_midpoint-cdbd253d57,nml2_hh_example,2,P02_weak_step,baseline_voltage,exceeds,-64.97405242919922,-65.72621154785156,0.7521591186523438,0.5,r-8d6f46142acd4ec898a7,r-1d49306c2b2cc327d0e4
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_gate_midpoint-cdbd253d57,nml2_hh_example,2,P04_step_2x,ap_half_width,definedness,1.3099999999988086,,,0.06549999999994043,r-8d6f46142acd4ec898a7,r-1d49306c2b2cc327d0e4
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_gate_midpoint-cdbd253d57,nml2_hh_example,2,P04_step_2x,firing_regime,categorical,single_spike,silent,,,r-8d6f46142acd4ec898a7,r-1d49306c2b2cc327d0e4
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_gate_midpoint-cdbd253d57,nml2_hh_example,2,P05_long_step,ap_half_width,definedness,1.2899999999988268,,,0.06449999999994134,r-a455ac42295a97429d02,r-95c21e72f55a1b9aa8dd
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_gate_midpoint-cdbd253d57,nml2_hh_example,2,P05_long_step,firing_regime,categorical,single_spike,silent,,,r-a455ac42295a97429d02,r-95c21e72f55a1b9aa8dd
