study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,level_factor,protocol_id,feature,reason,ref_value,var_value,diff,tau,ref_run_id,var_run_id
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-9553007c36,acnet2_pyr_soma,1,P00_canonical,adaptation_index,exceeds,0.08360766405035329,-0.005627147147519321,0.0892348111978726,0.01,r-7ce2d1a0f19cc5d24572,r-3726dc182fe5f782a997
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-9553007c36,acnet2_pyr_soma,1,P00_canonical,last_isi,exceeds,76.88999999993013,84.03999999992362,7.149999999993497,1.5377999999986025,r-7ce2d1a0f19cc5d24572,r-3726dc182fe5f782a997
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-9553007c36,acnet2_pyr_soma,1,P00_canonical,spike_count,exceeds,8.0,7.0,1.0,0.5,r-7ce2d1a0f19cc5d24572,r-3726dc182fe5f782a997
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-9553007c36,acnet2_pyr_soma,1,P03_rheobase,rheobase,exceeds,0.007615600027320539,0.00782050406393006,0.00020490403660952065,0.00015231200054641078,s-f72e8dc74d5f026206e4,s-571d0e8fad8673f3eb7c
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-9553007c36,acnet2_pyr_soma,1,P04_step_2x,last_isi,exceeds,451.11999999958977,467.329999999575,16.209999999985257,9.022399999991796,r-85c49aecb0e07f4c5069,r-99da8fcc007edcec4fbb
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-9553007c36,acnet2_pyr_soma,1,P05_long_step,adaptation_index,definedness,-8.519410542851502e-06,,,0.01,r-f6700284baa99a5ef41f,r-4edc21a84ae47fa37557
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-9553007c36,acnet2_pyr_soma,1,P05_long_step,first_spike_latency,exceeds,37.16999999983835,38.20999999983741,1.0399999999990541,0.7433999999967671,r-f6700284baa99a5ef41f,r-4edc21a84ae47fa37557
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-9553007c36,acnet2_pyr_soma,1,P05_long_step,last_isi,definedness,586.8900000005651,,,11.737800000011303,r-f6700284baa99a5ef41f,r-4edc21a84ae47fa37557
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-9553007c36,acnet2_pyr_soma,1,P05_long_step,spike_count,exceeds,4.0,1.0,3.0,0.5,r-f6700284baa99a5ef41f,r-4edc21a84ae47fa37557
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-9553007c36,acnet2_pyr_soma,1,P06_ramp,first_spike_latency,exceeds,501.13999999941643,528.1099999993919,26.96999999997547,10.02279999998833,r-ee8bcdd517fb72ba8d0c,r-fbe51ca99c0c6a90f138
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-9553007c36,acnet2_pyr_soma,2,P00_canonical,adaptation_index,exceeds,0.08394194146984126,-0.0050604420762389675,0.08900238354608023,0.01,r-2526a9bbad7e1faa361e,r-a24df4c0618b8027aa0e
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-9553007c36,acnet2_pyr_soma,2,P00_canonical,last_isi,exceeds,76.5899999999304,83.7399999999239,7.149999999993497,1.5377999999986025,r-2526a9bbad7e1faa361e,r-a24df4c0618b8027aa0e
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-9553007c36,acnet2_pyr_soma,2,P00_canonical,spike_count,exceeds,8.0,7.0,1.0,0.5,r-2526a9bbad7e1faa361e,r-a24df4c0618b8027aa0e
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-9553007c36,acnet2_pyr_soma,2,P03_rheobase,rheobase,exceeds,0.007615600027320539,0.00782050406393006,0.00020490403660952065,0.00015231200054641078,s-4f52e2b97721efbbe2d2,s-6dfa4f1589c74d8893c4
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-9553007c36,acnet2_pyr_soma,2,P04_step_2x,last_isi,exceeds,450.1799999995906,466.42999999957584,16.24999999998522,9.022399999991796,r-16be743cbc8f0485fd82,r-884e315f9ee611dc88cc
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-9553007c36,acnet2_pyr_soma,2,P05_long_step,adaptation_index,definedness,-8.532786352377084e-06,,,0.01,r-493fa57e11933a720397,r-d5bf9da1592a1d3a4f1c
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-9553007c36,acnet2_pyr_soma,2,P05_long_step,first_spike_latency,exceeds,37.10999999983841,38.14999999983746,1.0399999999990541,0.7433999999967671,r-493fa57e11933a720397,r-d5bf9da1592a1d3a4f1c
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-9553007c36,acnet2_pyr_soma,2,P05_long_step,last_isi,definedness,585.9700000005014,,,11.737800000011303,r-493fa57e11933a720397,r-d5bf9da1592a1d3a4f1c
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-9553007c36,acnet2_pyr_soma,2,P05_long_step,spike_count,exceeds,4.0,1.0,3.0,0.5,r-493fa57e11933a720397,r-d5bf9da1592a1d3a4f1c
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-shift_reversal-9553007c36,acnet2_pyr_soma,2,P06_ramp,first_spike_latency,exceeds,501.0599999994165,528.019999999392,26.95999999997548,10.02279999998833,r-2e3e935d6ecd1df4b94b,r-54257f29f2ff41e6a985
