variant_id,operator,family,assigned_class,detecting_protocols,human_auditor,edit_matches_label_yes_no,class_plausible_yes_no,detection_plausible_yes_no,notes
m-duplicate_conductance-49ae908693,duplicate_conductance,reference,4_equivalent_within_tested_domain,,,,,,
m-duplicate_conductance-f1055b2803,duplicate_conductance,reference,5_non_equivalent,P00_canonical;P03_rheobase;P04_step_2x;P05_long_step;P06_ramp;P09_short_pulse,,,,,
m-increase_dt-1086ebecdc,increase_dt,numerical,6_silent_under_canonical,P04_step_2x;P05_long_step;P09_short_pulse,,,,,
m-increase_dt-9ff98cb7be,increase_dt,numerical,6_silent_under_canonical,P09_short_pulse,,,,,
m-scale_capacitance-8d53b9976a,scale_capacitance,biophysical,5_non_equivalent,P00_canonical;P04_step_2x;P05_long_step;P06_ramp;P09_short_pulse,,,,,
m-scale_capacitance-8f1d58bf3d,scale_capacitance,biophysical,5_non_equivalent,P00_canonical;P04_step_2x;P05_long_step;P06_ramp;P09_short_pulse,,,,,
m-scale_conductance-056f6e95e6,scale_conductance,biophysical,5_non_equivalent,P00_canonical;P02_weak_step;P03_rheobase;P04_step_2x;P05_long_step;P06_ramp;P07_hyperpolarizing_step;P08_rebound;P09_short_pulse,,,,,
m-scale_conductance-2956a62118,scale_conductance,biophysical,6_silent_under_canonical,P04_step_2x,,,,,
m-scale_conductance-c2b2371643,scale_conductance,biophysical,6_silent_under_canonical,P04_step_2x;P05_long_step;P06_ramp,,,,,
m-scale_conductance-c9ac5a125c,scale_conductance,biophysical,5_non_equivalent,P00_canonical;P02_weak_step;P03_rheobase;P04_step_2x;P05_long_step;P06_ramp;P07_hyperpolarizing_step;P09_short_pulse,,,,,
m-scale_gate_slope-039828a4db,scale_gate_slope,kinetics,5_non_equivalent,P00_canonical;P04_step_2x;P05_long_step;P07_hyperpolarizing_step;P09_short_pulse,,,,,
m-scale_gate_time_constant-02eb4e0b90,scale_gate_time_constant,biophysical,6_silent_under_canonical,P05_long_step,,,,,
m-scale_gate_time_constant-97ff619aea,scale_gate_time_constant,biophysical,6_silent_under_canonical,P03_rheobase;P06_ramp,,,,,
m-shift_forward_rate_midpoint-3567e7da5d,shift_forward_rate_midpoint,kinetics,5_non_equivalent,P00_canonical;P02_weak_step;P03_rheobase;P04_step_2x;P05_long_step;P06_ramp,,,,,
m-shift_gate_midpoint-0bf496636d,shift_gate_midpoint,kinetics,5_non_equivalent,P00_canonical;P04_step_2x;P05_long_step;P06_ramp,,,,,
m-shift_gate_midpoint-f1b7d12414,shift_gate_midpoint,kinetics,5_non_equivalent,P00_canonical;P02_weak_step;P03_rheobase;P04_step_2x;P05_long_step;P06_ramp;P09_short_pulse,,,,,
m-shift_reversal-293fd11ac3,shift_reversal,biophysical,5_non_equivalent,P00_canonical;P05_long_step,,,,,
m-solver_config-c16c7918b3,solver_config,numerical,4_equivalent_within_tested_domain,,,,,,
m-wrong_channel-36578b9f51,wrong_channel,reference,2_non_executable,,,,,,
m-wrong_compatible_component-0638e400a0,wrong_compatible_component,reference,3_numerically_unstable,,,,,,
