tolerance_multiplier,series,rate
0.5,false_positive_rate,0.0
0.5,admissible_fraction_of_mutants,0.6811594202898551
0.5,silent_fraction_of_mutants,0.08695652173913043
1.0,false_positive_rate,0.0
1.0,admissible_fraction_of_mutants,0.6231884057971014
1.0,silent_fraction_of_mutants,0.11594202898550725
2.0,false_positive_rate,0.0
2.0,admissible_fraction_of_mutants,0.5652173913043478
2.0,silent_fraction_of_mutants,0.15217391304347827
4.0,false_positive_rate,0.0
4.0,admissible_fraction_of_mutants,0.5144927536231884
4.0,silent_fraction_of_mutants,0.2028985507246377
