mutant_id,model_id,family,protocol_id,detected
m-scale_conductance-56da844943,pospischil2008_rs,biophysical,P00_canonical,True
m-scale_conductance-56da844943,pospischil2008_rs,biophysical,P01_baseline,False
m-scale_conductance-56da844943,pospischil2008_rs,biophysical,P02_weak_step,False
m-scale_conductance-56da844943,pospischil2008_rs,biophysical,P04_step_2x,True
m-scale_conductance-56da844943,pospischil2008_rs,biophysical,P05_long_step,True
m-scale_conductance-56da844943,pospischil2008_rs,biophysical,P06_ramp,True
m-scale_conductance-56da844943,pospischil2008_rs,biophysical,P07_hyperpolarizing_step,False
m-scale_conductance-56da844943,pospischil2008_rs,biophysical,P08_rebound,False
m-scale_conductance-56da844943,pospischil2008_rs,biophysical,P09_short_pulse,False
m-scale_conductance-56da844943,pospischil2008_rs,biophysical,P10_paired_pulses,False
m-scale_conductance-56da844943,pospischil2008_rs,biophysical,P03_rheobase,True
m-scale_conductance-fa05b19484,pospischil2008_rs,biophysical,P00_canonical,True
m-scale_conductance-fa05b19484,pospischil2008_rs,biophysical,P01_baseline,False
m-scale_conductance-fa05b19484,pospischil2008_rs,biophysical,P02_weak_step,False
m-scale_conductance-fa05b19484,pospischil2008_rs,biophysical,P04_step_2x,False
m-scale_conductance-fa05b19484,pospischil2008_rs,biophysical,P05_long_step,True
m-scale_conductance-fa05b19484,pospischil2008_rs,biophysical,P06_ramp,False
m-scale_conductance-fa05b19484,pospischil2008_rs,biophysical,P07_hyperpolarizing_step,False
m-scale_conductance-fa05b19484,pospischil2008_rs,biophysical,P08_rebound,False
m-scale_conductance-fa05b19484,pospischil2008_rs,biophysical,P09_short_pulse,False
m-scale_conductance-fa05b19484,pospischil2008_rs,biophysical,P10_paired_pulses,False
m-scale_conductance-fa05b19484,pospischil2008_rs,biophysical,P03_rheobase,False
m-shift_reversal-2d2e2ab474,pospischil2008_rs,biophysical,P00_canonical,True
m-shift_reversal-2d2e2ab474,pospischil2008_rs,biophysical,P01_baseline,False
m-shift_reversal-2d2e2ab474,pospischil2008_rs,biophysical,P02_weak_step,False
m-shift_reversal-2d2e2ab474,pospischil2008_rs,biophysical,P04_step_2x,True
m-shift_reversal-2d2e2ab474,pospischil2008_rs,biophysical,P05_long_step,True
m-shift_reversal-2d2e2ab474,pospischil2008_rs,biophysical,P06_ramp,False
m-shift_reversal-2d2e2ab474,pospischil2008_rs,biophysical,P07_hyperpolarizing_step,False
m-shift_reversal-2d2e2ab474,pospischil2008_rs,biophysical,P08_rebound,False
m-shift_reversal-2d2e2ab474,pospischil2008_rs,biophysical,P09_short_pulse,False
m-shift_reversal-2d2e2ab474,pospischil2008_rs,biophysical,P10_paired_pulses,False
m-shift_reversal-2d2e2ab474,pospischil2008_rs,biophysical,P03_rheobase,False
m-shift_reversal-8c42fb9d1f,pospischil2008_rs,biophysical,P00_canonical,True
m-shift_reversal-8c42fb9d1f,pospischil2008_rs,biophysical,P01_baseline,False
m-shift_reversal-8c42fb9d1f,pospischil2008_rs,biophysical,P02_weak_step,False
m-shift_reversal-8c42fb9d1f,pospischil2008_rs,biophysical,P04_step_2x,True
m-shift_reversal-8c42fb9d1f,pospischil2008_rs,biophysical,P05_long_step,True
m-shift_reversal-8c42fb9d1f,pospischil2008_rs,biophysical,P06_ramp,True
m-shift_reversal-8c42fb9d1f,pospischil2008_rs,biophysical,P07_hyperpolarizing_step,False
m-shift_reversal-8c42fb9d1f,pospischil2008_rs,biophysical,P08_rebound,False
m-shift_reversal-8c42fb9d1f,pospischil2008_rs,biophysical,P09_short_pulse,False
m-shift_reversal-8c42fb9d1f,pospischil2008_rs,biophysical,P10_paired_pulses,False
m-shift_reversal-8c42fb9d1f,pospischil2008_rs,biophysical,P03_rheobase,False
m-scale_capacitance-ca8d29abe3,pospischil2008_rs,biophysical,P00_canonical,True
m-scale_capacitance-ca8d29abe3,pospischil2008_rs,biophysical,P01_baseline,False
m-scale_capacitance-ca8d29abe3,pospischil2008_rs,biophysical,P02_weak_step,False
m-scale_capacitance-ca8d29abe3,pospischil2008_rs,biophysical,P04_step_2x,True
m-scale_capacitance-ca8d29abe3,pospischil2008_rs,biophysical,P05_long_step,True
m-scale_capacitance-ca8d29abe3,pospischil2008_rs,biophysical,P06_ramp,True
m-scale_capacitance-ca8d29abe3,pospischil2008_rs,biophysical,P07_hyperpolarizing_step,False
m-scale_capacitance-ca8d29abe3,pospischil2008_rs,biophysical,P08_rebound,False
m-scale_capacitance-ca8d29abe3,pospischil2008_rs,biophysical,P09_short_pulse,False
m-scale_capacitance-ca8d29abe3,pospischil2008_rs,biophysical,P10_paired_pulses,False
m-scale_capacitance-ca8d29abe3,pospischil2008_rs,biophysical,P03_rheobase,False
m-scale_capacitance-a0c243c06e,pospischil2008_rs,biophysical,P00_canonical,True
m-scale_capacitance-a0c243c06e,pospischil2008_rs,biophysical,P01_baseline,False
m-scale_capacitance-a0c243c06e,pospischil2008_rs,biophysical,P02_weak_step,False
m-scale_capacitance-a0c243c06e,pospischil2008_rs,biophysical,P04_step_2x,True
m-scale_capacitance-a0c243c06e,pospischil2008_rs,biophysical,P05_long_step,True
m-scale_capacitance-a0c243c06e,pospischil2008_rs,biophysical,P06_ramp,True
m-scale_capacitance-a0c243c06e,pospischil2008_rs,biophysical,P07_hyperpolarizing_step,False
m-scale_capacitance-a0c243c06e,pospischil2008_rs,biophysical,P08_rebound,False
m-scale_capacitance-a0c243c06e,pospischil2008_rs,biophysical,P09_short_pulse,True
m-scale_capacitance-a0c243c06e,pospischil2008_rs,biophysical,P10_paired_pulses,True
m-scale_capacitance-a0c243c06e,pospischil2008_rs,biophysical,P03_rheobase,True
