variant_id,model_id,kind,operator,family,tolerance_multiplier,class
m-scale_conductance-56da844943,pospischil2008_rs,mutant,scale_conductance,biophysical,0.5,5_non_equivalent
m-scale_conductance-56da844943,pospischil2008_rs,mutant,scale_conductance,biophysical,1.0,5_non_equivalent
m-scale_conductance-56da844943,pospischil2008_rs,mutant,scale_conductance,biophysical,2.0,5_non_equivalent
m-scale_conductance-56da844943,pospischil2008_rs,mutant,scale_conductance,biophysical,4.0,5_non_equivalent
m-scale_conductance-fa05b19484,pospischil2008_rs,mutant,scale_conductance,biophysical,0.5,5_non_equivalent
m-scale_conductance-fa05b19484,pospischil2008_rs,mutant,scale_conductance,biophysical,1.0,5_non_equivalent
m-scale_conductance-fa05b19484,pospischil2008_rs,mutant,scale_conductance,biophysical,2.0,5_non_equivalent
m-scale_conductance-fa05b19484,pospischil2008_rs,mutant,scale_conductance,biophysical,4.0,4_equivalent_within_tested_domain
m-shift_reversal-2d2e2ab474,pospischil2008_rs,mutant,shift_reversal,biophysical,0.5,5_non_equivalent
m-shift_reversal-2d2e2ab474,pospischil2008_rs,mutant,shift_reversal,biophysical,1.0,5_non_equivalent
m-shift_reversal-2d2e2ab474,pospischil2008_rs,mutant,shift_reversal,biophysical,2.0,5_non_equivalent
m-shift_reversal-2d2e2ab474,pospischil2008_rs,mutant,shift_reversal,biophysical,4.0,4_equivalent_within_tested_domain
m-shift_reversal-8c42fb9d1f,pospischil2008_rs,mutant,shift_reversal,biophysical,0.5,5_non_equivalent
m-shift_reversal-8c42fb9d1f,pospischil2008_rs,mutant,shift_reversal,biophysical,1.0,5_non_equivalent
m-shift_reversal-8c42fb9d1f,pospischil2008_rs,mutant,shift_reversal,biophysical,2.0,5_non_equivalent
m-shift_reversal-8c42fb9d1f,pospischil2008_rs,mutant,shift_reversal,biophysical,4.0,5_non_equivalent
m-scale_capacitance-ca8d29abe3,pospischil2008_rs,mutant,scale_capacitance,biophysical,0.5,5_non_equivalent
m-scale_capacitance-ca8d29abe3,pospischil2008_rs,mutant,scale_capacitance,biophysical,1.0,5_non_equivalent
