variant_id,model_id,kind,operator,family,tolerance_multiplier,class
m-scale_conductance-44150b501c,acnet2_pyr_soma,mutant,scale_conductance,biophysical,0.5,5_non_equivalent
m-scale_conductance-44150b501c,acnet2_pyr_soma,mutant,scale_conductance,biophysical,1.0,6_silent_under_canonical
m-scale_conductance-44150b501c,acnet2_pyr_soma,mutant,scale_conductance,biophysical,2.0,6_silent_under_canonical
m-scale_conductance-44150b501c,acnet2_pyr_soma,mutant,scale_conductance,biophysical,4.0,6_silent_under_canonical
m-scale_conductance-15a5694767,acnet2_pyr_soma,mutant,scale_conductance,biophysical,0.5,5_non_equivalent
m-scale_conductance-15a5694767,acnet2_pyr_soma,mutant,scale_conductance,biophysical,1.0,5_non_equivalent
m-scale_conductance-15a5694767,acnet2_pyr_soma,mutant,scale_conductance,biophysical,2.0,6_silent_under_canonical
m-scale_conductance-15a5694767,acnet2_pyr_soma,mutant,scale_conductance,biophysical,4.0,6_silent_under_canonical
m-scale_conductance-2ed5496dc2,acnet2_pyr_soma,mutant,scale_conductance,biophysical,0.5,5_non_equivalent
m-scale_conductance-2ed5496dc2,acnet2_pyr_soma,mutant,scale_conductance,biophysical,1.0,5_non_equivalent
m-scale_conductance-2ed5496dc2,acnet2_pyr_soma,mutant,scale_conductance,biophysical,2.0,5_non_equivalent
m-scale_conductance-2ed5496dc2,acnet2_pyr_soma,mutant,scale_conductance,biophysical,4.0,5_non_equivalent
m-scale_conductance-2dc7e425d7,acnet2_pyr_soma,mutant,scale_conductance,biophysical,0.5,5_non_equivalent
m-scale_conductance-2dc7e425d7,acnet2_pyr_soma,mutant,scale_conductance,biophysical,1.0,5_non_equivalent
m-scale_conductance-2dc7e425d7,acnet2_pyr_soma,mutant,scale_conductance,biophysical,2.0,5_non_equivalent
m-scale_conductance-2dc7e425d7,acnet2_pyr_soma,mutant,scale_conductance,biophysical,4.0,5_non_equivalent
m-shift_reversal-3400b10721,acnet2_pyr_soma,mutant,shift_reversal,biophysical,0.5,5_non_equivalent
